index,original,translated,locale_convention_annotation
122,"Goggia ist seit Jahren die dominierende Abfahrerin im Weltcup. Vier der bisherigen sechs Saisonrennen in dieser Disziplin hat sie gewonnen. Nach Gold 2018 in Pyeongchang holte sie bei den Olympischen Winterspielen 2022 in Peking Silber. Auf eine WM-Medaille in ihrer Paradedisziplin muss Goggia, die für ihre riskante Fahrweise bekannt ist, aber weiter warten. Bei ihrem Heimspiel in Cortina d'Ampezzo vor zwei Jahren fehlte sie verletzungsbedingt.","Goggia has been the dominant downhill skier in the World Cup for years. She has won four of the six season races in this discipline so far. After gold in Pyeongchang in 2018, she won silver at the 2022 Winter Olympics in Beijing. However, Goggia, who is known for her risky style of skiing, still has to wait for a World Championship medal in her pet event. She was absent due to injury at her home race in Cortina d'Ampezzo two years ago.","locale conventions:

MQM annotations:"
128,Personenbeschreibung: schlanke Gestalt,Physical description: slender build,"locale conventions:

MQM annotations:"
134,Selenskyj und Minister gegen Russlands Olympia-Teilnahme,Zelenskyy and ministers against Russia's Olympic participation.,"locale conventions:

MQM annotations:"
143,Auch Bundesinnenministerium bezieht Stellung,The Federal Ministry of the Interior also takes a position.,"locale conventions:

MQM annotations:
minor: style/other - While not strictly incorrect, ""takes a position"" is a less natural phrasing than ""comments"" or ""responds"" in English, depending on the context. This isn't a locale convention error, but rather a stylistic choice."
144,"Das für Sport zuständige Bundesinnenministerium erklärte im Anschluss, auch bei den Beratungen bekräftigt zu haben, einen Start russischer und belarussischer Sportler in Paris abzulehnen. ""Es gibt aus unserer Sicht keinen Anlass, den russischen und belarussischen Sport zur Rückkehr in die Wettkämpfe einzuladen. Den ukrainischen Athletinnen und Athleten muss weiterhin die uneingeschränkte Solidarität und Unterstützung der internationalen Sportgemeinschaft gelten. Die Bestrebung des IOC zur Wiederaufnahme der russischen und belarussischen Athletinnen und Athleten ist der falsche Weg"", teilte ein Sprecher des Innenministeriums auf dpa-Anfrage mit.","The Federal Ministry of the Interior, which is responsible for sports, subsequently declared that it had reaffirmed during the consultations that it rejects the participation of Russian and Belarusian athletes in Paris. ""From our point of view, there is no reason to invite Russian and Belarusian sports to return to competitions. Ukrainian athletes must continue to receive the unrestricted solidarity and support of the international sports community. The IOC's efforts to reinstate Russian and Belarusian athletes are the wrong way to go,"" a spokesman for the Interior Ministry told dpa in response to a query.","locale conventions:

MQM annotations:"
148,"""Hey, geiler Hintern!"", der Närrin im knappen sexy Kostüm hinterherpfeifen und anzügliche Sprüche rufen: All das fällt unter den Begriff des ""Catcalling"" (dt. Katzenrufe). Hinter dem Begriff verbirgt sich nicht geringeres als eine Form der verbalen sexuellen Belästigung im öffentlichen Raum.","""Hey, nice ass!"" whistling after the fool in the skimpy, sexy costume and shouting suggestive remarks: All of this falls under the term ""catcalling."" Behind this term lies nothing less than a form of verbal sexual harassment in public space.","locale conventions:

MQM annotations:"
150,Hälfte der Fahrzeuge verloren? USA sehen Moskaus Panzerbestand stark dezimiert,Half of vehicles lost? USA see Moscow's tank inventory heavily decimated.,"locale conventions:

MQM annotations:"
153,Wallander machte bei einer Online-Veranstaltung der Denkfabrik Center for a New American Security keine weiteren Angaben zur Zahl der nach US-Einschätzung beschlagnahmten und zerstörten Panzer.,"Wallander, at an online event held by the think tank Center for a New American Security, did not provide further details on the number of tanks that the US estimates have been seized and destroyed.","locale conventions:

MQM annotations:"
154,Die Ukraine soll in den kommenden Wochen von mehreren westlichen Verbündeten Kampfpanzer erhalten. Großbritannien hat Kiew die Lieferung von Challenger-2-Kampfpanzern für März zugesagt. Deutschland will in einer Koalition mit anderen Staaten bis April ein Bataillon an Leopard-2-Panzern in die Ukraine liefern. Die USA haben ebenfalls ein Bataillon aus 31 Kampfpanzer vom Typ Abrams zugesagt. Ihre Lieferung dauert jedoch aller Voraussicht nach wesentlich länger.,"Ukraine is expected to receive battle tanks from several Western allies in the coming weeks. The UK has pledged to deliver Challenger 2 battle tanks to Kyiv by March. Germany, in a coalition with other states, intends to deliver a battalion of Leopard 2 tanks to Ukraine by April. The USA has also pledged a battalion of 31 Abrams battle tanks. However, their delivery is expected to take significantly longer.","locale conventions:

MQM annotations:"
158,Wirbel um Postenbesetzung bei Heer,Controversy over personnel changes in the army.,"locale conventions:

MQM annotations:"
159,"Denn der Posten, den künftig der frühere Direktor des Heeresgeschichtlichen Museums (HGM) Christian Ortner bekleiden wird, war nicht ausgeschrieben. Der Personalvertreter der Akademie Herwig Jedlaucnik vermutet Postenkorruption und Amtsmissbrauch. Verteidigungsministerin Klaudia Tanner (ÖVP) verteidigt das Vorgehen.","Because the position that the former director of the Museum of Military History (HGM), Christian Ortner, will hold in the future was not advertised. The staff representative of the Academy, Herwig Jedlaucnik, suspects jobbery and abuse of office. Minister of Defence Klaudia Tanner (ÖVP) defends the procedure.","locale conventions:

MQM annotations:
None"
160,"Eine Ausschreibung sei nicht erforderlich, weil die Ernennung auf einen bisher unbesetzten Arbeitsplatz erfolge, so die Ministerin. ""Spekulationen eines freiheitlichen Personalvertreters"" wolle sie nicht kommentieren. Ortner wurde im vergangenen Jahr nach 17 Jahren an der Spitze des HGM abgelöst. Neben Kritik am Umgang des Museums mit der militärischen Vergangenheit Österreichs war er mit schweren Mobbingvorwürfen konfrontiert. Diese sind aus Tanners Sicht ausgeräumt.","A tender is not required because the appointment is to a previously vacant position, according to the minister. She declined to comment on ""speculation by a Freedom Party personnel representative."" Ortner was replaced last year after 17 years at the head of the HGM. In addition to criticism of the museum's handling of Austria's military past, he was confronted with serious allegations of mobbing. From Tanner's perspective, these have been cleared up.","locale conventions:

MQM annotations:
no error"
161,"Jedlaucnik zweifelt auch an der inhaltlichen Eignung Ortners. Dieser sei Experte für den Ersten Weltkrieg und die Kriege der Monarchie, das Institut beschäftige sich aber mit aktuellen Fragen der Sicherheitspolitik.","Jedlaucnik also doubts Ortner's suitability in terms of content. He is an expert on the First World War and the wars of the monarchy, but the institute deals with current issues of security policy.","locale conventions:

MQM annotations:"
162,"Die SPÖ verlangt von Tanner Aufklärung über den ""unüblichen Bestellvorgang"". An der Entscheidung hafte der ""Anschein von Postenschacher"", sagt SPÖ-Wehrsprecher Robert Laimer. Die Neos fordern Tanner auf, die Ernennung zurückzunehmen. Die ÖVP stecke ""weiterhin bis zum Hals im Korruptionssumpf"", meinte Douglas Hoyos, Sprecher für Landesverteidigung. Er kündigte eine parlamentarische Anfrage zum Thema an.","The SPÖ (Social Democratic Party) is demanding clarification from Tanner regarding the ""unusual appointment process."" The decision has the ""appearance of patronage,"" says SPÖ defense spokesman Robert Laimer. The Neos (liberal party) are calling on Tanner to withdraw the appointment. The ÖVP (People's Party) is ""still up to its neck in a swamp of corruption,"" said Douglas Hoyos, spokesman for national defense. He announced a parliamentary inquiry into the matter.","locale conventions:

MQM annotations:"
163,Karneval: Erste Narren gehen vor Kosten in die Knie,Carnival: First fools buckle under costs.,"locale conventions:

MQM annotations:
Minor: style/awkward - ""First fools buckle under costs"" is a slightly awkward translation. While it conveys the general meaning, it doesn't fully capture the nuance of ""Erste Narren gehen vor Kosten in die Knie,"" which implies that some carnival participants are giving up due to the high costs. A more natural translation might be ""Carnival participants struggling with costs"" or ""Rising costs force some to drop out of carnival."""
165,"In Brandenburg fallen keine Karnevalsumzüge aus. Der ""Zug der fröhlichen Leute"" in Cottbus, wohl erneut Ostdeutschlands größter, findet erstmals nach der Pandemie statt. Auch bei der schwäbisch-alemannischen Fastnacht wurden keine Umzüge abgesagt.","No carnival parades are cancelled in Brandenburg. The ""Zug der fröhlichen Leute"" (Parade of Happy People) in Cottbus, probably once again the largest in Eastern Germany, is taking place for the first time after the pandemic. Also, no parades have been cancelled for the Swabian-Alemannic Fastnacht (Carnival).","locale conventions:

MQM annotations:"
179,"Steinmeier genoss dennoch den Besuch des 10-km-Sprintrennens bei der Biathlon-WM in Oberhof, bekam von den Olympiasiegern Frank Ullrich und Peter Sendel zahlreiche Tipps: ""Seit den Olympischen Spielen in Südkorea, als Laura Dahlmeier im ersten Rennen Gold gewonnen hatte, fasziniert mich das Biathlon"", verriet er und lobte Oberhof außerdem für seine modernisierten Sportstätten: ""Die runderneuerte Arena ist großartig und bietet ideale Bedingungen. Das sagen auch die Sportler - mit Dank an diejenigen, die seit Vergabe der WM hier angepackt haben"". Auch in Sachen Nachhaltigkeit sei der Standort jetzt vielen anderen ""einen Schritt voraus"" und damit ""für die nächsten Jahre und sogar Jahrzehnte sicher"".","Steinmeier nevertheless enjoyed visiting the 10km sprint race at the Biathlon World Championships in Oberhof, receiving numerous tips from Olympic champions Frank Ullrich and Peter Sendel: ""Since the Olympic Games in South Korea, when Laura Dahlmeier won gold in the first race, I have been fascinated by biathlon,"" he revealed, also praising Oberhof for its modernized sports facilities: ""The completely renovated arena is magnificent and offers ideal conditions. The athletes also say that - with thanks to those who have tackled the work here since the awarding of the World Championships."" In terms of sustainability, the location is now ""one step ahead"" of many others and therefore ""secure for the next years and even decades.""","locale conventions:

MQM annotations:
no error"
182,"Bö war vor 14.300 Zuschauern mit der Nummer 1 ins Rennen gegangen und manifestierte diesen Status trotz der komplizierten Sichtverhältnisse. Allerdings: Bei seinen letzten beiden Stehendschüssen hatte er das Glück des Tüchtigen; sie landeten jeweils am Rand der Scheiben und fielen trotzdem. Die Siegerehrung genoss der 29-Jährige dann gemeinsam mit seinem fünf Jahre älteren Bruder: ""Es ist das beste Gefühl, mit ihm hier zu stehen"", sagte der Weltmeister: ""Wir sind die beste Familie, die besten Brüder, die besten Athleten"".","Bø started the race with bib number 1 in front of 14,300 spectators and lived up to this status despite the complicated visibility. However, he had the luck of the draw with his last two standing shoots; they each landed on the edge of the targets and still fell. The 29-year-old then enjoyed the awards ceremony together with his brother, who is five years older: ""It's the best feeling to be standing here with him,"" said the world champion: ""We are the best family, the best brothers, the best athletes.""","locale conventions:

MQM annotations:"
184,"Brych missfällt ""Bienenschwarm"" auf dem Platz","Brych dislikes the ""swarm of bees"" on the pitch.","locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
190,"""Aus der Emotionalität können im Spielverlauf durchaus Konflikte entstehen. Aber wenn die Emotionalität in eine persönliche Verunglimpfung überschwappt, dann muss man auch akzeptieren, dass die entsprechenden Maßnahmen von Schiedsrichterseite getroffen werden"", sagte Fröhlich. In den jüngsten Fällen hätten die Beteiligten die Dinge im Nachgang ausgeräumt. ""Wichtig wäre es nur, wenn dann auch mal ein Umdenkprozess insgesamt in Gang käme, dass sich solch ein Verhalten einfach nicht gehört"", sagte Fröhlich am Rande einer Veranstaltung des Verbandes Deutscher Sportjournalisten in München.","""Conflicts can certainly arise from emotion during the course of a game. But if that emotion spills over into personal insults, then one must also accept that appropriate measures will be taken by the referee,"" said Fröhlich. In recent cases, those involved have cleared things up afterwards. ""It would only be important if, then, a rethinking process were set in motion overall, that such behavior simply isn't acceptable,"" Fröhlich said on the sidelines of an event of the Association of German Sports Journalists in Munich.","locale conventions:

MQM annotations:"
195,Sieben Leichtverletzte nach Auffahrunfall auf A5,Seven minor injuries after rear-end collision on A5.,"locale conventions:

MQM annotations:"
196,"Sieben Menschen sind bei einem Unfall mit vier Fahrzeugen auf der Autobahn 5 bei Hemsbach (Rhein-Neckar-Kreis) leicht verletzt worden, darunter zwei Kinder. Laut einer Mitteilung der Polizei war es am Samstag zu dem Auffahrunfall gekommen, als ein Autofahrer während eines leichten Rückstaus von hinten gegen einen Wagen stieß und ihn auf zwei weitere Autos schob. Die Vollsperrung der Fahrspuren in Richtung Heidelberg sei nach etwa eineinhalb Stunden aufgehoben worden.","Seven people, including two children, sustained minor injuries in an accident involving four vehicles on Autobahn 5 near Hemsbach (Rhein-Neckar district). According to a police statement, the rear-end collision occurred on Saturday when a driver rear-ended a car during a slight traffic jam, pushing it into two other cars. The complete closure of the lanes heading towards Heidelberg was lifted after about an hour and a half.","```
locale conventions:

MQM annotations:
```"
200,"Die Finissage zu der Ausstellung ""Wandgebunden"" findet am Sonntag, 12. Februar, um 15 Uhr im Übergangsquartier des Marler Skulpturenmuseums in der Georg-Herwegh-Straße 63-67 statt. In drei Ausstellungsräumen ziehen jeweils zwei großformatige Wandgemälde die Aufmerksamkeit auf sich.","The closing event for the exhibition ""Wall-Bound"" will take place on Sunday, February 12th, at 3 p.m. in the temporary location of the Marl Sculpture Museum on Georg-Herwegh-Straße 63-67. In three exhibition rooms, two large-format murals in each room attract attention.","locale conventions:

MQM annotations:"
202,Zur Finissage wird Dr. Friederike Schuler außerdem einen Vortrag zu wandgebundener Kunst im Dienst der Gemeinschaft halten. Anhand zahlreicher Bildbeispiele stellt sie die Besonderheiten der Wandmalerei aus der Weimarer Republik vor und fragt nach den Verbindungslinien zu dieser Kunstgattung in der Bundesrepublik mit Schwerpunkt im NRW der 1950er- bis 1970er-Jahre.,"At the finissage, Dr. Friederike Schuler will also give a lecture on wall-bound art in the service of the community. Using numerous pictorial examples, she will present the special features of mural painting from the Weimar Republic and inquire into the connecting lines to this art genre in the Federal Republic of Germany, with a focus on North Rhine-Westphalia (NRW) from the 1950s to the 1970s.","locale conventions:

MQM annotations:
None"
214,"""Bis ins hohe Alter war er ein wichtiger Ratgeber in unserer Partei, dessen Klugheit fehlen wird"".","Until a ripe old age, he was an important advisor in our party, whose wisdom will be missed.","locale conventions:

MQM annotations:"
218,"Wie es in einem Bericht der Deutschen Presse-Agentur (dpa) heißt, habe Modrow den neuen Staat ""durchaus kritisch"" gesehen. Zu schnell sei die deutsche Einheit vollzogen worden, zu bedingungslos sei die DDR untergegangen, und zu einseitig sei sie als ""Unrechtsstaat"" verdammt worden, habe Modrow laut dpa in vielen Interviews kritisiert.","According to a report by the German Press Agency (dpa), Modrow viewed the new state ""quite critically."" According to dpa, Modrow criticized in many interviews that German reunification had been carried out too quickly, the GDR had collapsed too unconditionally, and it had been condemned too unilaterally as an ""unjust state.""","locale conventions:

MQM annotations:"
219,Was in der Nacht passiert ist,What happened during the night.,"locale conventions:

MQM annotations:"
221,"Kiew - Die jüngste Welle russischer Raketenangriffe erzwingt erneut Notreparaturen am ukrainischen Energienetz. Doch auch die Ukraine greift russische Stellungen an. Mehrere Wärme- und Wasserkraftwerke seien beschädigt worden, sagte der Chef des Energieversorgers Ukrenerho, Wolodymyr Kudryzkyj, am Freitagabend im ukrainischen Fernsehen. Besonders schlecht sehe es mit der Stromversorgung im Gebiet Charkiw aus. Wegen der Instabilität im ukrainischen Stromnetz musste am AKW Chmelnyzkyj ein Reaktorblock abgeschaltet werden, in den Kernkraftwerken Riwne und Südukraine wurde die Produktion gedrosselt.","Kyiv - The latest wave of Russian missile attacks is once again forcing emergency repairs to the Ukrainian energy grid. But Ukraine is also attacking Russian positions. Several thermal and hydroelectric power plants have been damaged, said the head of the energy supplier Ukrenerho, Volodymyr Kudrytskyi, on Ukrainian television on Friday evening. The electricity supply in the Kharkiv region is particularly bad. Due to the instability in the Ukrainian power grid, a reactor unit had to be shut down at the Khmelnytskyi nuclear power plant, and production was reduced at the Rivne and South Ukraine nuclear power plants.","locale conventions:

MQM annotations:
no-error"
224,"Am 24. Februar wird seit einem Jahr Krieg herrschen. US-Präsident Joe Biden kündigte einen Besuch beim wichtigen Ukraine-Unterstützer Polen kurz vor dem Jahrestag an. Die Gefahr durch russische Raketenangriffe dauerte indes auch in der Nacht zu Samstag an. In der Hauptstadt Kiew wurde am späten Freitagabend zum fünften Mal für diesen Tag Luftalarm ausgelöst. ""Es droht ein Angriff mit Drohnen"", teilte die Militärverwaltung des Kiewer Gebietes mit. Kampfdrohnen iranischer Bauart wurden auch über den Gebieten Mykolajiw und Odessa im Süden gesichtet und abgeschossen.","On February 24th, the war will have been raging for a year. US President Joe Biden announced a visit to Poland, an important supporter of Ukraine, shortly before the anniversary. Meanwhile, the danger from Russian missile attacks continued into the night leading to Saturday. In the capital Kyiv, air raid sirens were triggered for the fifth time that day late Friday evening. ""There is a threat of a drone attack,"" announced the military administration of the Kyiv region. Iranian-made combat drones were also sighted and shot down over the Mykolaiv and Odessa regions in the south.","locale conventions:

MQM annotations:"
227,Sanierungsstau von 80 Milliarden Euro,Deferred maintenance totaling 80 billion euros,"locale conventions:

MQM annotations:
minor: number format/incorrect format - The number format may need to be adjusted based on the target locale conventions. In some locales, a comma is used as the decimal separator and a period as the thousands separator. It depends on the target locale whether ""80 billion"" requires adjustment."
236,"Erste Rüstungsprojekte sind deshalb schon gestrichen worden, weiteren Vorhaben droht dasselbe, wie die ""Welt am Sonntag"" berichtet. Welche Investitionen konkret wegfallen würden, könne derzeit aber noch nicht gesagt werden. ""Es besteht keine Notwendigkeit, bereits zum jetzigen Zeitpunkt einem eventuellen Einsparungsbedarf konkrete Beschaffungsmaßnahmen zuzuordnen"", heißt es in einer Antwort der Bundesregierung auf eine Anfrage des Bundestagsabgeordneten Ingo Gädechens (CDU).","As a result, initial armaments projects have already been cancelled, and the same fate threatens further projects, as reported by ""Welt am Sonntag"". However, it is not yet possible to say which specific investments would be cut. ""There is no necessity to assign concrete procurement measures to a possible need for savings at this point in time,"" reads the Federal Government's response to an inquiry from Member of Parliament Ingo Gädechens (CDU).","locale conventions:

MQM annotations:"
242,Viele Stuttgarter folgten am Freitagabend dem Aufruf der Feuerbacher Ditib-Moscheegemeinde,"On Friday evening, many Stuttgart residents followed the call of the Feuerbach Ditib Mosque community.","locale conventions:

MQM annotations:"
247,Die Solidarität der Muslime in Deutschland mit den Erdbebenopfern im türkisch-syrischen Grenzgebiet ist groß. Bei der Spendenaktion des Deutschen Islamverbands Türisch-Islamische Union (Ditib) sind bereits mehrere Millionen Euro zusammengekommen.,The solidarity of Muslims in Germany with the earthquake victims in the Turkish-Syrian border region is great. The donation campaign of the German Islamic Association Turkish-Islamic Union (Ditib) has already raised several million euros.,"locale conventions:

MQM annotations:"
250,"""Nach dem Essen sollst du ruh'n oder tausend Schritte tun "".... Die Älteren kennen das Sprichwort, die Jüngeren setzen es einfach nur in die Praxis um. So oder so hat in den Jahren der Pandemie der gute, alte Verdauungsspaziergang eine ungeahnte Renaissance erfahren. Denn wer dank Home-Office nicht mitten in einer Steinwüste, sondern vielmehr nur einen Steinwurf entfernt von Feld, Wald und Wiese sitzt, nutzt nun die Mittagspause entweder nach dem schnellen Snack vor dem Bildschirm oder gleich ersatzweise für einen Gang an die frische Luft. Zumindest könnte man diesen Eindruck rund um den Egglburger See gewinnen, wo sich zwischen 12 und 14 Uhr längst nicht nur Hundebesitzer tummeln.","""After eating, you should rest or walk a thousand steps"".... The older generation knows the saying, the younger generation simply puts it into practice. Either way, in the years of the pandemic, the good old digestive walk has experienced an unexpected renaissance. Because those who, thanks to home office, are not sitting in the middle of a concrete jungle, but rather just a stone's throw away from field, forest and meadow, now use their lunch break either after a quick snack in front of the screen or as a substitute for a walk in the fresh air. At least, that's the impression one could get around Lake Egglburg, where between 12 and 2 p.m. it's not just dog owners who are out and about.","locale conventions:

MQM annotations:"
251,"Ein Grund könnte natürlich auch darin liegen, dass der Mensch der Neuzeit im Zuge einer optimalen Zeitslot-Nutzung die gesundheitsfördernde Frischluftzufuhr mit weiteren Dingen verbinden kann. Denn warum nicht anlässlich eines kurzen Marsches durch die Natur von der lange nicht gesehenen Nachbarin Neuigkeiten aus der Siedlung erfahren? Oder die Freundin treffen, mit der man es abends nie ins Kino schafft, nicht mal ins Alte Kino? Auch ließen sich auf diese Weise Beruf und Privatleben verbinden - wer sagt denn, dass der Termin mit Steuerberaterin, Anwältin oder Anlageberater nicht im Freien stattfinden kann? Sofern keine Fremdohren in der Nähe sind, natürlich.","One reason could of course also be that modern humans, in the course of optimally using their time slots, can combine the health-promoting supply of fresh air with other things. For why not take the opportunity of a short walk through nature to hear news from the long-unseen neighbor about the settlement? Or meet the friend with whom you never manage to go to the movies in the evening, not even to the Old Cinema? Profession and private life could also be combined in this way - who says that the appointment with the tax advisor, lawyer or investment advisor cannot take place outdoors? Provided there are no eavesdroppers nearby, of course.","locale conventions:

MQM annotations:"
262,Die Herausgabe an den Kongress ist für Trump wohl heikler: Dort ist der Kreis der Zugriffsberechtigten etwas größer und unter bestimmten Bedingungen könnten im Lauf der Untersuchung des Ausschusses einzelne Details veröffentlicht werden. Zudem dringt aus dem Parlament auch immer wieder Vertrauliches nach außen.,"Handing it over to Congress is likely more delicate for Trump: There, the circle of those authorized to access the documents is somewhat larger, and under certain conditions, individual details could be published in the course of the committee's investigation. In addition, confidential information repeatedly leaks out of Parliament.","locale conventions:

MQM annotations:"
264,Kabarett in der Bastion: Zwischen Geburt und Tod spielt das Leben,Cabaret in the bastion: Life plays out between birth and death.,"locale conventions:

MQM annotations:"
276,"Und er bricht es auf die wichtigste Frage herunter, die viele vor sich herschieben: Was ist wirklich wichtig? Das alles mit einem riesengroßen Augenzwinkern, unaufgeregt und sehr ironisch. Und so werden auf nicht nur gut unterhalten, sondern können dabei auch etwas dazulernen.","And he breaks it down to the most important question that many people procrastinate on: What is truly important? All of this with a huge wink, calmly and very ironically. And so we are not only well entertained, but can also learn something in the process.","locale conventions:

MQM annotations:"
278,Mein Handy klingelt mit unbekannter Nummer. Ich nehme an. Diese Frau ist die ehrliche Finderin ihres Portemonnaies.,My phone is ringing with an unknown number. I answer. This woman is the honest finder of her wallet.,"locale conventions:

MQM annotations:"
280,"MdB Pfeiffer bezeichnet Klimaschutz als Ersatzreligion. Mag sogar stimmen, denn ich liebe diesen Planeten und seine Zivilisation mehr als irgendeinen abstrakten Gott","MP Pfeiffer describes climate protection as a substitute religion. May even be true, because I love this planet and its civilization more than any abstract god.","locale conventions:

MQM annotations:"
283,"Gut, dass seit Jahrzehnzen die Stadtpolitik die Vorteile etkennt und nie infrage stellt.",It's good that city politics have recognized the advantages for decades and never questioned them.,"locale conventions:

MQM annotations:"
291,"Parteikollegin Annegret Kramp-Karrenbauer elf, genauso das Bildungsministerium unter Anja Karliczek, auch sie ist CDU-Ministerin.","Party colleague Annegret Kramp-Karrenbauer as well, and the Ministry of Education under Anja Karliczek, who is also a CDU minister.","locale conventions:

MQM annotations:"
295,"Hab lange nix geschrieben, die Suche nach einem passenden Arbeitsplatz hat lange alle Ressourcen beansprucht.","Haven't written in a while, the search for a suitable job has been taking up all my resources for a long time.","locale conventions:

MQM annotations:"
297,"Richtet die Stadt diese Radverkehrsrouten im Nebennetz ein, ist er auch wieder dagegen. Kann der Mann sich mal entscheiden?","If the city sets up these cycling routes on the secondary network, he's against it again. Can the man ever make up his mind?","locale conventions:

MQM annotations:"
299,Nach einem schweren Unfall oder anderen traumatischen Ereignissen stehen Betroffene oft unter einem Schock. Wie hilft man bei einem psychischen Schock?,"After a serious accident or other traumatic events, those affected are often in shock. How do you help with psychological shock?","locale conventions:

MQM annotations:"
304,"Morgen kann ich endlich meinen Rechner zur Wiederherstellung abgeben und dann ist die Perspektive ganz gut, dass ich irgendwann im Juni wieder arbeiten kann. Hey, immerhin eine Perspektive!","Tomorrow I can finally hand in my computer for repair and then the outlook is quite good that I can work again sometime in June. Hey, at least there's a perspective!","locale conventions:

MQM annotations:"
306,"Einweg oder Mehrweg? Die Umwelthilfe empfiehlt Mehrweg, Lidl setzt ein Einwegsystem dagegen. Es kommt aber auch auf andere Faktoren an, wie kurze Transportwege.","Single-use or reusable? The Environmental Action Germany recommends reusable, Lidl is countering with a single-use system. However, other factors also play a role, such as short transport routes.","locale conventions:

MQM annotations:"
309,"Morgen habe ich wieder frei, weil keine Aufliegerbeschriftung und auch nicht so schrecklich viel dringliches zu tun. Mal ein Freitag der den Namen verdient!",Tomorrow I have another day off because there's no trailer lettering to do and not terribly much urgent stuff either. Finally a Friday that lives up to its name!,"locale conventions:

MQM annotations:
None"
311,"Liebe Lesende, liebe Followis, Wenn ja, wieviel kostet diese? Gibt es besondere Konditionen? Wenn nicht, ist eine solche Variante noch geplant? Vielen Danke euch!","Dear readers, dear followers, If yes, how much does it cost? Are there any special conditions? If not, is such a variant planned? Thank you all!","locale conventions:

MQM annotations:"
316,"Dem vorausgegangen waren heftige politische Auseinandersetzungen, auch an der generellen Ostpolitik Willy Brandts (SPD).","This was preceded by fierce political disputes, including over Willy Brandt's (SPD) general Ostpolitik.","locale conventions:

MQM annotations:
no error"
317,"Bin selber gar kein solcher Elefanten-Fan, aber vielleicht findet es ja hier noch ein paar Fans.","I'm not an elephant fan myself at all, but maybe it will find some fans here.","locale conventions:

MQM annotations:"
322,Ich will ne orange-farbene Netzwerkkarte haben! Welche Farbe hat eure bzw. wollt ihr haben?,I want an orange network card! What color is yours or what color do you want?,"locale conventions:

MQM annotations:
minor: no-error
major: no-error
critical: no-error"
323,Die Vorsorgeuntersuchung als wesentlicher Messpunkt der verstreichenden Zeit.,The check-up as an essential benchmark of passing time.,"locale conventions:

MQM annotations:
no-error"
330,Im Gesagten nur den anderen zu sehen? Uns selbst in ihnen gesehen...,To see only the other in what is said? To have seen ourselves in them...,"locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
333,"""Kleine Geschichte der Religion vom anthropogenen Klimawandel: Vom Mythos ewigen Kohlendioxids oder wie elegante Thesen zu Evangelien werden, wenn sie an der irdischen Praxis zu scheitern drohen.""","A short history of religion concerning anthropogenic climate change: From the myth of eternal carbon dioxide, or how elegant theses become gospels when they threaten to fail in earthly practice.","```
locale conventions:

MQM annotations:
```"
340,"So, nach aktuellem Stand der Einplanung fahre ich, eventuell, ab September elektrisch. Mal sehen wie oft sich der Bautermin noch verschiebt bis dahin....","So, according to the current planning status, I will, possibly, be driving electric from September. Let's see how often the construction date gets postponed until then....","locale conventions:

MQM annotations:"
348,"Hab vor einigen Tagen mit Leuten gesprochen, die genau dies an ""der Politik"" kritisiert haben.","A few days ago, I was talking to people who criticized ""politics"" for exactly this.","locale conventions:

MQM annotations:"
355,"Bei Hertha ist das noch fraglich, gegen den Tabellenletzten aus Berlin liegt ein Sieg in der Luft.","It's still questionable with Hertha, but a win is in the air against the bottom team from Berlin.","locale conventions:

MQM annotations:"
356,Jetzt muss ich mal kurz eine nette Geschichte loswerden.,I just have to share a nice story quickly.,"locale conventions:

MQM annotations:"
357,"Ich habe absolut nicht mehr damit gerechnet, dass man eine Bahnkarte in Papier per Post zugeschickt bekommt.",I absolutely didn't expect to receive a train ticket by mail in paper form anymore.,"locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
365,"Eine #PopClip-Extension, mit der man Text in #Obsidian farbig markieren kann ... <URL>",A #PopClip extension that allows you to highlight text in #Obsidian with color ... <URL>,"locale conventions:

MQM annotations:"
366,#FAV2023 Nach einer #Coaching-Session und der Mittagspause geht es mit den #Digitallotsen weiter,"#FAV2023 After a #coaching session and lunch break, we continue with the #Digitallotsen (Digital Guides).","locale conventions:

MQM annotations:"
368,"#Demokratie|n haben bisher auch einen breiten #Wohlstand generiert. Was eine Demokratie Wert ist, wenn sie keinen Wohlstand mehr bedeutet werden wir sehen.",#Democracies have generated broad #prosperity so far. What a democracy is worth when it no longer means prosperity is something we will see.,"locale conventions:

MQM annotations:"
374,Ich sitze noch auf ca 200 eur unbearbeiteten Fahrkarten vom letzten #warnstreik.,I'm still sitting on about 200 euros worth of unprocessed tickets from the last #warningstrike.,"locale conventions:

MQM annotations:"
380,1. Allgemeines,General,"locale conventions:

MQM annotations:
minor: style/readability - The translation is too literal and lacks context. ""General"" is vague and doesn't specify what it refers to. A better translation might be ""Overview"" or ""Introduction"" depending on the context. However, this is not a locale convention error."
