index,source,zero_shot,single_agent,maats,reference
82,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,我常常惊叹于人类这种能力，他们明明被如此多的关于真正残忍的证据所包围，却还能如此贬低自己。,我常常惊叹于人类的这种能力：即便身处大量关于真正残忍的证据之中，仍然如此贬低自己。,面对如此多的残酷现实，人类却依然如此自轻自贱，我对此常常感到 удивлено.,我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
83,We're all such messy critters.,我们都是这样邋遢的生物。,我们都是这么邋遢的家伙。,我们都是这么马马虎虎的人。,我们都很邋遢。
84,"or ""Modal editors are useless today"" :morty:",或者“模态编辑器今天已经没用了” :morty:,或者“模态编辑器现在已经没用了” :morty:,“或者有人会说，‘模式编辑器现在已经没用了’” :morty:,或者“模态编辑器现在没有用武之地了”:morty:
85,How would you share personal libraries?,你如何分享个人书库？,你打算如何分享你的个人图书馆？,你会如何分享你的个人书库？,你是怎么共享个人库的？
86,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",总有一天我要体验在高空达到性高潮的滋味，或许不是跟陌生人。,总有一天我要体验在高空达到性高潮的滋味，或许不是跟一个陌生人。,总有一天我要在高空体验一把，也许不是和一个陌生人。,总有一天我会达到一英里高的高潮，也许不是靠力气
87,If you stick to the default web interface it doesn't look and feel good (imho).,如果你坚持使用默认的网页界面，它看起来和用起来都不好 (恕我直言)。,如果你坚持使用默认的网页界面，恕我直言，它的外观和体验都不太好。,如果你坚持使用默认的Web界面，观感和体验都不太好。,如果你坚持默认的网络界面，外观和感觉都不是很好。
88,Explanation: account for both sides of mutual influence,解释：兼顾相互影响的正反两面。,解释：同时考虑相互影响的各个方面。,解释：兼顾相互影响的各个方面。,解释：将双方之间的相互影响纳入考量
89,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.",即使他没能在市民大会上说出来，在现在到2024年11月之间，美国的每个人都会听到这些话，而且是反复听到。,即使他没能在市民大会上说出这些话，从现在到2024年11月，美国的每个人都会反复听到。,即使他没能在公开会议上说出这些话，从现在到2024年11月，每个美国人都会反复听到。,即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
90,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",如果我试图算出我的单次最大重量，我可能没有足够的重量来达到极限，或者相反，这可能会严重伤害甚至杀死我。,如果我尝试计算我的单次最大重复重量，我可能没有足够的配重来达到极限，或者反过来，这可能会严重伤害甚至导致我死亡。,如果我尝试计算我的最大单次举重重量，我可能没有足够的重量来进行最大重量的尝试，或者相反，这可能会严重伤害甚至杀死我。,如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
91,I swear burrata didn't exist five years ago,我发誓五年前根本没有布拉塔奶酪。,我发誓五年前根本没有布拉塔奶酪这种东西。,我发誓五年前根本没有布拉塔这种东西。,我敢肯定五年前布拉塔芝士不存在
92,This is my personal Mandela effect thing.,这是我个人的曼德拉效应。,这是我个人经历过的曼德拉效应。,这是我个人对曼德拉效应的看法。,这东西是我自身的曼德拉效应造成的。
93,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,我从未见过谁的妈妈做过它，也从未在派对上被硬塞过，也从未见过它与任何人的酱料制作冒险或烘焙日同时出现。,我从未见过别人妈妈做这个，也从未在派对上被人硬塞过，也从未见过它与任何人的酱料制作或烘焙活动同时出现。,我从未见过别人妈妈做过这种东西，没在派对上被人硬塞过，也没见过它出现在任何人的酱料制作或烘焙活动中。,我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
94,It just appeared one day and suddenly it was available everywhere.,它不知何时就冒出来了，然后突然间到处都能看到了。,它不知何时出现的，突然间就随处可见了。,不知不觉地，它突然出现在各处。,有一天它出现了，突然它变得随处可见。
95,"This would be mainly for web browsing, occasional email, and some games.",主要用于网页浏览、偶尔收发邮件和玩一些游戏。,主要用于网页浏览、偶尔收发电子邮件和玩一些游戏。,主要用作网页浏览、偶尔收发邮件和玩一些游戏。,它将主要用于浏览网页、偶尔收发电子邮件或者玩游戏。
96,"A good game is only late until it ships.	好游戏不怕晚，就怕做不出来。	好游戏不怕晚，只怕不做。
Or, as an industry catch phrase goes: A late game is only late until it ships.",或者，正如行业内的流行语所说：跳票的游戏迟早会发售。,或者，正如行业内的一句行话所说：游戏跳票，最终总会发布。,好游戏不怕姗姗来迟，只怕永远不做。,“一款好游戏只有在上市后才会被发掘。
97,Have now done a full round trip on the new ICNG train.,现在已经完成了新ICNG列车的完整往返行程。,现在已乘坐新型ICNG列车完成了一次往返旅程。,已乘坐新型ICNG列车完成了一次往返旅程。,他骄傲地叼着它满屋跑，我只能暗自发笑。
98,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",主要是垃圾箱数量不足，以及缺乏解释灯光颜色意义的标牌。,主要是垃圾箱數量不足，而且缺乏解釋燈光顏色意義的標示。,主要是垃圾箱数量不足，以及缺乏说明灯光颜色含义的标识牌。,有些地方有待提高。
99,"Fix those minor issues, and then can we have more of these please?",把那些小问题修好，然后我们可以多来点这样的吗？,把那些小问题解决好之后，可以多来一些吗？,把那些小问题修好，然后我们可以多做一些这样的吗？,比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
100,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,每位顾客限购一块，我们尽力确保每位排队者都能买到。,每位顾客限购一块，我们会尽力确保每位排队的顾客都能买到一块板。,为了尽量保证每个排队的人都能买到，每位顾客限购一块板。,解决这些小问题，然后我们还会有更多这样的小问题吗？
101,"You can buy ONE of the boards listed above, not one of each.",你可以购买上面列出的板子中的**一个**，不是每一个。,你可以购买上面列出的板子中的**一个**，而不是全部。,你可以购买上面列出的板子中的一个，不是全部。,人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
102,Yesterday I had the best time with my friend and former rabbi colleague.,昨天我和我的朋友以及以前的拉比同事度过了最美好的时光。,昨天我和我的朋友，也是以前的拉比同事，度过了美好的一天。,昨天，我和我的朋友，也是以前一起当拉比的同事，度过了最美好的时光。,你可以买上面列出的一种板，而不是每种各买一个。
103,We visited for a couple hours on my porch.,我们在我的门廊上拜访了几个小时。,我们在我的门廊上待了几个小时。,我们在我的门廊上聊了几个小时。,昨天我和我的朋友也是之前的拉比同事玩得很开心。
104,I quite like akkoma the software and the domain name I got for my instance.,我挺喜欢 Akkoma 这个软件和我为实例注册的域名。,我非常喜欢 Akkoma 这个软件以及我为我的实例注册的域名。,我非常喜欢 Akkoma 软件，也很喜欢我为服务器注册的域名。,我们都有相告彼此的故事。
105,"But I feel somehow I started this instance on the wrong foot, so to speak.",我觉得不知怎么的，我一开始就弄错了，或者说，一开始就没走对路。,我觉得不知怎么的，我觉得我一开始就有点不顺。,我觉得不知怎么的，一开始就有点不顺。,我很喜欢 akkoma 软件还有我为我的实例申请的域名。
106,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,地下已经被雷普尼德虫族挖成了隧道，你掉进了一个洞穴中，那里有数百只雷普尼德虫族挤在一起，形成一片沸腾的肉堆。,地下已被雷普尼德挖掘成隧道，你一不小心掉入地下的洞穴中，那里聚集着数百只雷普尼德，形成一片沸腾的肉堆。,雷普尼德虫族已在地下挖掘出隧道，你不慎坠入一个洞穴，那里聚集着数百只虫族，如沸腾翻滚的肉堆。,但我觉得不知何故，我一开始就走错了路，可以这么说。
107,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",结局迅疾而至，数对毒牙注入致命的毒液，而迪斯克拉的空气也污染了你的肺部。,结局迅疾而至，数对毒牙注入致命毒液，迪斯克拉的空气也侵蚀着你的肺部。,结局转瞬即至，数对毒牙注入致命毒液，Dyskra的空气也侵蚀着你的肺部。,Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
108,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八眼雷普尼德人似乎在注视着你，但他们没有向你移动，事实上，当你慢慢走向他们时，他们一动不动。,八眼雷普尼德人似乎在注视着你，但他们没有任何动作，事实上，当你慢慢走向他们时，他们一动不动。,长着八只眼的雷普提利安人似乎在注视着你，但他们没有向你移动，事实上，当你慢慢走向他们时，他们一动不动。,很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
109,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.",你决定重新建立联系很危险，便回到你的飞行器。但这次经历让你清醒了过来，自从你跳入未来后，你的思绪就一直很混乱。,你认为重新建立联系很危险，于是回到你的飞行器，但这次经历让你清醒过来，自从你跳入未来后，你的思绪就一直很混乱。,我开始做新的披肩。,八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你慢慢走向它们时，它们是静止的。
110,I am using a H hook with a similar double crochet pattern as I have done before.,我正在使用一个H号钩针，用与之前相似的双钩针编织图案。,我正在使用H号钩针，采用与之前相似的双重钩针编织图案。,我正在使用H号钩针，采用与之前类似的双重钩针编织图案。.,我开始做新披肩。
111,The literature class hatred is even worse: I love to read.,文学课的仇恨更糟：我爱阅读。,更糟糕的是我对文学课的厌恶：我喜欢阅读。,更糟糕的是，我非常讨厌文学课，但我喜欢阅读。,我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
112,Humanity is out in 5 days.,人类将于5天后推出。,人类将于5天后发布。,大家会怎么想呢？,我对文学课的厌恶更不可一世：我喜欢读书。
113,Came home on my lunch break to see this sitting outside uwu.,午休回家，就看到这个东西坐在外面，呜呜呜。,午休回家，看到这个萌物坐在外面，aww。,午休回家，就看到这个东西坐在外面，真是太可爱了。,大家会怎么看？
114,Wish I could take it back to work with me to setup more.,真希望我能把它带回工作场所，以便设置更多。,真希望我可以把它带回去工作，设置更多东西。,真希望我能把它带回去，这样就能多设置一些了。,我在午休时回到家，在威斯康辛大学外面看到这句话。
115,So I finally watched #Heartstopper,所以我终于看了#心跳漏一拍了。,所以我终于看了#心跳停止了。,所以，我终于刷完《怦然心动》了。,希望我可以把它带回去和我一起工作，创造更多可能。
116,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.",但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中当你的负责人需要变更的时候。,但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中当你的主导项目需要变更的时候。,但重要的是不要为问题找借口，而是直接修复它们，尤其是在生产环境中，当你的项目负责人需要修改时。,然后我终于观看了 #Heartstopper
117,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",好的批评是为了快速纠正问题，而不是针对你的能力。,好的批评旨在快速纠正问题，而非否定你的能力。,这些根隐藏起来了。,但重要的是，没有借口，只需去解决它，尤其是在生产中，你的领导要求改变时。
118,Work is not visible.,工作不可见。,工作不可見。,这工作不可见。,这些根被隐藏起来。
119,I've met some marvelous new #Mastodon mates lately and want to maintain the trend.,最近认识了一些很棒的 #Mastodon 新朋友，想保持这个趋势。,最近认识了一些很棒的 #Mastodon 新朋友，希望能继续保持这种趋势。,我最近在 Mastodon 上认识了一些很棒的新朋友，希望这个趋势能继续下去。,他一直在宿舍等到天黑，才抽出纸条，在透过遮光窗帘射进来的一束光线下读了起来。
