index,source,zero_shot,single_agent,maats,reference
83,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"In many countries, this disease has overwhelmed medical service institutions, bringing them close to collapse, and the restrictive measures implemented by governments have caused serious disruption in the global economy.","In many countries, this disease has already overwhelmed medical service institutions, bringing them close to collapse, and the restrictive measures implemented by governments have caused serious disruption in the global economy.","In many countries, this disease has overwhelmed medical service institutions, leaving them on the verge of collapse, and the government-imposed restrictions have caused serious disruption in the global economy.","The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy."
84,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,"Some producers may be forced to seek new methods to manufacture drugs, as restrictions on mobility also limit access to precursors and basic chemicals.","Some producers may be forced to seek new methods to manufacture drugs, as restrictions on the flow of mobility also limit access to precursors and basic chemicals.","Some producers may be forced to find new ways to make drugs, as restrictions on movement also limit their access to chemical ingredients and basic chemicals.","Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation."
85,一些国家有大量毒品通过商业航班走私，预计这些国家的贩毒活动受到的直接影响最大。,"Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug trafficking activities in these countries will be most directly affected.","Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug smuggling activities in these countries will be most directly affected.",Drug trafficking activities in some countries are expected to be most directly impacted by the large-scale smuggling of drugs through commercial air travel.,Nations where noteworthy sums of opiates are snuck on commercial flights are expected to be most extremely affected.
86,世界各地的吸毒现象一直在增多，无论是从总体数字还是从吸毒者在世界人口中所占比例来看都是如此。,"The phenomenon of drug abuse is constantly increasing worldwide, whether in terms of the overall numbers or the proportion of drug users in the world population.","The phenomenon of drug use is constantly increasing worldwide, whether in terms of the overall numbers or the proportion of drug users in the global population.","The problem of drug abuse is steadily increasing globally, both in terms of the overall number of cases and the proportion of the world population affected.",Both the outright number of individuals utilizing drugs and the rate of the worldwide populace utilizing drugs have been rising.
87,"这在一定程度上反映了这一期间总体人口增长的差异、发达国家为7%,发展中国家为28%但也反映了发展中国家年 轻人口增长较快。","This to a certain extent reflects the difference in overall population growth during this period, with developed countries at 7% and developing countries at 28%, but it also reflects the faster growth of the young population in developing countries.","This to a certain degree reflects the difference in overall population growth during this period, with developed countries at 7% and developing countries at 28%, but it also reflects the faster growth of the young population in developing countries.","Developed countries saw 7% population growth, while developing countries experienced 28% growth, reflecting the faster overall population increase in developing nations.","This to some degree reflects the reality that worldwide populace development amid the time shifted between industrialized and creating nations, at 7% and 28%, separately, but it moreover reflects the more youthful populaces in poorer nations developing more rapidly."
88,青少年和年轻成年人在吸毒者中所占比例最大。,The proportion of adolescents and young adults is the highest among drug users.,Adolescents and young adults make up the largest proportion of drug users.,Adolescents and young people make up the largest proportion of drug users.,Youthful individuals and young people account for the larger part of sedate clients.
89,无论是发达国家还是发展中国家，城市地区的吸毒情况都多于农村地区。,"Regardless of whether it is a developed country or a developing country, the drug abuse situation in urban areas is more serious than in rural areas.","The drug abuse situation is more prevalent in urban areas than in rural areas, regardless of whether it is a developed or developing country.","Regardless of whether it is a developed or developing country, drug use is more prevalent in urban areas than in rural areas.","Urban zones are more likely than country ones to have a sedate issue, both in created and creating countries."
90,吸毒情况总体增多的部分原因是人口从农村向城镇的大规模流动一目前全世界人口有一半以上生活在城市地区，而1960年这一比例为34%。,"The overall increase in drug abuse is partly due to the large-scale migration of the population from rural to urban areas - currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","The overall increase in drug abuse is partly due to the large-scale migration of the population from rural to urban areas, with more than half of the world's population now living in urban areas, compared to 34% in 1960.","The overall increase in drug abuse is partly due to the large-scale migration of people from rural to urban areas. Currently, more than half of the world's population lives in urban areas, up from 34% in 1960.","More than half of the world's populace presently lives in urban locales, up from 34% in 1960, and this colossal relocation from rustic to urban regions is to a great extent to fault for the common rise in sedate utilize."
91,城市化可能是毒品市场未来动态的一个关键因素，特别是在城市化趋势更为突出的发展中国家。,"City-ization may be a key factor in the future dynamics of the drug market, especially in developing countries where urbanization trends are more pronounced.","Urbanization may be a key factor in the future dynamics of the drug market, especially in developing countries where urbanization trends are more pronounced.","Urbanization may be a key factor in the future dynamics of the illicit drug trade, especially in developing countries where this trend is more pronounced.","Urbanization may play a critical part within the dynamics of sedate markets within the future, especially in developing countries where urbanization is more articulated."
92,来自少数几个国家的数据表明，有害的吸毒模式与病症同低收入之间存在联系。,The data from a few countries indicates that harmful drug use patterns are associated with low-income conditions.,The data from a few countries indicates that harmful drug use patterns are associated with low-income conditions and illnesses.,Data from a few countries indicates an association between problematic drug use patterns and low socioeconomic status.,"Moo pay and unsafe medicate utilize designs and conditions are related, agreeing to information from a little number of countries."
93,这些模式在较富裕的社会阶层似乎不太常见。,These patterns seem to be less common among the more affluent social strata.,These patterns seem to be less common among the more affluent social strata.,These patterns do not seem very common among the more affluent social classes.,These patterns appear to be less predominant among financial classes with more prominent riches.
94,新冠肺炎或将导致毒品市场进一步扩张新冠肺炎的大流行可能会导致更多农民增加或从事非法作物种植，或是因为国家主管机关的控制能力降低，或是因为在经济危机之下可能有更多人不得不铤而走险，从事非法活动。,"The COVID-19 pandemic may lead to further expansion of the drug market. The COVID-19 pandemic may cause more farmers to increase or engage in the cultivation of illegal crops, either due to a decrease in the control capabilities of the competent national authorities, or because more people may be forced to take risks and engage in illegal activities under the economic crisis.","The COVID-19 pandemic may lead to further expansion of the drug market, as more farmers engage in illegal crop cultivation or more people turn to illegal activities due to the economic crisis.","The COVID-19 pandemic may lead to an increase in illegal crop cultivation, either due to reduced oversight by the relevant authorities or more people being forced to take risky actions due to the economic crisis.","The pharma showcase seem develop encourage as a result of COVID-19, got to take chances and do illegal things."
95,会员国的国内市场每年约有500种新型活性物质。,The domestic market of member countries has about 500 new active substances every year.,The domestic markets of member countries have about 500 new active substances each year.,The domestic markets of member countries see around 500 new active substances annually.,"On the residential showcase of Part States, around 500 modern dynamic chemicals are presented each year."
96,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","In the total number of new psychoactive substances identified in 2014, opioid-type new psychoactive substances accounted for only 2%, but by 2018 this figure had risen to 9%.","In the total number of new psychoactive substances identified in 2014, opioid-like new psychoactive substances accounted for only 2%, but by 2018 this figure had risen to 9%.","In the total number of new psychoactive substances identified in 2014, opioid-like new psychoactive substances accounted for only 2%, but by 2018 this figure had risen to 9%.","In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%."
97,类阿片新型精神活性物质中有许多是芬太尼的类似物，其药效和危害已得到证明，在北美导致了过量死亡事件，其他区域也有，但程度较轻。,"Many of the novel psychoactive substances in the opioid-like class are fentanyl analogues, whose pharmacological effects and harms have been demonstrated. They have led to overdose deaths in North America, and have also occurred in other regions, though to a lesser extent.","Many of the novel psychoactive substances that are similar to opioids are analogues of fentanyl, whose pharmacological effects and harms have been demonstrated. They have led to overdose deaths in North America, and have also occurred in other regions, though to a lesser extent.","Novel psychoactive substances in the opioid-like class, many of which are fentanyl analogues, have demonstrated potent pharmacological effects and harms, leading to a concerning number of overdose fatalities in North America and other regions, though to a lesser degree elsewhere.","Overdose passing from NPS opioids, numerous of which are fentanyl analogs, have been reported in North America and, to a lesser degree, abroad."
98,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,"In North America, fentanyl is used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and is also used to manufacture counterfeit pharmaceutical opioids.","In North America, fentanyl is used to adulterate heroin and other drugs (including cocaine and methamphetamine), and is also used to manufacture counterfeit pharmaceutical opioids.","In North America, fentanyl is used as an adulterant in illegal drugs like heroin, cocaine, and methamphetamine, and is also used to manufacture counterfeit prescription opioid medications.",Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.
99,2新型精神活性物质的使用可能会逐渐牢固存在于弱势群体中,The use of new psychoactive substances may gradually become entrenched among vulnerable populations.,The use of new psychoactive substances may gradually become firmly established among vulnerable populations.,The use of new psychoactive substances may gradually take hold among vulnerable populations.,2 Modern psychoactive sedate utilize seem ended up broadly acknowledged in vulnerable communities
100,贩毒者和制毒者一直在寻找替代品一不仅有管制较松的物质，还有专门为规避管制而设计的化学品，即所谓的“特制前体”。,"Drug traffickers and drug manufacturers have been looking for substitutes, not only substances with less stringent controls, but also chemicals specifically designed to circumvent controls, the so-called ""specially designed precursors"".","Drug traffickers and drug manufacturers have been looking for substitutes, not only substances with less stringent controls, but also chemicals designed to circumvent controls, known as ""precursors"".","Drug traffickers and manufacturers have been seeking alternatives, not just substances with less stringent controls, but also chemicals specifically designed to bypass regulations, known as ""precursors"".","Medicate makers and traffickers are continually investigating for substitutes, counting not as it were less entirely controlled drugs but moreover substances made intentioned to urge over existing directions, or ""architect antecedents."""
101,旨在阻止新冠肺炎传播的限制性措施很可能使依赖前体化学品的制毒者受到进一步挤压。,The restrictive measures aimed at preventing the spread of COVID-19 are likely to further squeeze drug manufacturers who rely on precursor chemicals.,The restrictive measures aimed at preventing the spread of COVID-19 are likely to further squeeze illegal drug producers who rely on precursor chemicals.,The restrictive measures aimed at preventing the spread of COVID-19 are likely to further squeeze illicit drug producers who rely on chemical precursors.,Medicate producers who depend on antecedent chemicals would certainly feel the impacts of prohibitive measures planning to halt the spread of COVID-19.
102,来自墨西哥的证据表明，这已经成为 现实：据报告，2020年3月，从东亚进口的甲基苯丙胺前体短缺促使墨西哥和美国的甲基苯丙胺价格上涨。,"The evidence from Mexico indicates that this has become a reality: According to reports, in March 2020, a shortage of methamphetamine precursors imported from East Asia led to a rise in the price of methamphetamine in Mexico and the United States.","The evidence from Mexico indicates that this has become a reality: According to reports, in March 2020, a shortage of amphetamine precursors imported from East Asia led to a rise in the price of amphetamine in Mexico and the United States.","The evidence from Mexico indicates that this has become a reality: According to reports, in March 2020, a shortage of methamphetamine precursors imported from East Asia led to a rise in the price of methamphetamine in both Mexico and the United States.","Information from Mexico infers that this is often as of now the case: in Walk 2020, Mexico and the Joined together States detailed cost rises for methamphetamine due to deficiencies of forerunners provided from East Asia."
103,阿富汗和伊拉克甲基苯丙胺市场增长,The Afghan and Iraqi methamphetamine markets are growing.,The methamphetamine markets in Afghanistan and Iraq are growing.,The methamphetamine markets in Afghanistan and Iraq are growing.,Showcase development for methamphetamine in Afghanistan and Iraq
104,最近，伊拉克当局发现了多个甲基苯丙胺加工点，麻管局已对伪麻黄碱制剂的大批进口表示关切一甲基苯丙胺加工点将这些制剂用作前体。,"Recently, the Iraqi authorities have discovered multiple methamphetamine production sites, and the drug control agency has expressed concern over the large-scale importation of pseudoephedrine preparations, as these sites are using these preparations as precursors for the production of methamphetamine.","The Iraqi authorities have recently discovered multiple amphetamine production sites, and the narcotics control agency has expressed concern over the large-scale importation of pseudoephedrine preparations, as these sites are using these preparations as raw materials for the production of amphetamine.","The Iraqi authorities have discovered multiple methamphetamine production sites, and the drug control agency has expressed concern over the large importation of pseudoephedrine, which these sites are using as a precursor for methamphetamine production.","The Board has voiced stress with respect to the importation of critical sums of pseudoephedrine arrangements, which are utilized as antecedents by methamphetamine research facilities, in light of the later disclosure of methamphetamine research facilities by Iraqi specialists."
105,自那时起，甲基苯丙胺的缉获量一直在稳步上升。,"Since then, the seizure of methamphetamine has been steadily increasing.",The amount of methamphetamine seized has been steadily increasing since then.,"Since at that point, methamphetamine seizures have been steadily expanding.","Since at that point, methamphetamine seizures have been steadily expanding."
106,但2019年上半年的缉获量一^657公斤——与上一年相比大幅骤增。,But the amount seized in the first half of 2019 was 657 kilograms - a sharp increase compared to the previous year.,But the amount seized in the first half of 2019 was 657 kilograms - a sharp sudden increase compared to the previous year.,"The amount seized in the first half of 2019 saw a sharp, dramatic increase to 657,000 grams compared to the previous year.","But compared to the earlier year, seizures within the to begin with half of 2019 come to 657kg, a noteworthy increment."
107,在美国最早通过立法的两个州科罗拉多州和华盛顿州，成年人非医疗使用大麻的情况增加，特别是过去一个月以及每天或几乎每天使用的情况增多，自2012年起便已超过了全国平均水平。,"Colorado and Washington were the first two states in the United States to pass legislation allowing for the non-medical use of cannabis by adults. The prevalence of past-month and daily or near-daily cannabis use has increased in these states, exceeding the national average since 2012.","The prevalence of past-month and daily or near-daily cannabis use by adults has increased in Colorado and Washington, exceeding the national average since 2012.","The prevalence of adult non-medical cannabis use has increased in Colorado and Washington, exceeding the national average since 2012.","Grown-up non-medical pot utilize has surged, particularly within the past month, and day by day or nearly every day utilize has surpassed the national normal since 2012 in Colorado and Washington, two of the primary US states to endorse laws."
108,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,The reason behind the drastic drop in the global seizure of cannabis herbs is the legalization of cannabis?,The drop in global cannabis seizures is likely due to the legalization of cannabis.,The drop in global seizures of marijuana may be due to its legalization.,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?
109,对新型精神活性物质的监管似乎有遏制作用在国内对新型精神活性物质的监管效果仍然很难评估。,"The regulation of new psychoactive substances seems to have a suppressive effect, but the effectiveness of domestic regulation of new psychoactive substances is still difficult to assess.","The regulation of new psychoactive substances appears to have had a restraining effect, but the effectiveness of domestic regulation of these substances remains difficult to assess.","The regulation of new psychoactive drugs seems to have a suppressive effect, but the effectiveness of domestic control measures for these substances is still difficult to assess.","NPS control shows up to have a dissuasive impact, it is still challenging to assess the household control of NPS."
110,一些对新型精神活性物质采用不同监管制度的国家显示出不同的新型精神活性物质使用流行率。,Some countries with different regulatory systems for new psychoactive substances show different prevalence rates of new psychoactive substance use.,Countries with different regulatory systems for new psychoactive substances show varying prevalence rates of new psychoactive substance use.,Countries with different regulatory systems for new psychoactive substances show varying prevalence rates of their use.,The predominance of NPS utilize changes among a few countries with particular NPS administrative systems.
111,在另一些国家，通过国内立法后，新型精神活性物质使用情况有所减少。,"In some other countries, the use of new psychoactive substances has decreased after domestic legislation.","In some other countries, the use of new psychoactive substances has been reduced after domestic legislation.","With the sanctioning of household enactment, the utilize of NPS has diminished in different countries.","With the sanctioning of household enactment, the utilize of NPS has diminished in different countries."
112,"据估计，低收入和中等收入国家的人口占全球人口的88%,但消费的药用类阿片却不到10%。","According to estimates, the population of low-income and middle-income countries accounts for 88% of the global population, but they consume less than 10% of the medical opioids.","According to estimates, the population of low-income and middle-income countries accounts for 88% of the global population, but they consume less than 10% of the medical opioid types.","According to estimates, the population of low-income and middle-income countries accounts for 88% of the global population, but they use less than 10% of the available pharmaceutical opioids.","In spite of the fact that moo- and middle-income countries are thought to be domestic to 88% of the world's populace, they as it were utilize 10% of all pharmaceutical opioids."
113,获取药用类阿片的障碍与许多因素有关，包括立法、文化、卫生系统和处方做法。,"The barriers to accessing medicinal opioids are related to many factors, including legislation, culture, healthcare systems, and prescription practices.","The barriers to accessing medicinal opioids are related to various factors, including legislation, cultural norms, healthcare systems, and prescription practices.","Enactment, culture, healthcare frameworks, and endorsing hones are some of the numerous components that might make obstructions to getting to pharmaceutical opioids.","Enactment, culture, healthcare frameworks, and endorsing hones are some of the numerous components that might make obstructions to getting to pharmaceutical opioids."
114,全球范围的有限数据表明，迷醉可能是杀人的一个重要因素。,The limited data available globally suggests that intoxication may be an important factor in homicide.,The limited global data suggests that intoxication may be an important factor in homicide.,The limited global data suggests that drunkenness may be a significant factor in homicides.,"Inebriation may play a critical part in crime, agreeing to constrained information from around the world."
115,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,"According to estimates, in 2018 there were 192 million people using cannabis, making it the most widely used illicit drug globally.","According to estimates, in 2018 there were 1.92 billion people using cannabis, making it the most widely used illicit drug globally.","According to estimates, in 2018 there were 192 million people using cannabis, making it the most widely used drug globally.",Cannabis was the top substance used globally in 2018 by 0.192 billion people.
116,"在2017年与吸毒病症有关的估计167,000例死亡中，有66%是这类物质造成的，在据信为吸毒导致的残疾或过早死亡而损失的2,100万年寿命中，有50%是这类物质造成的。","In 2017, an estimated 167,000 deaths were related to drug use disorders, of which 66% were caused by these substances. Of the estimated 21 million years of life lost due to disability or premature mortality attributed to drug use, 50% were caused by these substances.","In 2017, an estimated 167,000 deaths were related to drug use disorders, of which 66% were caused by these types of substances. Of the estimated 21 million years of life lost due to disability or premature mortality attributed to drug use, 50% were caused by these types of substances.","In 2017, an estimated 167,000 deaths were related to drug use disorders, of which 66% were caused by such substances. Of the estimated 21 million years of life lost due to disability or premature mortality attributed to drug use, 50% were caused by such substances.","50 percent of the 21 million years of life thought to have been lost to drug-related disability or premature death in 2017 and 66 percent of the projected 167,000 deaths from drug use disorders were attributed to substances, Resulting from chemicals."
117,兴奋剂领域以可卡因和甲基苯丙胺为主，这两种物质在其主要市场的使用量都在上升。,"Stimulants are mainly represented by cocaine and methamphetamine, and the usage of these two substances is increasing in their major markets.","Stimulant drugs, particularly cocaine and methamphetamine, are seeing increased usage in their major markets.","Cocaine and methamphetamine are the main substances used in their primary markets, and the usage of these two drugs is increasing.","Cocaine and methamphetamine, which both have rising use in their key areas, dominate the stimulant market."
118,在一些市场上，可卡因和甲基苯丙胺可以共存，有时是相互替代，这样一种药物的使用量上升时另一种药物的使用量就下降，有时是同时增加和减少以满足同一市场的需求。,"In some markets, cocaine and methamphetamine can coexist, sometimes as substitutes, where an increase in the use of one drug is accompanied by a decrease in the use of the other, and at times they increase and decrease simultaneously to meet the demand of the same market.","In some markets, cocaine and methamphetamine can exist together, sometimes replacing each other, where an increase in the use of one drug is accompanied by a decrease in the use of the other, and at times they increase and decrease simultaneously to meet the demand of the same market.","Cocaine and methamphetamine can coexist in some markets, occasionally substituting for one another, causing the use of one drug to climb while the usage of the other lowers, or occasionally both rising and falling to satisfy demand in the same market.","Cocaine and methamphetamine can coexist in some markets, occasionally substituting for one another, causing the use of one drug to climb while the usage of the other lowers, or occasionally both rising and falling to satisfy demand in the same market."
119,2017年，因吸毒死亡的约有 58.5万人，其中一半死于丙型肝炎引起的肝病，而注射吸毒者的丙型肝炎大多仍未得到治疗。,"In 2017, approximately 585,000 people died from drug abuse, with half of them dying from liver disease caused by hepatitis C, and most injection drug users with hepatitis C still have not received treatment.","In 2017, around 585,000 people died from drug abuse, with half of them succumbing to liver disease caused by hepatitis C, while most injection drug users with hepatitis C still remain untreated.","In 2017, about 585,000 people died from drug abuse, with half succumbing to liver disease caused by hepatitis C, while most injection drug users with hepatitis C still lack access to treatment.","Half of the estimated 0.585 million drug-related deaths in 2017 were attributable to liver illness brought on by hepatitis C, which is largely untreated among injecting drug users."
120,使用说明书,Instructions for use.,User manual.,Instructions for Use.,User's Manual
121,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the earphone into the ear canal at a slight downward angle, and adjust the head slightly to ensure the earphone does not move.","Lightly tilt the earbud down and gently insert it into the ear canal, then adjust your head slightly to keep the earbud in place.",Gently insert the earphone into the ear canal at a slight downward angle and slightly adjust your head to keep the earphone in place.,"Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones."
122,充电开机使用前，请先撕掉左右耳机充各点处的网几，将充电盒及耳机充满电。,"Before using, please remove the mesh at the charging points of the left and right earphones, and charge the charging case and earphones until they are fully charged.","Before powering on and using the earphones, please remove the mesh at the charging points of the left and right earphones, and charge the charging case and earphones until they are fully charged.","Before using, remove the mesh grid at the charging points of the left and right earphones, then charge the charging box and earphones until fully powered.","Please remove the nets from the left and right earphone charging points before charging and using, and charge the charging box and headphones completely before using."
123,充电盒未充满电充电指示灯红灯长亮，充满电后充电:3 指示灯熄灭。,"The charging box is not fully charged. The red charging indicator light is on. When fully charged, the charging indicator light will turn off.","The charging box is not fully charged, with the red charging indicator light on. Once fully charged, the charging indicator light will turn off.","The charging box is not fully charged. The red charging indicator light is on. When fully charged, the charging indicator light will turn off.","The charging indication light on the charging box is not yet fully charged, the red light is on, and when it is, the charging indicator light: 3 is off."
124,自动连接: 局对移两只耳机从充时盒外十.,Automatic connection: Remove two earphones from the charging case.,The earphones automatically connect when removed from the charging case.,Take out the two earphones from the charging case.,Connect automatically by alternating between the two earbuds in the charging box up to 10.
125,随后红和白灯恢六. 左右囊如自过串联 .,The random text you provided does not appear to be a valid Chinese sentence. I am unable to provide a meaningful translation for it.,"I'm sorry, but the source text you provided does not appear to be a valid Chinese sentence, so I am unable to provide a meaningful translation. The text seems to be random characters that do not form a coherent sentence. Without a valid source text, I cannot generate an improved translation. Please provide a valid Chinese sentence if you would like me to attempt a translation.",The red and white lights then resumed. The left and right bags were connected in series.,The red and white lights return to six at that point. A network of connections connects the left and right capsules.
126,"待左/右耳机白灯懈 闪时. 打开设备否牙搜索 “RedmIArDots2 ""并点击完连溶。","Connect the left/right earbuds when the white light flashes. Open the device settings and search for ""RedmIArDots2"" and click to connect.","When the white light on the left/right earbud flashes, open the device settings and search for ""RedmIArDots2"" and click to connect.","Connect the left/right earbuds when the white light flashes. Open the device and search for ""RedmIArDots2"" and click to connect.","Activate the device, find ""RedmIArDots2."" and connect by tapping when the earphones flash white."
127,首次连接后. 囊志开机可自动回连上一次配对设备(蓝牙需开启)。,First connection after. The device can automatically reconnect to the last paired device (Bluetooth needs to be turned on).,The device will automatically reconnect to the last paired device (Bluetooth needs to be turned on) after the first connection.,Nangzhi auto-reconnects to previous device on Bluetooth enablement.,Nangzhi auto-reconnects to previous device on Bluetooth enablement.
128,"单耳 / 双耳自由切换; 两只耳机连接成功后即为双丁连接; 将任一耳机放回充电盒关机, 另一只耳机进入单耳模式, 重新取出即可自动恢复双耳模式 。","Single-ear / dual-ear free switching; after the two earphones are successfully connected, it becomes a dual-ear connection; when either earphone is placed back in the charging case and turned off, the other earphone enters the single-ear mode, and when taken out again, it automatically restores the dual-ear mode.","The earphones automatically switch between single-ear and dual-ear modes. When both earphones are connected, it is in dual-ear mode. Placing either earphone back in the charging case will cause the other earphone to enter single-ear mode, and taking it out again will automatically restore dual-ear mode.","Single-ear and dual-ear modes can be freely switched. Once the two earphones are successfully connected, they are in dual-ear mode. Placing either earphone back in the charging case and turning it off will put the other earphone in single-ear mode. Removing the earphone will automatically restore dual-ear mode.","You can freely switch between using one ear or both; once the two earphones are connected, they will have a double connection; if you put one earphone back into the charging box to turn it off, the other earphone will switch to the single ear mode; if you take it out again, it will switch back to the binaural mode."
129,如果耳机无法正常连接使用，请参照以下方式重置,"If the headphones cannot be connected and used normally, please refer to the following method to reset.","If the headphones cannot connect and use normally, please refer to the following method to reset.","If the headphones are not working properly, follow these steps to reset them.",Refer to the following techniques to reset the headset
130,耳机: 将耳机拿出充电盒， 在关机状态下， 分别长按两只耳机多功能键15 秒 ，至红白灯交替闪烁3 次后，松开并放回充电盒即可(清除耳机与手机的连授记录)。,"Earphones: Take the earphones out of the charging case, in the power-off state, long press the multi-function button of both earphones for 15 seconds respectively, until the red and white lights flash 3 times alternately, then release and put them back in the charging case (to clear the pairing record between the earphones and the phone).","Earphones: Take the earphones out of the charging case, with the earphones turned off, long press the button on both earphones for 15 seconds until the red and white lights flash 3 times alternately, then release and put them back in the charging case to clear the pairing record between the earphones and the phone.","Earphones: Take the earphones out of the charging case. With the earphones powered off, long press the multi-function button on each earphone for 15 seconds until the red and white lights flash 3 times alternately. Then release the buttons and place the earphones back in the charging case.","Take out earbuds, hold multi-function buttons for 15 secs when lights flash, without earphones, insert headphones after releasing buttons into charging box, awards list."
131,本严操的相关信息请查询销售网 : www micom,www.micom,"For information related to this product, please visit the sales website: www.micom.",www.micom,Visit www micom for Yan operation sales network info
132,"以下功能左右耳机均可操作, 轻按一下来电时，接听电话; 通话或去电中，挂断电话音乐时，播放 /暂停音频 ,长按约1 秒释放","The following functions can be operated on both the left and right earphones: Tap once to answer a call when receiving a call; during a call or outgoing call, tap to hang up the phone; during music playback, tap to play/pause audio, long press for about 1 second to release.","The following functions can be operated on both the left and right earphones: tap once to answer a call when receiving a call; during a call or outgoing call, tap to hang up the phone; during music playback, tap to play/pause audio, and long press for about 1 second to release.","The following functions can be operated on both the left and right headphones: Tap once to answer an incoming call; during a call or when making a call, tap to hang up; during music playback, tap to play/pause, long-press for about 1 second to disconnect.","Earbuds control features, answer calls, hang up, play/halt music, long press for one second to release,"
133,待机时， 开启语音助手(需设备支持语音功能且打开快速唤醒设置),"""While in standby mode, activate the voice assistant (requires device support for voice function and quick wake-up setting enabled).""","""While in standby mode, turn on the voice assistant, which requires the device to support voice function and have the quick wake-up setting enabled.""","To activate the voice assistant while in standby mode, ensure your device supports the voice function and has the Quick Wake-up setting enabled.",Turn on the voice assistant while it is in standby (the device needs to support the voice function and turn on the fast wake-up setting)
134,耳机基本参数,Headphone basic parameters,Headphone basic specifications,Headphone Basic Specifications,Basic headphone specifications
135,输入参数:5V 二 100mA,"5V, 100mA","Input parameters: 5V, 2 x 100mA","Input parameters: 5V, 100 mA",Input parameters: 5V 2 100mA
136,单耳净重: 约 4.1g,Approximately 4.1g.,The single-ear net weight is approximately 4.1g.,Net weight of a single earring: approximately 4.1 g.,Net weight: 4.1g/ear
137,"1 请勿以任何理由拆开.维修或改装耳机, 否则可能会导致起火甚至彻底损坏本产品;","Please do not disassemble, repair or modify the headphones for any reason, as this may result in fire or complete damage to the product.","Please do not disassemble, repair or modify the headphones for any reason, as this could result in fire or complete damage to the product.","Do not attempt to disassemble, repair, or modify the earphones, as this may result in fire or complete damage to the product.","Do not alter or remove the headset, it may cause fire or damage."
138,"4 请勿在雷暴天气下使用该设备, 雷暴可导致设备工作异常, 并增加触电的危险;","Please do not use this device during thunderstorms, as thunderstorms can cause the device to malfunction and increase the risk of electric shock.","Please do not use this device during thunderstorms, as thunderstorms may cause the device to malfunction and increase the risk of electric shock.","Do not use this device during thunderstorms, as they can cause it to malfunction and increase the risk of electric shock.",4 Avoid using the device during thunderstorms as they may result in irregular device operation and raise the danger of electric shock;
139,6 请勿将本产品与液体接触。,Please do not expose this product to liquids.,Do not allow this product to come into contact with liquids.,Do not allow this product to come into contact with liquid.,6 Don't let liquids touch this product.
140,注意,注意,Please pay attention.,Attention,Note:
141,"3 长时间连续使用耳机有损听力,请合理控制使用时间及音量 ;",,Long-term continuous use of headphones can damage hearing; please reasonably control usage time and volume.,"Prolonged use of earphones can damage your hearing, so we recommend limiting the time you use them and keeping the volume at a moderate level.",3 Please limit the amount of time and volume that you wear headphones to avoid damaging your hearing;
142,"2 自您签收次日起 8 日-15日内, 本产品出现《Redmi AirDots 2 ee E 故障表》所列性能故障的情况, 经由小米售后服务中心检测确 定, 可",Attention.,"Within 8-15 days from the date of your receipt, if this product exhibits the performance faults listed in the ""Redmi AirDots 2 ee E Fault List"", and it is confirmed by the Xiaomi after-sales service center, you can request a repair or replacement.","If the Redmi AirDots 2 product you purchased exhibits any of the defects listed in the Redmi AirDots 2 Fault List within 8 to 15 days of receiving it, and the Xiaomi customer service center confirms the issue, you may be eligible for a remedy.","2 If there is a performance issue within 8-15 days of receipt noted in the ""Redmi AirDots 2 EE Fault List,"" Xiaomi's after-sales service center will confirm and fix the problem"
143,电牙耳机 ”2 通话过程中，对方听不到声音。,"3 Prolonged continuous use of headphones can damage hearing, please reasonably control usage time and volume.",The electric toothbrush earbuds do not allow the other party to hear your voice during a call.,Bluetooth earphones have an issue during calls where the other party cannot hear the user's voice.,"mouthpiece headset ""2 The other party on a call is unable to hear the sound."
144,2 已超过三包有效期;,"2 Within 8-15 days from the date of your receipt, if this product exhibits the performance faults listed in the ""Redmi AirDots 2 ee E Fault List"", and it is confirmed by the Xiaomi after-sales service center, you can.",The warranty period has been exceeded.,The warranty period has expired.,2 Has outlived the three promises' periods of validity;
