index,source,zero_shot,single_agent,maats,reference
78,这种表达式的值是 Void.-fthis-—is-variable 允许对 this 赋值 (仅对 c++).,The value of this expression is Void. -fthis-—is-variable allows assignment to this (only for C++).,The value of this expression is Void. -fthis-is-variable allows assignment to this (only for C++).,This expression evaluates to void. The compiler flag -fthis-is-variable allows assignment to this (only for C++).,Such an expression incorporates a esteem of Void. Task to typically permitted (as it were in C++) utilizing the hail -fthis—is-variable.
79,"这个选项, 和它的反义选项, 使那样的程序工作在对应的默认值上.","This option, along with its opposite option, makes such programs operate on the corresponding default values.","This option, along with its opposite option, enables such programs to operate based on the corresponding default values.",This option and its opposite option enable such programs to operate on their respective default values.,This choice and its inverse constrain the identical default behavior for that program.
80,"如果没有明确声明 ` signed' 或 ""unsigned'修饰符, 这些选项用来定义有符号位域 (bitfield) 或无符号位域.","If there is no explicit declaration of the `signed` or `unsigned` modifier, these options are used to define signed bitfields or unsigned bitfields.","If there is no explicit declaration of the ""signed"" or ""unsigned"" modifier, these options are used to define signed bitfields or unsigned bitfields.",These options are used to define signed or unsigned bitfields only when there is no explicit declaration of the 'signed' or 'unsigned' modifier.,These alternatives are utilized to characterize marked or unsigned bitfields in case no “signed” or “unsigned” modifiers are explicitly given.
81,"这是为了兼容一些老程序,他们算改字符串常量是一个非常糟糕的想法、`-traditional' 选项也有相同效果.",This is to be compatible with some old programs that consider modifying string constants to be a very bad idea. The `-traditional' option has the same effect.,This is to be compatible with some old programs; they consider modifying string constants to be a very bad idea. The `-traditional' option has the same effect.,"This is to ensure compatibility with some old programs, which regard the modification of string constants as a very bad idea. The `-traditional` option has the same effect.","Typically done to guarantee compatibility with more seasoned applications that do not think it's a great thought to alter string constants, the same result is accomplished utilizing the “-traditional” choice."
82,其影响可能类似于2008年的经济危机,Its impact could be similar to the 2008 economic crisis.,Its impact could be similar to that of the 2008 economic crisis.,Its impact might be akin to that of the 2008 economic crisis.,The impacts can be comparable to the monetary emergency of 2008
83,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"In many countries, this disease has overwhelmed healthcare services, bringing them close to collapse. The restrictions implemented by governments have caused severe disruptions in the global economy.","In many countries, this disease has already overwhelmed healthcare services, bringing them close to collapse. The restrictions implemented by governments have caused severe disruptions in the global economy.","In many countries, this disease has left healthcare services struggling to cope, bringing them close to collapse, and the restrictions implemented by governments have caused significant turmoil in the global economy.","The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy."
84,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,Some producers may be forced to find new ways to manufacture drugs because restricting movement also limits access to precursors and essential chemicals.,Some producers may be forced to find new ways to manufacture drugs because restricting movement also limits access to precursors and essential chemicals.,"Some producers may be forced to find new ways to manufacture drugs, as the restrictions on movement simultaneously limit access to precursors and essential chemicals.","Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation."
85,一些国家有大量毒品通过商业航班走私，预计这些国家的贩毒活动受到的直接影响最大。,"Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug trafficking activities in these countries will be directly affected the most.","Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that the drug trafficking activities in these countries will be directly affected the most.","Some countries have a large amount of drugs smuggled through commercial flights, and it is expected that these countries' drug trafficking activities will be most directly impacted.",Nations where noteworthy sums of opiates are snuck on commercial flights are expected to be most extremely affected.
86,世界各地的吸毒现象一直在增多，无论是从总体数字还是从吸毒者在世界人口中所占比例来看都是如此。,"The phenomenon of drug use has been increasing worldwide, both in terms of overall numbers and the proportion of drug users within the global population.","The phenomenon of drug use has been increasing worldwide, both in terms of overall numbers and the proportion of drug users within the global population.","The phenomenon of drug abuse has been increasing worldwide, both in terms of the total number of users, and their proportion within the global population.",Both the outright number of individuals utilizing drugs and the rate of the worldwide populace utilizing drugs have been rising.
87,"这在一定程度上反映了这一期间总体人口增长的差异、发达国家为7%,发展中国家为28%但也反映了发展中国家年 轻人口增长较快。","This reflects, to a certain extent, the differences in overall population growth during this period, with developed countries at 7% and developing countries at 28%. It also indicates the faster growth of the young population in developing countries.","This reflects, to a certain extent, the differences in overall population growth during this period, with developed countries at 7% and developing countries at 28%, and it also indicates the faster growth rate of the young population in developing countries.","This somewhat reflects the differences in overall population growth during this period, with developed countries at 7 % and developing countries at 28 %. It also indicates the faster growth of young people in developing countries.","This to some degree reflects the reality that worldwide populace development amid the time shifted between industrialized and creating nations, at 7% and 28%, separately, but it moreover reflects the more youthful populaces in poorer nations developing more rapidly."
88,青少年和年轻成年人在吸毒者中所占比例最大。,Teenagers and young adults make up the largest proportion of drug users.,Teenagers and young adults make up the largest proportion of drug users.,Teenagers and young adults constitute the largest group among drug users.,Youthful individuals and young people account for the larger part of sedate clients.
89,无论是发达国家还是发展中国家，城市地区的吸毒情况都多于农村地区。,"Whether in developed or developing countries, drug use is more prevalent in urban areas than in rural areas.","Whether in developed or developing countries, drug use is more prevalent in urban areas than in rural areas.","Whether in developed or developing countries, the situation of drug use is more common in urban areas compared to rural areas.","Urban zones are more likely than country ones to have a sedate issue, both in created and creating countries."
90,吸毒情况总体增多的部分原因是人口从农村向城镇的大规模流动一目前全世界人口有一半以上生活在城市地区，而1960年这一比例为34%。,"The overall increase in drug use is partly due to the large-scale migration of people from rural areas to urban areas. Currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","The overall increase in drug use is partly due to the large-scale migration of people from rural areas to urban areas; currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","The overall increase in drug use is partly due to the large-scale flow of people from rural areas to urban areas, and currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","More than half of the world's populace presently lives in urban locales, up from 34% in 1960, and this colossal relocation from rustic to urban regions is to a great extent to fault for the common rise in sedate utilize."
91,城市化可能是毒品市场未来动态的一个关键因素，特别是在城市化趋势更为突出的发展中国家。,"Urbanization may be a key factor in the future dynamics of the drug market, especially in developing countries where the trend of urbanization is more prominent.","Urbanization may be a key factor in the future dynamics of the drug market, especially in developing countries where the trend of urbanization is more prominent.","Urbanization may be a key factor in the future dynamics of the drug market, especially in developing countries where urbanization trends are more pronounced.","Urbanization may play a critical part within the dynamics of sedate markets within the future, especially in developing countries where urbanization is more articulated."
92,来自少数几个国家的数据表明，有害的吸毒模式与病症同低收入之间存在联系。,Data from a few countries suggest that harmful drug use patterns and disorders are linked to low income.,Data from a few countries suggest that harmful drug use patterns and disorders are linked to low income.,Data from a few countries suggest that patterns of harmful drug use and related disorders are linked to low income.,"Moo pay and unsafe medicate utilize designs and conditions are related, agreeing to information from a little number of countries."
93,这些模式在较富裕的社会阶层似乎不太常见。,These patterns seem to be less common in the more affluent social classes.,These patterns seem to be less common in the more affluent social classes.,These patterns seem to be less common among the affluent social classes.,These patterns appear to be less predominant among financial classes with more prominent riches.
94,新冠肺炎或将导致毒品市场进一步扩张新冠肺炎的大流行可能会导致更多农民增加或从事非法作物种植，或是因为国家主管机关的控制能力降低，或是因为在经济危机之下可能有更多人不得不铤而走险，从事非法活动。,"The COVID-19 pandemic may lead to further expansion of the drug market. The pandemic could result in more farmers increasing or engaging in the cultivation of illegal crops, either due to the reduced control capacity of national authorities or because more people might be forced to take risks and engage in illegal activities amidst the economic crisis.","The COVID-19 pandemic may lead to further expansion of the drug market, as it could result in more farmers increasing or engaging in the cultivation of illegal crops, either due to the reduced control capacity of national authorities or because more people might be forced to take risks and engage in illegal activities amidst the economic crisis.","The COVID-19 pandemic may lead to further expansion of the drug market. The pandemic could result in more farmers turning to or increasing the cultivation of illegal crops, either due to the diminished control capacity of national authorities, or because more people might be forced to take desperate measures and engage in illegal activities amidst the economic crisis.","The pharma showcase seem develop encourage as a result of COVID-19, got to take chances and do illegal things."
95,会员国的国内市场每年约有500种新型活性物质。,The domestic markets of member countries have approximately 500 new active substances each year.,The domestic markets of member countries introduce approximately 500 new active substances each year.,The collective domestic market of member countries introduces approximately 500 new active substances annually.,"On the residential showcase of Part States, around 500 modern dynamic chemicals are presented each year."
96,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","In the total number of new psychoactive substances identified in 2014, opioid-type new psychoactive substances accounted for only 2%. However, by 2018, this figure had risen to 9%.","In the total number of new psychoactive substances identified in 2014, opioid-type new psychoactive substances accounted for only 2%. However, by 2018, this figure had already risen to 9%.","Opioid-type new psychoactive substances accounted for only 2% of the total number identified in 2014, but by 2018, this figure had already risen to 9%.","In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%."
97,类阿片新型精神活性物质中有许多是芬太尼的类似物，其药效和危害已得到证明，在北美导致了过量死亡事件，其他区域也有，但程度较轻。,"Many of the new psychoactive substances in the opioid category are analogs of fentanyl, whose potency and harmful effects have been proven. They have led to overdose deaths in North America, and although they are present in other regions, the impact is relatively less severe.","Many of the opioid-like new psychoactive substances are analogs of fentanyl, whose potency and harmful effects have been proven. They have led to overdose deaths in North America, and although they are present in other regions, the impact is relatively less severe.","Many of the new psychoactive substances in the opioid category are analogs of fentanyl, with both their potency and harmful effects well-established; they have led to overdose deaths in North America, and although they are present in other regions, the impact is less severe.","Overdose passing from NPS opioids, numerous of which are fentanyl analogs, have been reported in North America and, to a lesser degree, abroad."
98,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,"In North America, fentanyl is sometimes used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and sometimes used to manufacture counterfeit medicinal opioids.","In North America, fentanyl is sometimes used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and sometimes used to manufacture counterfeit medicinal opioids.","In North America, fentanyl is sometimes used as an adulterant in heroin and other drugs (including cocaine and methamphetamine) and sometimes used to produce counterfeit opioids.",Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.
99,2新型精神活性物质的使用可能会逐渐牢固存在于弱势群体中,The use of new psychoactive substances may gradually become entrenched among vulnerable groups.,The use of new psychoactive substances may gradually become entrenched among vulnerable groups.,The use of two new psychoactive substances may gradually become firmly established among vulnerable groups.,2 Modern psychoactive sedate utilize seem ended up broadly acknowledged in vulnerable communities
100,贩毒者和制毒者一直在寻找替代品一不仅有管制较松的物质，还有专门为规避管制而设计的化学品，即所谓的“特制前体”。,"Drug traffickers and manufacturers have been constantly seeking alternatives—not only substances that are less regulated but also chemicals specifically designed to evade regulation, known as ""designer precursors.""","Drug traffickers and manufacturers have been constantly seeking alternatives—not only substances that are less regulated but also chemicals specifically designed to evade regulation, known as ""designer precursors.""","Drug traffickers and manufacturers have been constantly seeking alternatives, not limited to less regulated substances but also including chemicals specifically designed to evade regulation, known as ""designer precursors.""","Medicate makers and traffickers are continually investigating for substitutes, counting not as it were less entirely controlled drugs but moreover substances made intentioned to urge over existing directions, or ""architect antecedents."""
101,旨在阻止新冠肺炎传播的限制性措施很可能使依赖前体化学品的制毒者受到进一步挤压。,Restrictive measures aimed at preventing the spread of COVID-19 are likely to further pressure drug manufacturers who rely on precursor chemicals.,Restrictive measures aimed at preventing the spread of COVID-19 are likely to further pressure drug producers who rely on precursor chemicals.,Restrictive measures aimed at preventing the spread of COVID-19 are likely to put further pressure on drug producers who rely on precursor chemicals.,Medicate producers who depend on antecedent chemicals would certainly feel the impacts of prohibitive measures planning to halt the spread of COVID-19.
102,来自墨西哥的证据表明，这已经成为 现实：据报告，2020年3月，从东亚进口的甲基苯丙胺前体短缺促使墨西哥和美国的甲基苯丙胺价格上涨。,"Evidence from Mexico suggests that this has become a reality: It was reported that in March 2020, a shortage of methamphetamine precursors imported from East Asia led to an increase in methamphetamine prices in Mexico and the United States.","Evidence from Mexico suggests that this has become a reality: It was reported that in March 2020, a shortage of methamphetamine precursors imported from East Asia led to an increase in methamphetamine prices in Mexico and the United States.",Evidence from Mexico suggests that this is now a reality: evidence from March 2020 indicates that a shortage of methamphetamine precursors imported from East Asia led to an increase in methamphetamine prices in Mexico and the United States.,"Information from Mexico infers that this is often as of now the case: in Walk 2020, Mexico and the Joined together States detailed cost rises for methamphetamine due to deficiencies of forerunners provided from East Asia."
103,阿富汗和伊拉克甲基苯丙胺市场增长,The methamphetamine market in Afghanistan and Iraq is growing.,The methamphetamine market in Afghanistan and Iraq is growing.,The methamphetamine market is expanding in Afghanistan and Iraq.,Showcase development for methamphetamine in Afghanistan and Iraq
104,最近，伊拉克当局发现了多个甲基苯丙胺加工点，麻管局已对伪麻黄碱制剂的大批进口表示关切一甲基苯丙胺加工点将这些制剂用作前体。,"Recently, Iraqi authorities have discovered multiple methamphetamine processing sites. The narcotics control bureau has expressed concern over the large importation of pseudoephedrine preparations, which are being used as precursors at these methamphetamine processing sites.","Recently, Iraqi authorities have discovered multiple methamphetamine processing sites. The Narcotics Control Bureau has expressed concern over the large importation of pseudoephedrine preparations, which are being used as precursors at these methamphetamine processing sites.","Recently, Iraqi authorities have discovered multiple methamphetamine processing sites. The Anti-Narcotics Authority has expressed concern over the large importation of pseudoephedrine preparations, which are used as precursors in these methamphetamine processing sites.","The Board has voiced stress with respect to the importation of critical sums of pseudoephedrine arrangements, which are utilized as antecedents by methamphetamine research facilities, in light of the later disclosure of methamphetamine research facilities by Iraqi specialists."
105,自那时起，甲基苯丙胺的缉获量一直在稳步上升。,"Since then, the seizure of methamphetamine has been steadily increasing.","Since then, the seizure of methamphetamine has been steadily increasing.","Since then, methamphetamine seizures have been steadily increasing.","Since at that point, methamphetamine seizures have been steadily expanding."
106,但2019年上半年的缉获量一^657公斤——与上一年相比大幅骤增。,"However, the amount seized in the first half of 2019 was 657 kilograms, which is a significant increase compared to the previous year.","However, the amount seized in the first half of 2019 was 657 kilograms—a significant increase compared to the previous year.","However, 657 kilograms were seized in the first half of 2019, representing a significant and sudden increase over the previous year.","But compared to the earlier year, seizures within the to begin with half of 2019 come to 657kg, a noteworthy increment."
107,在美国最早通过立法的两个州科罗拉多州和华盛顿州，成年人非医疗使用大麻的情况增加，特别是过去一个月以及每天或几乎每天使用的情况增多，自2012年起便已超过了全国平均水平。,"In the two states that were the first to pass legislation in the United States, Colorado and Washington, the non-medical use of marijuana among adults has increased, particularly in terms of usage in the past month and daily or almost daily use. Since 2012, these levels have surpassed the national average.","In the two states that were the first to pass legislation in the United States, Colorado and Washington, the non-medical use of marijuana among adults has increased, particularly in terms of usage in the past month and daily or almost daily use, and since 2012, these levels have immediately surpassed the national average.","In the two states that were the first to legalize non-medical marijuana use in the United States, Colorado and Washington, the non-medical use of marijuana among adults has increased, particularly with regard to usage over the past month and daily or almost daily use. Since 2012, these levels have surpassed the national average.","Grown-up non-medical pot utilize has surged, particularly within the past month, and day by day or nearly every day utilize has surpassed the national normal since 2012 in Colorado and Washington, two of the primary US states to endorse laws."
108,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,Is the reason behind the sharp decline in global cannabis seizures the legalization of marijuana?,Is the reason behind the sharp decline in global cannabis seizures the legalization of marijuana?,Is the cause of the sharp decline in global cannabis herb seizure volume the legalization of cannabis?,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?
109,对新型精神活性物质的监管似乎有遏制作用在国内对新型精神活性物质的监管效果仍然很难评估。,"The regulation of new psychoactive substances seems to have a deterrent effect, but it is still difficult to assess the effectiveness of such regulation domestically.","The regulation of new psychoactive substances seems to have a deterrent effect, but it remains difficult to assess the effectiveness of such regulation domestically.","The regulation of new psychoactive substances appears to have a restraining effect, but assessing the effectiveness of such regulation domestically remains challenging.","NPS control shows up to have a dissuasive impact, it is still challenging to assess the household control of NPS."
110,一些对新型精神活性物质采用不同监管制度的国家显示出不同的新型精神活性物质使用流行率。,Some countries that adopt different regulatory systems for new psychoactive substances show varying prevalence rates of new psychoactive substance use.,Some countries that adopt different regulatory systems for new psychoactive substances show varying prevalence rates of new psychoactive substance use.,"Some countries that adopt different regulatory systems specifically for new psychoactive substances, exhibit different rates of new psychoactive substance use.",The predominance of NPS utilize changes among a few countries with particular NPS administrative systems.
111,在另一些国家，通过国内立法后，新型精神活性物质使用情况有所减少。,"In some other countries, the use of new psychoactive substances has decreased after domestic legislation was enacted.","In some other countries, the use of new psychoactive substances has decreased after domestic legislation was enacted.","In certain other countries, the use of new types of psychoactive substances has decreased as a result of domestic legislation being enacted.","With the sanctioning of household enactment, the utilize of NPS has diminished in different countries."
112,"据估计，低收入和中等收入国家的人口占全球人口的88%,但消费的药用类阿片却不到10%。","It is estimated that the population of low- and middle-income countries accounts for 88% of the global population, but they consume less than 10% of medicinal opioids.","It is estimated that the population of low- and middle-income countries accounts for 88% of the global population, but they consume less than 10% of medicinal opioids.","It is estimated that the population of low- and middle-income countries makes up 88 % of the global population; however, they consume less than 10 % of opioids for medical use.","In spite of the fact that moo- and middle-income countries are thought to be domestic to 88% of the world's populace, they as it were utilize 10% of all pharmaceutical opioids."
113,获取药用类阿片的障碍与许多因素有关，包括立法、文化、卫生系统和处方做法。,"The obstacles to obtaining medicinal opioids are related to many factors, including legislation, culture, healthcare systems, and prescribing practices.","The obstacles to obtaining medicinal opioids are related to many factors, including legislation, culture, healthcare systems, and prescribing practices.","There are many factors related to the obstacles in obtaining opioids for medical use, including legislation, culture, healthcare systems, and prescribing practices.","Enactment, culture, healthcare frameworks, and endorsing hones are some of the numerous components that might make obstructions to getting to pharmaceutical opioids."
114,全球范围的有限数据表明，迷醉可能是杀人的一个重要因素。,Limited data worldwide suggest that intoxication may be an important factor in killings.,Limited data worldwide suggest that intoxication may be an important factor in killings.,Limited data worldwide suggest that being mesmerized or entranced may play a significant role in homicides.,"Inebriation may play a critical part in crime, agreeing to constrained information from around the world."
115,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,"It is estimated that in 2018, 192 million people used cannabis, making it the most widely used drug in the world.","It is estimated that in 2018, 192 million people used cannabis, making it the most widely used drug in the world.","It is estimated that in 2018, 192 million people used cannabis, thus making it the most widely used drug globally.",Cannabis was the top substance used globally in 2018 by 0.192 billion people.
116,"在2017年与吸毒病症有关的估计167,000例死亡中，有66%是这类物质造成的，在据信为吸毒导致的残疾或过早死亡而损失的2,100万年寿命中，有50%是这类物质造成的。","In the estimated 167,000 drug-related deaths in 2017, 66% were caused by this type of substance. Of the 21 million years of life lost due to disability or premature death believed to be caused by drug use, 50% were attributed to this type of substance.","In the estimated 167,000 deaths related to drug-related disorders in 2017, 66% were caused by this type of substance. Of the 21 million years of life lost due to disability or premature death believed to be caused by drug use, 50% were attributed to this type of substance.","In the estimated 167,000 drug-related deaths in 2017, 66% were caused by this type of substance. In the 21 million years of life lost due to disability or premature death believed to result from drug use, 50% were attributed to this type of substance.","50 percent of the 21 million years of life thought to have been lost to drug-related disability or premature death in 2017 and 66 percent of the projected 167,000 deaths from drug use disorders were attributed to substances, Resulting from chemicals."
117,兴奋剂领域以可卡因和甲基苯丙胺为主，这两种物质在其主要市场的使用量都在上升。,"In the field of stimulants, cocaine and methamphetamine are predominant, and the use of these two substances is increasing in their main markets.","In the field of stimulants, cocaine and methamphetamine are predominant, and the use of these two substances is increasing in their main markets.","In the stimulant category, cocaine and methamphetamine are predominant and the use of these two substances is increasing in their main markets.","Cocaine and methamphetamine, which both have rising use in their key areas, dominate the stimulant market."
118,在一些市场上，可卡因和甲基苯丙胺可以共存，有时是相互替代，这样一种药物的使用量上升时另一种药物的使用量就下降，有时是同时增加和减少以满足同一市场的需求。,"In some markets, cocaine and methamphetamine can coexist and sometimes serve as substitutes for each other. When the use of one drug increases, the use of the other decreases, and sometimes both increase or decrease simultaneously to meet the demand of the same market.","In some markets, cocaine and methamphetamine can coexist and sometimes serve as substitutes for each other; when the use of one drug increases, the use of the other decreases, and sometimes both increase or decrease simultaneously to meet the demand of the same market.","In some markets, cocaine and methamphetamine can coexist and sometimes serve as substitutes for each other. When the use of one drug increases, the use of the other decreases, and sometimes both increase or decrease simultaneously to meet the same market demand.","Cocaine and methamphetamine can coexist in some markets, occasionally substituting for one another, causing the use of one drug to climb while the usage of the other lowers, or occasionally both rising and falling to satisfy demand in the same market."
119,2017年，因吸毒死亡的约有 58.5万人，其中一半死于丙型肝炎引起的肝病，而注射吸毒者的丙型肝炎大多仍未得到治疗。,"In 2017, approximately 585,000 people died from drug use, with half of them dying from liver disease caused by hepatitis C. Most cases of hepatitis C among injection drug users remain untreated.","In 2017, approximately 585,000 people died due to drug use, with half of them dying from liver disease caused by hepatitis C. Most cases of hepatitis C among injection drug users remain untreated.","In 2017, approximately 58.5 million people died from drug use, with half of them dying from liver disease caused by hepatitis C, and most injection drug users with hepatitis C have not received treatment.","Half of the estimated 0.585 million drug-related deaths in 2017 were attributable to liver illness brought on by hepatitis C, which is largely untreated among injecting drug users."
120,使用说明书,Instruction manual,User manual,User Manual,User's Manual
121,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the earbud diagonally downward into the ear canal, and slightly tilt your head to ensure the earphone stays in place.","Gently insert the earbud diagonally downward into the ear canal, and slightly tilt your head to ensure the earphone remains securely in place.","Gently insert the earbud diagonally downward into the ear canal, and slightly tilt your head to keep the earbud from moving.","Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones."
122,充电开机使用前，请先撕掉左右耳机充各点处的网几，将充电盒及耳机充满电。,"Before turning on and using the device, please first remove the protective mesh from the charging points on both earphones, and fully charge the charging case and earphones.","Before turning on and using the device, please first remove the protective mesh from the charging points on both earphones, and fully charge the charging case and earphones.","Before using the device, please first remove the mesh covering each charging point on both earphones and fully charge the charging case and earphones.","Please remove the nets from the left and right earphone charging points before charging and using, and charge the charging box and headphones completely before using."
123,充电盒未充满电充电指示灯红灯长亮，充满电后充电:3 指示灯熄灭。,"When the charging case is not fully charged, the charging indicator light stays red. Once fully charged, the charging indicator light turns off.","When the charging case is not fully charged, the charging indicator light stays red. Once fully charged, the charging indicator light marked ""3"" turns off.","When the charging case is not fully charged, the indicator light stays red. When fully charged, the indicator light turns off.","The charging indication light on the charging box is not yet fully charged, the red light is on, and when it is, the charging indicator light: 3 is off."
124,自动连接: 局对移两只耳机从充时盒外十.,Automatic connection: The two earbuds will connect automatically when removed from the charging case.,Automatic connection: The two earbuds will automatically connect when removed from the charging case.,Automatic connection. The two earbuds will connect automatically once removed from the charging case.,Connect automatically by alternating between the two earbuds in the charging box up to 10.
125,随后红和白灯恢六. 左右囊如自过串联 .,"The translation of the text you provided is: ""Then the red and white lights return to six. The left and right pouches are connected in series.""","Then, the red and white lights are restored to normal, and the left and right pouches are connected in sequence.","Subsequently, the red and white lights revert to six positions, and the left and right compartments are connected in series.",The red and white lights return to six at that point. A network of connections connects the left and right capsules.
126,"待左/右耳机白灯懈 闪时. 打开设备否牙搜索 “RedmIArDots2 ""并点击完连溶。","When the white light on the left/right earbud flashes, turn on the Bluetooth on your device, search for ""Redmi AirDots 2,"" and click to complete the connection.","When the white light on the left/right earbud stops flashing, turn on the Bluetooth on your device, search for ""Redmi AirDots 2,"" and click to connect.","Wait until the white light on the left/right earbud stops flashing, then turn on the Bluetooth on your device, search for ""Redmi AirDots 2,"" and click to connect.","Activate the device, find ""RedmIArDots2."" and connect by tapping when the earphones flash white."
127,首次连接后. 囊志开机可自动回连上一次配对设备(蓝牙需开启)。,"After the first connection, the device will automatically reconnect to the last paired device when powered on (Bluetooth needs to be enabled).","After the first connection, the Nangzhi device will automatically reconnect to the last paired device when powered on (Bluetooth needs to be enabled).","After the first connection, the device's memory will automatically reconnect to the last paired device when the device is turned on, provided Bluetooth is enabled.",Nangzhi auto-reconnects to previous device on Bluetooth enablement.
128,"单耳 / 双耳自由切换; 两只耳机连接成功后即为双丁连接; 将任一耳机放回充电盒关机, 另一只耳机进入单耳模式, 重新取出即可自动恢复双耳模式 。","Single-ear / dual-ear free switching; once both earbuds are successfully connected, they are in dual-ear mode. If you put either earbud back into the charging case, it will turn off, and the other earbud will enter single-ear mode. Taking it out again will automatically restore dual-ear mode.","Single-ear / dual-ear free switching; once both earbuds are successfully connected, they are in dual-device connection mode. If you put either earbud back into the charging case, it will turn off, and the other earbud will enter single-ear mode. Taking it out again will automatically restore dual-ear mode.","Single-ear / two-ear free switching. Once both earbuds are successfully connected, they enter dual connection. If you put either earbud back into the charging case, it will turn off. The other earbud will enter single-ear mode. Taking it out again automatically restores two-ear mode.","You can freely switch between using one ear or both; once the two earphones are connected, they will have a double connection; if you put one earphone back into the charging box to turn it off, the other earphone will switch to the single ear mode; if you take it out again, it will switch back to the binaural mode."
129,如果耳机无法正常连接使用，请参照以下方式重置,"If the headphones are not connecting properly, please reset them using the following method.","If the headphones are not connecting properly, please reset them according to the following method.","If the headphones are not connecting properly, please follow the steps below to reset them.",Refer to the following techniques to reset the headset
130,耳机: 将耳机拿出充电盒， 在关机状态下， 分别长按两只耳机多功能键15 秒 ，至红白灯交替闪烁3 次后，松开并放回充电盒即可(清除耳机与手机的连授记录)。,"Headphones: Take the headphones out of the charging case. When they are powered off, press and hold the multifunction button on both headphones for 15 seconds until the red and white lights flash alternately three times. Then release and place them back in the charging case (this will clear the pairing records between the headphones and the phone).","Headphones: Take the headphones out of the charging case. When they are powered off, press and hold the multifunction button on both headphones for 15 seconds until the red and white lights flash alternately three times. Then release and place them back in the charging case (this will clear the pairing records between the headphones and the phone).","Headphones: Take the headphones out of the charging case. When they are powered off, press and hold the multifunction button on both headphones for 15 seconds until the lights flash red and white alternately three times; then release and place them back in the charging case (this will clear the connection records between the headphones and the phone).","Take out earbuds, hold multi-function buttons for 15 secs when lights flash, without earphones, insert headphones after releasing buttons into charging box, awards list."
131,本严操的相关信息请查询销售网 : www micom,"For information related to Yan Cao, please visit the sales website: www.micom","For information related to Yan Cao, please check the sales website: www.micom","For related information, please check the sales network: www. micom",Visit www micom for Yan operation sales network info
132,"以下功能左右耳机均可操作, 轻按一下来电时，接听电话; 通话或去电中，挂断电话音乐时，播放 /暂停音频 ,长按约1 秒释放","The following functions can be operated with both the left and right earphones: Press once during an incoming call to answer the call; during a call or outgoing call, hang up the call. When listening to music, play/pause audio by pressing and holding for about 1 second and then releasing.","The following functions can be operated with both the left and right earphones: Press once during an incoming call to answer the call. During a call or outgoing call, hang up the call. When listening to music, press and hold for about 1 second to release and play/pause audio.","The following functions can be operated with both the left and right earphones: Lightly press once during an incoming call to answer the call, during a call or outgoing call, hang up the call. When listening to music, press and hold for about 1 second, then release to play/pause audio.","Earbuds control features, answer calls, hang up, play/halt music, long press for one second to release,"
133,待机时， 开启语音助手(需设备支持语音功能且打开快速唤醒设置),"When in standby mode, activate the voice assistant (requires the device to support voice functionality and have the quick wake-up setting enabled).","When in standby mode, activate the voice assistant (requires the device to support voice functionality and have the quick wake-up setting enabled).","When in standby mode, turn on the voice assistant, which requires the device to support voice functionality and have the quick wake-up setting enabled.",Turn on the voice assistant while it is in standby (the device needs to support the voice function and turn on the fast wake-up setting)
134,耳机基本参数,Earphone Basic Specifications,Earphone Basic Parameters,Basic Headphone Specifications,Basic headphone specifications
135,输入参数:5V 二 100mA,Input parameters: 5V and 100mA,Input parameters: 5V 2 100mA,"Input parameters: 5V, 2, 100mA",Input parameters: 5V 2 100mA
136,单耳净重: 约 4.1g,Net weight of a single earbud: approximately 4.1g,Net weight per ear: approximately 4.1g,The net weight of a single earbud is approximately 4.1 g.,Net weight: 4.1g/ear
