index,source,zero_shot,single_agent,maats,reference
79,"如果没有明确声明 ` signed' 或 ""unsigned'修饰符, 这些选项用来定义有符号位域 (bitfield) 或无符号位域.","If the `signed` or `unsigned` modifiers are not explicitly declared, these options are used to define signed or unsigned bitfields.","If `signed` or `unsigned` modifiers are not explicitly specified, these options are used to define signed or unsigned bitfields.","If `signed` or `unsigned` modifiers are not explicitly specified, these options define whether bitfields are signed or unsigned.",These alternatives are utilized to characterize marked or unsigned bitfields in case no “signed” or “unsigned” modifiers are explicitly given.
80,"这是为了兼容一些老程序,他们算改字符串常量是一个非常糟糕的想法、`-traditional' 选项也有相同效果.","This is for compatibility with some old programs; they modify string constants, which is a very bad idea. The `-traditional' option has the same effect.","This is for compatibility with some old programs; modifying string constants is a very bad idea, and the `-traditional` option also has the same effect.","This is for compatibility with some old programs that modify string constants, which is a very bad idea, and the `-traditional` option also has the same effect.","Typically done to guarantee compatibility with more seasoned applications that do not think it's a great thought to alter string constants, the same result is accomplished utilizing the “-traditional” choice."
81,其影响可能类似于2008年的经济危机,Its impact may be similar to the 2008 financial crisis.,Its impact could be similar to the 2008 economic crisis.,Its impact could be similar to the 2008 economic crisis.,The impacts can be comparable to the monetary emergency of 2008
82,在许多国家，这一疾病己使医疗服务机构穷于应付，几近崩溃，各国政府实施的限制措施已在全球经济中造成了严重紊乱。,"In many countries, this disease has overwhelmed healthcare systems, pushing them to the brink of collapse, and the restrictions implemented by governments have caused severe disruption in the global economy.","In many countries, this disease has overwhelmed healthcare services, bringing them to the brink of collapse, and the restrictive measures implemented by governments have caused severe disruption in the global economy.","In many countries, this disease has overwhelmed healthcare services to near collapse, and the restrictive measures implemented by governments have caused severe disruption in the global economy.","The affliction has disabled wellbeing frameworks in a few countries to the point of collapse, and government confinements have seriously disturbed the world economy."
83,一些生产者可能会被迫寻找新的方法来制造毒品，因为限制流动的同时也限制了前体和基本化学品的获取。,"Some producers may be forced to find new ways to manufacture drugs, as restricting movement also restricts access to precursors and essential chemicals.","Some producers may be forced to find new ways to manufacture drugs, because restrictions on movement also limit access to precursors and essential chemicals.","Some producers may be forced to find new ways to manufacture drugs, because restrictions on movement also limit access to precursors and essential chemicals.","Due to the constrained get to to antecedents and essential chemicals caused by development confinements, certain makers may be obliged to create modern strategies of medicine generation."
84,一些国家有大量毒品通过商业航班走私，预计这些国家的贩毒活动受到的直接影响最大。,"Some countries experience the greatest direct impact from drug trafficking, with large quantities of drugs being smuggled through commercial flights.",Countries where large quantities of drugs are smuggled via commercial flights are expected to experience the most direct impact on their drug trafficking activities.,Some countries where large quantities of drugs are smuggled via commercial flights are expected to see the most direct impact on their drug trafficking activities.,Nations where noteworthy sums of opiates are snuck on commercial flights are expected to be most extremely affected.
85,世界各地的吸毒现象一直在增多，无论是从总体数字还是从吸毒者在世界人口中所占比例来看都是如此。,"Drug use is increasing worldwide, both in terms of total numbers and as a proportion of the world's population.","Drug abuse worldwide has been increasing, both in terms of overall numbers and as a proportion of the global population.","Drug abuse worldwide has been increasing, both in terms of overall numbers and as a proportion of the global population.",Both the outright number of individuals utilizing drugs and the rate of the worldwide populace utilizing drugs have been rising.
86,"这在一定程度上反映了这一期间总体人口增长的差异、发达国家为7%,发展中国家为28%但也反映了发展中国家年 轻人口增长较快。",This partly reflects the differences in overall population growth during this period—7% in developed countries and 28% in developing countries—but it also reflects the faster growth of the young population in developing countries.,"To some extent, this reflects the difference in overall population growth during this period, with developed countries at 7% and developing countries at 28%, but it also reflects the faster growth of the young population in developing countries.","To some extent, this reflects both the overall population growth difference during this period (7% in developed countries, 28% in developing countries) and the faster growth of the young population in developing countries.","This to some degree reflects the reality that worldwide populace development amid the time shifted between industrialized and creating nations, at 7% and 28%, separately, but it moreover reflects the more youthful populaces in poorer nations developing more rapidly."
87,青少年和年轻成年人在吸毒者中所占比例最大。,Adolescents and young adults make up the largest proportion of drug users.,Teenagers and young adults make up the largest proportion of drug users.,Teenagers and young adults make up the largest proportion of drug users.,Youthful individuals and young people account for the larger part of sedate clients.
88,无论是发达国家还是发展中国家，城市地区的吸毒情况都多于农村地区。,"Drug use is more prevalent in urban areas than in rural areas, whether in developed or developing countries.","Whether in developed or developing countries, the prevalence of drug abuse is higher in urban areas than in rural areas.","Whether in developed or developing countries, the prevalence of drug abuse is higher in urban areas than in rural areas.","Urban zones are more likely than country ones to have a sedate issue, both in created and creating countries."
89,吸毒情况总体增多的部分原因是人口从农村向城镇的大规模流动一目前全世界人口有一半以上生活在城市地区，而1960年这一比例为34%。,"Part of the overall increase in drug use is due to the massive population shift from rural to urban areas—currently, more than half of the world's population lives in urban areas, compared to 34% in 1960.","Part of the reason for the overall increase in drug use is the large-scale migration of the population from rural to urban areas—more than half of the world's population now lives in urban areas, compared to 34% in 1960.","Part of the reason for the overall increase in drug use is the large-scale migration of the population from rural to urban areas—more than half of the world's population now lives in urban areas, compared to 34% in 1960.","More than half of the world's populace presently lives in urban locales, up from 34% in 1960, and this colossal relocation from rustic to urban regions is to a great extent to fault for the common rise in sedate utilize."
90,城市化可能是毒品市场未来动态的一个关键因素，特别是在城市化趋势更为突出的发展中国家。,"Urbanization may be a key factor in the future dynamics of the drug market, particularly in developing countries where urbanization trends are more pronounced.","Urbanization may be a key factor in the future dynamics of drug markets, especially in developing countries where urbanization trends are more pronounced.","Urbanization may be a key factor in the future dynamics of drug markets, especially in developing countries where urbanization trends are more pronounced.","Urbanization may play a critical part within the dynamics of sedate markets within the future, especially in developing countries where urbanization is more articulated."
91,来自少数几个国家的数据表明，有害的吸毒模式与病症同低收入之间存在联系。,Data from a few countries suggest a link between harmful drug use patterns and both illnesses and low income.,"Data from a few countries indicate a link between harmful drug use patterns, morbidity, and low income.","Data from a few countries indicate a link among harmful drug use patterns, morbidity, and low income.","Moo pay and unsafe medicate utilize designs and conditions are related, agreeing to information from a little number of countries."
92,这些模式在较富裕的社会阶层似乎不太常见。,These patterns seem less common in wealthier social classes.,These patterns seem less common among more affluent social classes.,These patterns seem less common among more affluent social classes.,These patterns appear to be less predominant among financial classes with more prominent riches.
93,新冠肺炎或将导致毒品市场进一步扩张新冠肺炎的大流行可能会导致更多农民增加或从事非法作物种植，或是因为国家主管机关的控制能力降低，或是因为在经济危机之下可能有更多人不得不铤而走险，从事非法活动。,"The COVID-19 pandemic may lead to further expansion of the drug market. More farmers may increase or engage in illegal crop cultivation, either because of reduced control by national authorities, or because more people may be forced to take risks and engage in illegal activities due to the economic crisis.","COVID-19 could lead to further expansion of the drug market. The pandemic might cause more farmers to increase or start cultivating illicit crops, either because the control capabilities of state authorities are diminished, or because the economic crisis might compel more people to take desperate measures and engage in illegal activities.","COVID-19 could lead to further expansion of the drug market. The pandemic might cause more farmers to increase or start cultivating illicit crops, either because state authorities' control is diminished, or because the economic crisis might compel more people to take desperate measures and engage in illegal activities.","The pharma showcase seem develop encourage as a result of COVID-19, got to take chances and do illegal things."
94,会员国的国内市场每年约有500种新型活性物质。,Member states' domestic markets see approximately 500 new active substances each year.,Approximately 500 new active substances enter the domestic markets of Member States each year.,Approximately 500 new active substances enter the domestic markets of Member States each year.,"On the residential showcase of Part States, around 500 modern dynamic chemicals are presented each year."
95,"在2014年确定的新型精神活性物质种类总数中，类阿片新型精神活性物质仅占2%,但到2018年，这一数字己上升至9%。","Of the total number of new psychoactive substances identified in 2014, synthetic opioid new psychoactive substances accounted for only 2%, but by 2018, this figure had risen to 9%.","Among the total types of new psychoactive substances identified in 2014, opioid new psychoactive substances accounted for only 2%, but by 2018, this figure had risen to 9%.","Among the total types of new psychoactive substances identified in 2014, opioid-type new psychoactive substances accounted for only 2%, but by 2018, this figure had risen to 9%.","In 2014, opioid NPS made up fair 2% of all NPS found; by 2018, this extent had expanded to 9%."
96,类阿片新型精神活性物质中有许多是芬太尼的类似物，其药效和危害已得到证明，在北美导致了过量死亡事件，其他区域也有，但程度较轻。,"Many novel psychoactive substances in the opioid class are fentanyl analogs, the efficacy and harm of which have been proven, leading to overdose deaths in North America, and also in other regions, but to a lesser extent.","Many opioid novel psychoactive substances are fentanyl analogues, whose potency and harm have been proven, having caused overdose deaths in North America, and also in other regions, albeit to a lesser extent.","Many opioid novel psychoactive substances are fentanyl analogues with proven potency and harm, which have caused overdose deaths in North America and, to a lesser extent, in other regions.","Overdose passing from NPS opioids, numerous of which are fentanyl analogs, have been reported in North America and, to a lesser degree, abroad."
97,在北美，芬太尼有的用作海洛因和其他毒品（包括可卡因和甲基苯丙胺）的掺杂剂，有的用来制造假冒的药用类阿片。,"In North America, fentanyl is sometimes used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and sometimes used to manufacture counterfeit pharmaceutical opioids.","In North America, some fentanyl is used as an adulterant in heroin and other drugs (including cocaine and methamphetamine), while some is used to make counterfeit prescription opioids.","In North America, fentanyl is used both as an adulterant in heroin and other drugs (including cocaine and methamphetamine), and to make counterfeit prescription opioids.",Fentanyl is utilized in North America to create fake pharmaceutical painkillers or as a doping specialist for heroin and other substances like cocaine and methamphetamine.
98,2新型精神活性物质的使用可能会逐渐牢固存在于弱势群体中,The use of new psychoactive substances may gradually become entrenched in vulnerable populations.,2 The use of new psychoactive substances may gradually become firmly entrenched among vulnerable groups.,2 The use of new psychoactive substances may gradually become firmly entrenched among vulnerable groups.,2 Modern psychoactive sedate utilize seem ended up broadly acknowledged in vulnerable communities
99,贩毒者和制毒者一直在寻找替代品一不仅有管制较松的物质，还有专门为规避管制而设计的化学品，即所谓的“特制前体”。,"Drug traffickers and manufacturers are constantly looking for alternatives—not only substances with looser regulations, but also chemicals specifically designed to circumvent regulations, known as ""designer precursors.""","Drug traffickers and producers are constantly seeking alternatives—not only less strictly controlled substances, but also chemicals specifically designed to evade controls, the so-called ""designer precursors"".","Drug traffickers and producers are constantly seeking alternatives—not only less strictly controlled substances, but also chemicals specifically designed to evade controls, the so-called ""designer precursors"".","Medicate makers and traffickers are continually investigating for substitutes, counting not as it were less entirely controlled drugs but moreover substances made intentioned to urge over existing directions, or ""architect antecedents."""
100,旨在阻止新冠肺炎传播的限制性措施很可能使依赖前体化学品的制毒者受到进一步挤压。,Restrictive measures aimed at stopping the spread of COVID-19 are likely putting further pressure on drug producers who rely on precursor chemicals.,Restrictive measures aimed at stopping the spread of COVID-19 are likely to further squeeze drug producers who rely on precursor chemicals.,Restrictive measures aimed at stopping the spread of COVID-19 are likely to further squeeze drug producers who rely on precursor chemicals.,Medicate producers who depend on antecedent chemicals would certainly feel the impacts of prohibitive measures planning to halt the spread of COVID-19.
101,来自墨西哥的证据表明，这已经成为 现实：据报告，2020年3月，从东亚进口的甲基苯丙胺前体短缺促使墨西哥和美国的甲基苯丙胺价格上涨。,"Evidence from Mexico suggests that this has become a reality: reports indicate that in March 2020, a shortage of methamphetamine precursors imported from East Asia drove up methamphetamine prices in Mexico and the United States.","Evidence from Mexico indicates that this has already become a reality: reportedly, in March 2020, a shortage of methamphetamine precursors imported from East Asia prompted methamphetamine prices in Mexico and the United States to rise.","Evidence from Mexico indicates that this has already become a reality: reportedly, in March 2020, a shortage of methamphetamine precursors imported from East Asia prompted methamphetamine prices in Mexico and the United States to rise.","Information from Mexico infers that this is often as of now the case: in Walk 2020, Mexico and the Joined together States detailed cost rises for methamphetamine due to deficiencies of forerunners provided from East Asia."
102,阿富汗和伊拉克甲基苯丙胺市场增长,Afghanistan and Iraq methamphetamine markets are growing.,Afghanistan and Iraq methamphetamine market growth,Methamphetamine Market Growth in Afghanistan and Iraq,Showcase development for methamphetamine in Afghanistan and Iraq
103,最近，伊拉克当局发现了多个甲基苯丙胺加工点，麻管局已对伪麻黄碱制剂的大批进口表示关切一甲基苯丙胺加工点将这些制剂用作前体。,"Recently, Iraqi authorities discovered multiple methamphetamine processing sites, and the Drug Enforcement Administration has expressed concern about large-scale imports of pseudoephedrine preparations - methamphetamine processing sites use these preparations as precursors.","Recently, Iraqi authorities discovered multiple methamphetamine processing sites. The narcotics control agency has expressed concern about large-scale imports of pseudoephedrine preparations, which these processing sites use as precursors.","Recently, Iraqi authorities discovered multiple methamphetamine processing sites. The narcotics control agency has expressed concern about large-scale imports of pseudoephedrine preparations, which these processing sites use as precursors.","The Board has voiced stress with respect to the importation of critical sums of pseudoephedrine arrangements, which are utilized as antecedents by methamphetamine research facilities, in light of the later disclosure of methamphetamine research facilities by Iraqi specialists."
104,自那时起，甲基苯丙胺的缉获量一直在稳步上升。,"Since then, methamphetamine seizures have been steadily increasing.","Since that time, methamphetamine seizures have been steadily increasing.","Since that time, methamphetamine seizures have been steadily increasing.","Since at that point, methamphetamine seizures have been steadily expanding."
105,但2019年上半年的缉获量一^657公斤——与上一年相比大幅骤增。,"However, the seizure volume in the first half of 2019 - 1.657 kilograms - was a sharp and dramatic increase compared to the previous year.",But the amount seized in the first half of 2019 was 657 kilograms—a sharp increase compared to the previous year.,But the amount seized in the first half of 2019 was 657 kilograms—a sharp increase compared to the previous year.,"But compared to the earlier year, seizures within the to begin with half of 2019 come to 657kg, a noteworthy increment."
106,在美国最早通过立法的两个州科罗拉多州和华盛顿州，成年人非医疗使用大麻的情况增加，特别是过去一个月以及每天或几乎每天使用的情况增多，自2012年起便已超过了全国平均水平。,"In Colorado and Washington, the first two states in the US to pass legislation, non-medical cannabis use among adults has increased, especially past-month and daily/near-daily use, and has exceeded the national average since 2012.","In Colorado and Washington, the first two US states to pass legislation legalizing it, adult non-medical cannabis use has increased, particularly past-month use and daily or near-daily use, exceeding the national average since 2012.","In Colorado and Washington, the first two US states to legalize it, adult non-medical cannabis use has increased, particularly past-month use and daily or near-daily use, exceeding the national average since 2012.","Grown-up non-medical pot utilize has surged, particularly within the past month, and day by day or nearly every day utilize has surpassed the national normal since 2012 in Colorado and Washington, two of the primary US states to endorse laws."
107,全球大麻药草缉获量暴跌的背后原因是大麻合法化？,Is cannabis legalization behind the global plunge in cannabis herb seizures?,Is cannabis legalization the reason behind the sharp drop in global cannabis herb seizures?,Is cannabis legalization the reason behind the sharp drop in global cannabis herb seizures?,Is the sharp decrease in worldwide seizures of pot herb due to cannabis legalization?
108,对新型精神活性物质的监管似乎有遏制作用在国内对新型精神活性物质的监管效果仍然很难评估。,"The regulation of new psychoactive substances appears to have a deterrent effect, but it is still difficult to assess the effectiveness of domestic regulation of new psychoactive substances.","Regulation of novel psychoactive substances seems to have a deterrent effect, but the effectiveness of this regulation domestically remains difficult to assess.","Regulation of novel psychoactive substances seems to have a deterrent effect, but the effectiveness of this regulation domestically remains difficult to assess.","NPS control shows up to have a dissuasive impact, it is still challenging to assess the household control of NPS."
109,一些对新型精神活性物质采用不同监管制度的国家显示出不同的新型精神活性物质使用流行率。,Countries with different regulatory regimes for new psychoactive substances show different prevalence rates of new psychoactive substance use.,Some countries adopting different regulatory systems for new psychoactive substances show different prevalence rates of NPS use.,Some countries adopting different regulatory systems for new psychoactive substances show varying prevalence rates of NPS use.,The predominance of NPS utilize changes among a few countries with particular NPS administrative systems.
110,在另一些国家，通过国内立法后，新型精神活性物质使用情况有所减少。,"In some other countries, the use of new psychoactive substances has decreased after domestic legislation.","In other countries, the use of new psychoactive substances has decreased following the enactment of domestic legislation.","In other countries, the use of new psychoactive substances has decreased after domestic legislation was enacted.","With the sanctioning of household enactment, the utilize of NPS has diminished in different countries."
111,"据估计，低收入和中等收入国家的人口占全球人口的88%,但消费的药用类阿片却不到10%。","It is estimated that low- and middle-income countries account for 88% of the global population, but consume less than 10% of the world's medicinal opioids.","It is estimated that the population of low- and middle-income countries accounts for 88% of the global population, but consumes less than 10% of the world's medicinal opioids.","It is estimated that the population of low- and middle-income countries accounts for 88% of the global population, but consumes less than 10% of the world's medicinal opioids.","In spite of the fact that moo- and middle-income countries are thought to be domestic to 88% of the world's populace, they as it were utilize 10% of all pharmaceutical opioids."
112,获取药用类阿片的障碍与许多因素有关，包括立法、文化、卫生系统和处方做法。,"Barriers to accessing prescription opioid medications are associated with many factors, including legislation, culture, healthcare systems, and prescribing practices.","Barriers to accessing medicinal opioids are related to many factors, including legislation, culture, health systems, and prescribing practices.","Barriers to accessing medicinal opioids are related to many factors, including legislation, culture, health systems, and prescribing practices.","Enactment, culture, healthcare frameworks, and endorsing hones are some of the numerous components that might make obstructions to getting to pharmaceutical opioids."
113,全球范围的有限数据表明，迷醉可能是杀人的一个重要因素。,Limited data worldwide suggests that intoxication may be a significant factor in homicide.,Limited worldwide data indicates that intoxication may be an important factor in homicide.,"Worldwide, limited data indicates that intoxication may be an important factor in homicide.","Inebriation may play a critical part in crime, agreeing to constrained information from around the world."
114,据估计，2018年使用大麻的有 1.92 亿人，使之成为全球使用最多的毒品。,"It is estimated that 192 million people used cannabis in 2018, making it the most widely used drug globally.","An estimated 192 million people used cannabis in 2018, making it the world's most widely used drug.","An estimated 192 million people used cannabis in 2018, making it the world's most widely used drug.",Cannabis was the top substance used globally in 2018 by 0.192 billion people.
115,"在2017年与吸毒病症有关的估计167,000例死亡中，有66%是这类物质造成的，在据信为吸毒导致的残疾或过早死亡而损失的2,100万年寿命中，有50%是这类物质造成的。","Of the estimated 167,000 deaths related to drug use disorders in 2017, 66% were attributable to these substances, and they also accounted for 50% of the 21 million years of life lost due to disability or premature death believed to be caused by drug use.","Of the estimated 167,000 deaths related to drug use disorders in 2017, 66% were caused by these substances, and of the 21 million years of life lost due to disability or premature death attributed to drug use, 50% were caused by these substances.","Of the estimated 167,000 deaths related to drug use disorders in 2017, 66% were caused by these substances, which also accounted for 50% of the 21 million years of life lost due to disability or premature death attributed to drug use.","50 percent of the 21 million years of life thought to have been lost to drug-related disability or premature death in 2017 and 66 percent of the projected 167,000 deaths from drug use disorders were attributed to substances, Resulting from chemicals."
116,兴奋剂领域以可卡因和甲基苯丙胺为主，这两种物质在其主要市场的使用量都在上升。,"In the doping field, cocaine and methamphetamine prevail, and the use of both substances is increasing in their primary markets.","The stimulant market is dominated by cocaine and methamphetamine, and the use of both substances is increasing in their primary markets.","The stimulant market is dominated by cocaine and methamphetamine, and the use of both substances is increasing in their primary markets.","Cocaine and methamphetamine, which both have rising use in their key areas, dominate the stimulant market."
117,在一些市场上，可卡因和甲基苯丙胺可以共存，有时是相互替代，这样一种药物的使用量上升时另一种药物的使用量就下降，有时是同时增加和减少以满足同一市场的需求。,"In some markets, cocaine and methamphetamine can coexist, sometimes substituting for each other, so that the use of one drug increases when the use of the other decreases, and sometimes both increase and decrease simultaneously to meet the needs of the same market.","In some markets, cocaine and methamphetamine can coexist, sometimes substituting for each other, such that when the use of one drug rises the use of the other falls, and sometimes increasing and decreasing together to meet the demand of the same market.","In some markets, cocaine and methamphetamine can coexist, sometimes substituting for each other, with the use of one drug rising as the other falls, and sometimes increasing and decreasing together to meet the demand of the same market.","Cocaine and methamphetamine can coexist in some markets, occasionally substituting for one another, causing the use of one drug to climb while the usage of the other lowers, or occasionally both rising and falling to satisfy demand in the same market."
118,2017年，因吸毒死亡的约有 58.5万人，其中一半死于丙型肝炎引起的肝病，而注射吸毒者的丙型肝炎大多仍未得到治疗。,"In 2017, approximately 585,000 people died from drug use, half of whom died from liver disease caused by hepatitis C, and the majority of hepatitis C cases among people who inject drugs remain untreated.","In 2017, approximately 585,000 people died due to drug use, half of whom died from liver disease caused by Hepatitis C, and Hepatitis C among injecting drug users remains largely untreated.","In 2017, approximately 585,000 people died due to drug use, half of whom died from liver disease caused by Hepatitis C, and Hepatitis C among injecting drug users remains largely untreated.","Half of the estimated 0.585 million drug-related deaths in 2017 were attributable to liver illness brought on by hepatitis C, which is largely untreated among injecting drug users."
119,使用说明书,Instructions for use,User manual,User manual,User's Manual
120,将耳帐斜向下轻轻塞入耳道，以轻摆头部耳机不田动为家。,"Gently insert the earphones into the ear canal at a downward angle, ensuring they don't move even when you lightly shake your head.",Gently insert the ear tip diagonally downwards into the ear canal; the ideal fit is achieved when the earphone does not move as you gently shake your head.,"Gently insert the ear tip diagonally downwards into the ear canal, achieving an ideal fit when the earphone does not move as you gently shake your head.","Gently insert the ear tents downwardly into the ear canal, then gently swing your head to move the earphones."
121,充电开机使用前，请先撕掉左右耳机充各点处的网几，将充电盒及耳机充满电。,"Before charging, powering on, and using, please first remove the insulating stickers/films from the charging contacts of both the left and right earbuds, and fully charge both the charging case and the earbuds.","Before use, please remove the protective film from the charging contacts on the left and right earbuds, and fully charge the charging case and earbuds.","Before use, please remove the protective film from the charging contacts on the left and right earbuds, and fully charge the charging case and earbuds.","Please remove the nets from the left and right earphone charging points before charging and using, and charge the charging box and headphones completely before using."
122,充电盒未充满电充电指示灯红灯长亮，充满电后充电:3 指示灯熄灭。,"When the charging case is not fully charged, the charging indicator light is solid red. After it is fully charged, charging indicator 3 turns off.","When the charging case is not fully charged, the charging indicator light stays solid red; when fully charged, the indicator light turns off.","When the charging case is not fully charged, the charging indicator light stays solid red; when fully charged, the indicator light turns off.","The charging indication light on the charging box is not yet fully charged, the red light is on, and when it is, the charging indicator light: 3 is off."
123,自动连接: 局对移两只耳机从充时盒外十.,Automatic connection: The two earbuds of the station/game connect automatically when taken out of the charging case.,Automatic connection: Bureau pair move two earbuds from charge time box outside ten.,Automatic connection: Automatically connect when both earbuds are removed from the charging case.,Connect automatically by alternating between the two earbuds in the charging box up to 10.
124,随后红和白灯恢六. 左右囊如自过串联 .,"Subsequently, the red and white lights recovered six. The left and right sacs are like self-threading.","Subsequently, the red and white lights recover/reset. The left and right units are connected in series.","Subsequently, the red and white lights recover/reset. The left and right units are connected in series.",The red and white lights return to six at that point. A network of connections connects the left and right capsules.
125,"待左/右耳机白灯懈 闪时. 打开设备否牙搜索 “RedmIArDots2 ""并点击完连溶。","When the left/right earphone white light flashes slowly, open your device's Bluetooth and search for ""Redmi Airdots 2"" and click to complete the connection.","When the white light on the left/right earbud flashes slowly, open the device's Bluetooth, search for ""Redmi AirDots 2"", and tap to complete the connection.","When the white light on the left/right earbud slowly flashes, open the device's Bluetooth, search for ""Redmi AirDots 2"", and tap to complete the connection.","Activate the device, find ""RedmIArDots2."" and connect by tapping when the earphones flash white."
126,首次连接后. 囊志开机可自动回连上一次配对设备(蓝牙需开启)。,"After the first connection, the Nangzhi will automatically reconnect to the last paired device upon startup (Bluetooth must be enabled).","After the first connection, the device will automatically reconnect to the last paired device when powered on (Bluetooth needs to be enabled).","After the first connection, Nangzhi will automatically reconnect to the last paired device when powered on (provided Bluetooth is enabled).",Nangzhi auto-reconnects to previous device on Bluetooth enablement.
127,"单耳 / 双耳自由切换; 两只耳机连接成功后即为双丁连接; 将任一耳机放回充电盒关机, 另一只耳机进入单耳模式, 重新取出即可自动恢复双耳模式 。","Single ear / dual ear freely switchable; connecting both earbuds successfully establishes a dual-ear connection; placing either earbud back into the charging case to power off, the other earbud enters single-ear mode, and removing it again automatically restores dual-ear mode.","Seamless switching between single and dual ear modes. Once both earbuds are successfully connected, they enter stereo mode. Place either earbud back into the charging case to turn it off, and the other earbud will switch to mono mode. Taking the earbud out again automatically restores stereo mode.","Seamless switching between mono and stereo modes. Once both earbuds are successfully connected, they enter stereo mode. Place either earbud back into the charging case to turn it off, and the other earbud will switch to mono mode. Taking the earbud out again automatically restores stereo mode.","You can freely switch between using one ear or both; once the two earphones are connected, they will have a double connection; if you put one earphone back into the charging box to turn it off, the other earphone will switch to the single ear mode; if you take it out again, it will switch back to the binaural mode."
128,如果耳机无法正常连接使用，请参照以下方式重置,"If the earphones cannot connect or be used normally, please refer to the following methods to reset them.","If the headphones fail to connect or work properly, please reset them according to the following method.","If the headphones fail to connect or work properly, please reset them as described below.",Refer to the following techniques to reset the headset
129,耳机: 将耳机拿出充电盒， 在关机状态下， 分别长按两只耳机多功能键15 秒 ，至红白灯交替闪烁3 次后，松开并放回充电盒即可(清除耳机与手机的连授记录)。,"Headphones: Take the earphones out of the charging case. With the earphones powered off, press and hold the multi-function button on both earphones for 15 seconds respectively until the red and white lights flash alternately 3 times, then release and return them to the charging case (to clear the pairing record between the earphones and the mobile phone).","Earbuds: Take the earbuds out of the charging case. With the earbuds powered off, press and hold the multi-function button on each earbud for 15 seconds until the red and white lights flash alternately 3 times. Then, release the buttons and place the earbuds back into the charging case (this clears the pairing record between the earbuds and the phone).","Earbuds: Take the earbuds out of the charging case. With the earbuds powered off, press and hold the multi-function button on each earbud for 15 seconds until the red and white lights flash alternately 3 times. Then, release the buttons and place the earbuds back into the charging case (this clears the pairing record between the earbuds and the phone).","Take out earbuds, hold multi-function buttons for 15 secs when lights flash, without earphones, insert headphones after releasing buttons into charging box, awards list."
130,本严操的相关信息请查询销售网 : www micom,Please find information about this rigorous operation at the sales website: www.micom.,"For related information about this strict procedure, please check the sales website: www.micom","For related information regarding this rigorous procedure, please check the sales website: www micom",Visit www micom for Yan operation sales network info
131,"以下功能左右耳机均可操作, 轻按一下来电时，接听电话; 通话或去电中，挂断电话音乐时，播放 /暂停音频 ,长按约1 秒释放",The following functions can be operated on either the left or right earbud: Single tap to answer a call during an incoming call; Hang up the phone during a call or outgoing call; Play/pause audio during music playback; Long press for about 1 second and release.,"The following functions can be operated on both the left and right earbuds: Tap once when there is an incoming call to answer the call; during an active or outgoing call, hang up the phone; during music playback, play/pause audio. Press and hold for about 1 second then release.","The following functions can be operated on both the left and right earbuds: Tap once to answer an incoming call, hang up during an active or outgoing call, or play/pause audio during music playback; press and hold for about 1 second then release.","Earbuds control features, answer calls, hang up, play/halt music, long press for one second to release,"
132,待机时， 开启语音助手(需设备支持语音功能且打开快速唤醒设置),"When on standby, activate voice assistant (requires device support for voice functionality and having quick wake-up settings enabled).","During standby, activate the voice assistant (requires the device to support voice function and the quick wake-up setting to be enabled).","During standby, activate the voice assistant (requires device voice support and quick wake-up enabled).",Turn on the voice assistant while it is in standby (the device needs to support the voice function and turn on the fast wake-up setting)
133,耳机基本参数,Basic parameters of headphones,Headphone Basic Specifications,Headphone Basic Specifications,Basic headphone specifications
134,输入参数:5V 二 100mA,"Input parameters: 5V, 100mA",Input parameters: 5V / 100mA,Input parameters: 5V / 100mA,Input parameters: 5V 2 100mA
135,单耳净重: 约 4.1g,Single earbud net weight: Approximately 4.1g,Single ear net weight: Approx. 4.1 g,Weight per earbud: Approx. 4.1 g,Net weight: 4.1g/ear
136,"1 请勿以任何理由拆开.维修或改装耳机, 否则可能会导致起火甚至彻底损坏本产品;","Please do not disassemble, repair, or modify the headphones for any reason, as this may cause a fire or even completely damage the product.","Do not disassemble, repair, or modify the earphones for any reason, otherwise it may cause a fire or even completely damage this product.","Do not disassemble, repair, or modify the earphones for any reason, otherwise it may cause a fire or even completely damage this product.","Do not alter or remove the headset, it may cause fire or damage."
137,"4 请勿在雷暴天气下使用该设备, 雷暴可导致设备工作异常, 并增加触电的危险;","Do not use the device during thunderstorms, as thunderstorms can cause the device to malfunction and increase the risk of electric shock.","4 Do not use this device during thunderstorms, as thunderstorms can cause the device to malfunction and increase the risk of electric shock.","4 Do not use this device during thunderstorms, as they can cause the device to malfunction and increase the risk of electric shock.",4 Avoid using the device during thunderstorms as they may result in irregular device operation and raise the danger of electric shock;
138,6 请勿将本产品与液体接触。,Please do not allow this product to come into contact with liquids.,6 Do not bring this product into contact with liquid.,6 Do not expose this product to liquid.,6 Don't let liquids touch this product.
139,注意,Attention.,Attention,Note,Note:
140,"3 长时间连续使用耳机有损听力,请合理控制使用时间及音量 ;",Prolonged continuous use of headphones can damage hearing. Please control your usage time and volume appropriately.,3. Prolonged continuous use of headphones is harmful to hearing; please control the usage time and volume reasonably.,Prolonged continuous use of headphones is harmful to hearing; please reasonably control the usage time and volume.,3 Please limit the amount of time and volume that you wear headphones to avoid damaging your hearing;
