Index,source,zero_shot,maats,single_agent,reference
92,Could it be that Google Search is integrated with Google Maps?,是否谷歌搜索与谷歌地图集成?,搜索引擎是否与地图服务集成?,谷歌搜索是否与谷歌地图集成?,会不会是谷歌搜索和谷歌地图整合在一起造成的？
93,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","我偏向于不向最终用户发布垃圾,而苹果公司在2012年推出的苹果地图上犯了严重的错误。","我个人倾向于不向用户提供劣质产品,但苹果公司在2012年推出的""Apple Maps""却出现了严重失误。","我倾向于不向用户发布垃圾,而苹果在2012年推出的苹果地图可谓是彻底失败了。",我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
94,The house itself declines in value because it loses its condition and needs to be replaced.,"房子本身的价值下降,因为它失去了状况,需要被替换。","房子本身的价值下降,因为它状况恶化,需要更换。","房子本身的价值下降,因为它状况恶化,需要被修缮或重建。",房子本身的价值会不断下降，因为它的优越性会逐渐失去，然后就需要用其它房子取而代之。
95,They're not stupid enough to sell the sell forever.,他们不够愚蠢到永远出售。,他们不会永远出售。,他们不会那么愚蠢到永远出售出去。,他们不会蠢到卖掉它的永久所有权。
96,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,"看起来难以想象,当你观看澳大利亚和美国媒体频道时,土地可能会被夺走,但这是因为富人整天在那里确保你的思维方式是某种特定的方式。","你看着澳大利亚和美国的媒体频道,可能会觉得土地被夺走是难以想象的,但这是因为富人一直在那里确保你的思维方式是他们想要的。","看起来土地可能会被夺走,这在观看澳大利亚和美国媒体频道时难以想象,但这是因为富人整天在那里塑造你的思维方式。",当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
97,"To all the investors out there, I raise a toast to your success and the realization of your dreams.","致所有投资者,我为您的成功和梦想实现而干杯。","投资者朋友们,祝贺你们实现梦想,取得成功!","致所有在场的投资者,我为您的成功和梦想实现而干杯。",在场的所有投资者们，我为你们的成功和梦想的实现干杯。
98,Let us continue to work together towards creating a brighter future for all.,让我们继续携手共创美好的未来。,让我们继续携手共创更美好的未来。,"让我们继续携手共创美好的未来,造福大家。",让我们继往开来，为所有人创造一个更加光明的未来。
99,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"我常常惊讶于人类如此自我贬低,却又被如此多残酷的证据所淹没。","我常常惊讶于人类如何能如此自我贬低,却又被如此多残酷的证据所淹没。","我常常惊讶于人类如此自我贬低,却又被如此多残酷的证据所包围。",我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
100,We're all such messy critters.,我们都是如此凌乱的生物。,我们都是这么乱糟糟的家伙。,我们都是这么乱糟糟的小家伙。,我们都很邋遢。
101,"or ""Modal editors are useless today"" :morty:",模态编辑器今天毫无用处,模态编辑器今天已经没什么用了,这些编辑器今天没什么用了 :morty:,或者“模态编辑器现在没有用武之地了”:morty:
102,How would you share personal libraries?,如何分享个人图书馆?,如何分享个人藏书?,如何分享个人的图书/数字内容藏?,你是怎么共享个人库的？
103,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str","我也有一天会在高空中达到高潮,也许不会是和一个陌生人。","我也有一天会在飞机上达到高潮,也许不会和陌生人。","有一天我也会在飞机上尝试一次高空体验,不过可能不会和陌生人。",总有一天我会达到一英里高的高潮，也许不是靠力气
104,I don't agree that #Mastodon is difficult to setup.,我不同意#Mastodon很难设置。,我不认为#Mastodon很难设置。,我不同意#Mastodon的设置很困难。,我认为 #Mastodon 设置起来不难。
105,"I wish there was a ""who to follow"" recommendation somehow.","我希望能有一个""谁值得关注""的推荐系统。","我希望能有一个推荐""值得关注的人""的系统。","我希望能有一个""谁值得关注""的推荐系统,不知何故。",不知何故，关于“关注谁”，我想听一些建议。
106,If you stick to the default web interface it doesn't look and feel good (imho).,"如果你坚持使用默认的网页界面,它看起来和感觉都不太好(在我看来)。",我觉得使用默认的网页界面看起来和感觉都不太好。,使用默认网页界面看起来和感觉都不太好。,如果你坚持默认的网络界面，外观和感觉都不是很好。
107,Explanation: account for both sides of mutual influence,相互影响的双方,考虑双方的相互影响,考虑相互影响的双方,解释：将双方之间的相互影响纳入考量
108,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.","即使他在镇政厅期间没有说出这些话,但在2024年11月之前,美国的每个人都会一遍又一遍地听到这些话。","即使他没能在镇政厅上发表这些言论,但在2024年11月之前,美国人民都会一次又一次地听到这些话。","即使他在公众论坛上没有说出这些话,但在2024年11月之前,美国的每个人都会反复听到这些话。",即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
109,Throwing everything you've got over the fence in response to GPT is not it.,对GPT的回应不应该是把所有的东西都扔过篱笆。,对 GPT 的回应不应该是把所有力气都倾尽于此。,对GPT的反应不应该是一味地盲目抛出所有的手段。,把你所有的一切都扔掉去回复 GPT 似乎适得其反。
110,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.","如果我试图找出我的一次最大重复次数,我可能没有足够的重量来达到最大值,或者相反,这可能会严重伤害/杀死我。","如果我尝试找出我的一次最大举重次数,我可能没有足够的重量来达到最大值,或者相反,这可能会严重伤害我。","如果我试图找出自己的一次最大举重量,可能会因为没有足够的重量而无法达到最大值,或者相反,这可能会严重伤害甚至危及生命。",如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
111,I swear burrata didn't exist five years ago,我发誓五年前没有布拉塔奶酪。,我记得五年前还没有布拉塔奶酪。,五年前布拉塔芝士还不存在。,我敢肯定五年前布拉塔芝士不存在
112,This is my personal Mandela effect thing.,这是我个人的曼德拉效应。,这是我所感受到的曼德拉效应。,这是我个人的曼德拉效应体验。,这东西是我自身的曼德拉效应造成的。
113,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"我从未见过任何人的妈妈做过它,也从未在派对上被人强迫吃过它,也从未见过它与任何人的酱料制作或烘焙活动有关。","我从未见过任何人自己做过这道菜,也从未在聚会上被人强行推荐过,更没有在任何人的烹饪或烘焙活动中看到过它。","我从未见过任何人的妈妈做过这个菜,也从未在派对上被人强行塞给过,更没有见过它与任何人的酱料制作或烘焙活动有关。",我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
114,It just appeared one day and suddenly it was available everywhere.,"它就在某一天突然出现,随后迅速普及。","它突然出现,随后立即广泛可获得。","它突然在某一天出现,随后迅速普及到各处。",有一天它出现了，突然它变得随处可见。
115,"This would be mainly for web browsing, occasional email, and some games.",这主要用于网页浏览、偶尔收发电子邮件和一些游戏。,这主要用于浏览网页、偶尔收发电子邮件和玩游戏。,这台设备主要用于网页浏览、偶尔收发电子邮件和玩一些游戏。,它将主要用于浏览网页、偶尔收发电子邮件或者玩游戏。
116,"""A good game is only late until it ships.",一款好游戏只要最终发布即可。,"只要最终发布,一款好游戏就算及时了。","一款优秀的游戏只要最终能发布,即使在开发过程中有所延迟也无关紧要。",“一款好游戏只有在上市后才会被发掘。
117,"""Or, as an industry catch phrase goes: A late game is only late until it ships.","一款游戏迟到只是迟到,直到它发布。","游戏延期只是暂时的,直到它最终发布。","即使游戏发布时间延迟,只要最终顺利发布就算及时。",“或者，正如一句行业流行语所说：一款迟到的游戏只有在它发售时才算迟到。
118,Is it so ephemeral then?,那么它是如此短暂吗?,那它如此短暂吗?,那么它如此短暂吗?,它真的稍纵即逝？
119,"He carries it in his mouth proudly all over the house, and I just have to laugh inwardly.","他骄傲地在房子里到处叼着它,我只能在内心偷偷地笑。","他自豪地在房子里到处衔着它,我只能在内心偷偷地笑。","他自豪地在房子里到处叼着它,我只能在内心偷笑。",他骄傲地叼着它满屋跑，我只能暗自发笑。
120,Have now done a full round trip on the new ICNG train.,我已经完成了新型 ICNG 列车的全程往返旅行。,我刚刚完成了新型 ICNG（Intercity Next Generation）列车的全程往返旅行。,我刚完成了新型 ICNG 列车的全程往返旅程。,我现在已经在新 ICNG 列车上完成了一次完整的往返旅行。
121,I really like it.,我很喜欢它。,我非常喜欢它。,我很喜欢这个。,我很喜欢这个列车。
122,There's areas that could use some polish.,需要加以改善的地方。,这些地方需要进一步完善。,这里有些地方需要润色。,有些地方有待提高。
123,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.","缺乏足够的垃圾桶,以及缺乏解释照明颜色意义的标志。","缺乏足够的废弃物收集容器,以及缺乏解释指示灯颜色意义的标识。","垃圾收集设施不足,且缺乏解释照明颜色意义的标识。",比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
124,"Fix those minor issues, and then can we have more of these please?","修复这些小问题,然后我们可以再来一些吗?","修复这些小问题,然后我们能再要一些吗?","修复这些小问题后,我们还能再来一些吗?",解决这些小问题，然后我们还会有更多这样的小问题吗？
125,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,"每位顾客限购一件规则仍然存在,我们努力确保每个排队的人都能买到板子。","我们仍然实行每人限购一件的规则,以确保所有排队的人都能买到所需的板子。","每位顾客限购一件的规则仍然存在,我们努力确保每个排队的人都能买到所需商品。",人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
126,"You can buy ONE of the boards listed above, not one of each.","您可以购买上述列出的其中一块板子,而不是每种都买一块。","您只能购买上述列出的其中一块板子,而不是每种都买一块。","您可以购买上述列出的任意一块板子,而不是每种都买一块。",你可以买上面列出的一种板，而不是每种各买一个。
127,Yesterday I had the best time with my friend and former rabbi colleague.,昨天我和我的朋友以及前任拉比同事度过了美好的时光。,昨天我和我的朋友以及以前的拉比同事度过了美好的时间。,昨天我和我以前的同事兼朋友度过了美好的时光。,昨天我和我的朋友也是之前的拉比同事玩得很开心。
128,We visited for a couple hours on my porch.,我们在我的门廊上待了几个小时。,我们在我家门廊上聊了几个小时。,我们在我的门廊上待了几个小时。,在我的走廊，我们一同度过了几个小时。
129,We all have stories to tell.,我们都有故事要讲。,我们都有故事可讲。,我们每个人都有自己的故事要讲述。,我们都有相告彼此的故事。
130,I quite like akkoma the software and the domain name I got for my instance.,"我很喜欢 akkoma 这个软件,以及我为我的实例获得的域名。","我挺喜欢 Akkoma 这个软件,以及我为自己的实例获得的域名。",我很喜欢 akkoma 这个软件以及我为自己的实例获得的域名。,我很喜欢 akkoma 软件还有我为我的实例申请的域名。
131,"But I feel somehow I started this instance on the wrong foot, so to speak.",但是我感觉我以某种方式开始了这个实例的错误步伐。,但我感觉这个情况从一开始就不太顺利。,但是我感觉在某种程度上我开始处理这件事的方式有些不对。,但我觉得不知何故，我一开始就走错了路，可以这么说。
132,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,"爬行动物已经在地表下挖掘隧道,你掉入了一个洞穴中,里面有数百只爬行动物的沸腾的身体。","你掉入了一个地下洞穴,里面挤满了数百只沸腾的Repnid生物。","你掉入了一个洞穴,里面有数百只沸腾的Repnid生物。",Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
133,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.","结局迅速,几对尖牙注入致命毒液,Dyskra的空气污染你的肺部。","几对尖牙注入了致命毒液,Dyskra的空气污染了你的肺部,结局迅速而致命。","你的生命将迅速结束,数对尖牙注入致命毒液,Dyskra的空气也污染了你的肺部。",很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
134,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.","八眼的Repnids似乎在观察着你,但他们没有向你移动,事实上当你缓慢地走向他们时,他们保持静止不动。","八眼的Repnids似乎在静静地注视着你,但它们一动不动,即使你缓缓走向它们。","八眼的生物似乎在观察着你,但它们没有向你移动,事实上当你缓慢地走向它们时,它们保持静止不动。",八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你慢慢走向它们时，它们是静止的。
135,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.","你决定再次建立联系会很危险,于是返回到你的飞船上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑之中。","你决定再次接触太危险,于是返回到你的飞船上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑状态。","你决定不再建立联系,因为这很危险,于是返回到你的飞行器上,但这次经历使你的思维变得清晰,此前你跳入未来后一直处于困惑之中。",你想到，再次建立沟通会很危险，然后你回到你的飞行器上，但是这一经历已经清除了你的头脑，自从你跳入未来以来，你的头脑一直是混乱的。
136,I started a new shawl.,我开始了一件新的披肩。,我开始编织一件新的披肩。,我开始编织一件新的披肩。,我开始做新披肩。
137,I am using a H hook with a similar double crochet pattern as I have done before.,"我正在使用一个H钩,采用与之前相似的双钩针图案。","我正在使用一个类似的钩针,采用与之前相同的双钩针图案。","我正在使用一个H形钩针,采用与之前类似的双钩针图案。",我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
138,The literature class hatred is even worse: I love to read.,文学课的仇恨更加严重:我热爱阅读。,"文学课的仇恨更甚,我很喜欢读书。",我很喜欢阅读文学课的内容。,我对文学课的厌恶更不可一世：我喜欢读书。
139,Humanity is out in 5 days.,人类将在5天内走向终结。,人类将在5天内结束。,人类将在5天内离开。,《Humanity》五天后发布。
140,What will people think of it?,人们会怎么想它?,What do people think about it?,人们会怎么看这件事?,大家会怎么看？
141,Came home on my lunch break to see this sitting outside uwu.,"在午休时回到家里,看到这个坐在外面 uwu。","在午休时回到家里,看到这个摆放在外面。","我在午休时回到家,看到这个东西坐在外面。",我在午休时回到家，在威斯康辛大学外面看到这句话。
142,Wish I could take it back to work with me to setup more.,希望我能把它带回工作中设置更多。,"希望我能把它带回公司,以便进行更多的配置。","我希望能把它带回公司,好在那里进行更多的设置和配置。",希望我可以把它带回去和我一起工作，创造更多可能。
143,So I finally watched #Heartstopper,所以我终于看了《心动》,《Heartstopper》我终于看完了。,所以我終於看了《心動》,然后我终于观看了 #Heartstopper
144,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.","但是重要的是不要为问题找借口,而是直接解决它们,特别是在生产环境中,当您的主管需要进行更改时。","但重要的是要解决问题,而不是找借口,尤其是在生产环境中,当主管需要变更时。","但重要的是要直接解决问题,尤其是在生产环境中,当主管需要进行更改时。",但重要的是，没有借口，只需去解决它，尤其是在生产中，你的领导要求改变时。
145,"Good critique is there to correct the problem quickly, and isn't directed at your ability.","好的批评是为了快速纠正问题,并不针对你的能力。","好的批评是为了快速解决问题,而不是针对你的能力。","好的批评是为了快速纠正问题,而不是针对你的能力。",好的评判是为了让你快速改变错误的做法，而不是针对你的能力。
146,These roots are hidden.,这些根是隐藏的。,这些根被隐藏了。,这些根是隐藏的。,这些根被隐藏起来。
147,Work is not visible.,工作是看不见的。,工作是无形的。,工作是不可见的。,工作看不到结果。
148,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,"他等到在宿舍的黑暗中,才拿出那张纸条,在遮光窗帘透进来的一束光线中读了它。","他等到在宿舍的黑暗中,才拿出纸条,在遮光窗帘透进来的一束光线下读了它。","他等到在宿舍的黑暗中,才拿出那张纸条,透过遮光窗帘的一束光线仔细读了它。",他一直在宿舍等到天黑，才抽出纸条，在透过遮光窗帘射进来的一束光线下读了起来。
149,I've met some marvelous new #Mastodon mates lately and want to maintain the trend.,"我最近遇到了一些了不起的新#Mastodon朋友,我想保持这种趋势。","我最近结识了一些出色的新Mastodon朋友,我希望能继续保持这种良好的趋势。","我最近结识了一些出色的新#Mastodon伙伴,我希望能保持这种趋势。",我最近新遇到一些非常厉害的 #Mastodon 伙伴，我想继续结识一些这样的人。
