index,rater,source,target,category,severity
247,56089077,中国将全面贯彻落实中共二十大精神，加快发展方式绿色转型，深入推进环境污染防治，全面加强资源节约，积极稳妥推进碳达峰碳中和，协同推进降碳、减污、扩绿、增长，推进生态优先、节约集约、绿色低碳发展。,"China will fully implement the spirit of the 20th CPC Congress, accelerate the green transition of its development path, deeply promote the prevention and control of environmental pollution, fully strengthen resource conservation, actively and steadily promote peak carbon neutrality, and jointly promote carbon reduction, pollution control, greening and growth, and promote ecological prioritization, conservation-intensive, and green low-carbon development.",Style/Unnatural or awkward,Minor
247,56089077,中国将全面贯彻落实中共二十大精神，加快发展方式绿色转型，深入推进环境污染防治，全面加强资源节约，积极稳妥推进碳达峰碳中和，协同推进降碳、减污、扩绿、增长，推进生态优先、节约集约、绿色低碳发展。,"China will fully implement the spirit of the 20th CPC Congress, accelerate the green transition of its development path, deeply promote the prevention and control of environmental pollution, fully strengthen resource conservation, actively and steadily promote peak carbon neutrality, and jointly promote carbon reduction, pollution control, greening and growth, and promote ecological prioritization, conservation-intensive, and green low-carbon development.",Style/Unnatural or awkward,Minor
247,56089077,中国将全面贯彻落实中共二十大精神，加快发展方式绿色转型，深入推进环境污染防治，全面加强资源节约，积极稳妥推进碳达峰碳中和，协同推进降碳、减污、扩绿、增长，推进生态优先、节约集约、绿色低碳发展。,"China will fully implement the spirit of the 20th CPC Congress, accelerate the green transition of its development path, deeply promote the prevention and control of environmental pollution, fully strengthen resource conservation, actively and steadily promote peak carbon neutrality, and jointly promote carbon reduction, pollution control, greening and growth, and promote ecological prioritization, conservation-intensive, and green low-carbon development.",Style/Unnatural or awkward,Minor
247,56089077,中国将全面贯彻落实中共二十大精神，加快发展方式绿色转型，深入推进环境污染防治，全面加强资源节约，积极稳妥推进碳达峰碳中和，协同推进降碳、减污、扩绿、增长，推进生态优先、节约集约、绿色低碳发展。,"China will fully implement the spirit of the 20th CPC Congress, accelerate the green transition of its development path, deeply promote the prevention and control of environmental pollution, fully strengthen resource conservation, actively and steadily promote peak carbon neutrality, and jointly promote carbon reduction, pollution control, greening and growth, and promote ecological prioritization, conservation-intensive, and green low-carbon development.",Style/Unnatural or awkward,Minor
248,56089077,中国愿同日方一道，继续深化绿色低碳产业合作、技术合作、政策对话和人文交流，推动两国绿色发展合作不断迈上新台阶。,"China is willing to continue deepening green and low-carbon industrial cooperation, technical cooperation, policy dialogue and people-to-people exchanges with Japan to push green development cooperation between the two countries to a new level.",Style/Unnatural or awkward,Minor
249,56089077,日本经济产业大臣西村康稔出席主论坛并发表主旨演讲。,"Japanese Minister of Economy and Industry Shigeru Sakamoto, attended the main forum and delivered the keynote speech.",Accuracy/Mistranslation,Major
249,56089077,日本经济产业大臣西村康稔出席主论坛并发表主旨演讲。,"Japanese Minister of Economy and Industry Shigeru Sakamoto, attended the main forum and delivered the keynote speech.",Fluency/Spelling,Minor
249,56089077,日本经济产业大臣西村康稔出席主论坛并发表主旨演讲。,"Japanese Minister of Economy and Industry Shigeru Sakamoto, attended the main forum and delivered the keynote speech.",Style/Unnatural or awkward,Minor
250,56089077,论坛由中国国家发展改革委、商务部与日本经济产业省、日中经济协会共同举办，包括主论坛和能效提高、汽车电动化智能化、氢能、中日长期贸易4个分论坛。,"The forum is being organized by China's National Development and Reform Commission, Ministry of Commerce and the Ministry of Economy and Industry of Japan, and China Economic Association. The forum comprises of the main forum and four subforums on improvement of energy efficiency, automotive electrification and intelligent design, hydrogen energy and China-Japan long-term trade.",Accuracy/Mistranslation,Major
250,56089077,论坛由中国国家发展改革委、商务部与日本经济产业省、日中经济协会共同举办，包括主论坛和能效提高、汽车电动化智能化、氢能、中日长期贸易4个分论坛。,"The forum is being organized by China's National Development and Reform Commission, Ministry of Commerce and the Ministry of Economy and Industry of Japan, and China Economic Association. The forum comprises of the main forum and four subforums on improvement of energy efficiency, automotive electrification and intelligent design, hydrogen energy and China-Japan long-term trade.",Fluency/Grammar,Minor
251,56089077,来自中日两国政府、企业、机构的代表进行了交流。,"At the meeting, representatives of the Chinese and Japanese governments, companies and institutions exchanged views.",Fluency/Grammar,Minor
252,56225225,中国救援队在土耳其持续开展救援行动已营救4名被困人员-中新网,"Chinese rescue team continues rescue operation in Turkey, rescues 4 trapped people",Accuracy/Mistranslation,Minor
252,56225225,中国救援队在土耳其持续开展救援行动已营救4名被困人员-中新网,"Chinese rescue team continues rescue operation in Turkey, rescues 4 trapped people",Accuracy/Mistranslation,Minor
252,56225225,中国救援队在土耳其持续开展救援行动已营救4名被困人员-中新网,"Chinese rescue team continues rescue operation in Turkey, rescues 4 trapped people",Accuracy/Omission,Minor
252,56225225,中国救援队在土耳其持续开展救援行动已营救4名被困人员-中新网,"Chinese rescue team continues rescue operation in Turkey, rescues 4 trapped people",Fluency/Grammar,Minor
252,56225225,中国救援队在土耳其持续开展救援行动已营救4名被困人员-中新网,"Chinese rescue team continues rescue operation in Turkey, rescues 4 trapped people",Fluency/Spelling,Minor
253,56225225,中新网2月11日电据应急管理部网站11日消息，2月10日，正在土耳其搜救的中国救援队派出3个行动分队、45名救援队员，营救出1名被困人员。,"According to a report from the Ministry of Emergency Management on February 11, the Chinese rescue team that was searching in Turkey on February 10 had sent three operations teams, 45 rescuers, to rescue one person who was trapped.",Accuracy/Mistranslation,Major
253,56225225,中新网2月11日电据应急管理部网站11日消息，2月10日，正在土耳其搜救的中国救援队派出3个行动分队、45名救援队员，营救出1名被困人员。,"According to a report from the Ministry of Emergency Management on February 11, the Chinese rescue team that was searching in Turkey on February 10 had sent three operations teams, 45 rescuers, to rescue one person who was trapped.",Accuracy/Creative Reinterpretation,Minor
253,56225225,中新网2月11日电据应急管理部网站11日消息，2月10日，正在土耳其搜救的中国救援队派出3个行动分队、45名救援队员，营救出1名被困人员。,"According to a report from the Ministry of Emergency Management on February 11, the Chinese rescue team that was searching in Turkey on February 10 had sent three operations teams, 45 rescuers, to rescue one person who was trapped.",Accuracy/Mistranslation,Minor
253,56225225,中新网2月11日电据应急管理部网站11日消息，2月10日，正在土耳其搜救的中国救援队派出3个行动分队、45名救援队员，营救出1名被困人员。,"According to a report from the Ministry of Emergency Management on February 11, the Chinese rescue team that was searching in Turkey on February 10 had sent three operations teams, 45 rescuers, to rescue one person who was trapped.",Accuracy/Omission,Minor
254,56225225,同时派出2个搜索评估组，对沃达巴什大街15栋建筑进行评估排查。,"At the same time, two search assessment teams were sent to assess and inspect a 15-storey block on Vodabasch Avenue.",Accuracy/Mistranslation,Major
254,56225225,同时派出2个搜索评估组，对沃达巴什大街15栋建筑进行评估排查。,"At the same time, two search assessment teams were sent to assess and inspect a 15-storey block on Vodabasch Avenue.",Accuracy/Mistranslation,Minor
254,56225225,同时派出2个搜索评估组，对沃达巴什大街15栋建筑进行评估排查。,"At the same time, two search assessment teams were sent to assess and inspect a 15-storey block on Vodabasch Avenue.",Accuracy/Mistranslation,Minor
255,56225225,截至目前，共营救4名被困人员，搜寻出5名遇难者，对25栋倒塌严重的建筑进行生命迹象和风险评估。,"So far, four people have been rescued, five people have been found, and 25 collapsed buildings have been identified with signs of life and risk assessments.",Accuracy/Omission,Major
255,56225225,截至目前，共营救4名被困人员，搜寻出5名遇难者，对25栋倒塌严重的建筑进行生命迹象和风险评估。,"So far, four people have been rescued, five people have been found, and 25 collapsed buildings have been identified with signs of life and risk assessments.",Accuracy/Omission,Minor
256,56225225,救援队将根据灾区实际和救援现场情况，科学调整救援力量，持续深入开展救援工作。,"The rescue team will continue to conduct rescue work in-depth, scientifically adjusting the rescue force according to the actual situation in the disaster area and the rescue scene.",Accuracy/Mistranslation,Minor
257,56225225,救援队通过使馆、当地政府、联合国救援组织等多种渠道获取救援求助信息，通过线上询情、现场搜索等多种方式进行逐一核实。,"The rescuers gather information through various channels, including embassies, local governments, and UN relief organizations, and verify individual information through various methods, such as online searches and on-site searches.",Accuracy/Mistranslation,Major
257,56225225,救援队通过使馆、当地政府、联合国救援组织等多种渠道获取救援求助信息，通过线上询情、现场搜索等多种方式进行逐一核实。,"The rescuers gather information through various channels, including embassies, local governments, and UN relief organizations, and verify individual information through various methods, such as online searches and on-site searches.",Accuracy/Mistranslation,Minor
257,56225225,救援队通过使馆、当地政府、联合国救援组织等多种渠道获取救援求助信息，通过线上询情、现场搜索等多种方式进行逐一核实。,"The rescuers gather information through various channels, including embassies, local governments, and UN relief organizations, and verify individual information through various methods, such as online searches and on-site searches.",Accuracy/Mistranslation,Minor
258,56225225,向中国香港救援队介绍目前救援环境和建筑坍塌等情况，联合开展搜索行动。,A briefing was given to the Chinese Hong Kong rescue team on the current situation for rescue and collapsed buildings and the joint search operation.,Accuracy/Mistranslation,Minor
258,56225225,向中国香港救援队介绍目前救援环境和建筑坍塌等情况，联合开展搜索行动。,A briefing was given to the Chinese Hong Kong rescue team on the current situation for rescue and collapsed buildings and the joint search operation.,Accuracy/Mistranslation,Minor
258,56225225,向中国香港救援队介绍目前救援环境和建筑坍塌等情况，联合开展搜索行动。,A briefing was given to the Chinese Hong Kong rescue team on the current situation for rescue and collapsed buildings and the joint search operation.,Style/Unnatural or awkward,Minor
259,56225225,目前与意大利救援队联合负责区域协调(SSC5)，同时派遣3名队员参加5号区域救援协调中心工作，与意大利、英国、塞尔维亚、斯洛伐克、阿曼等多支队伍进行沟通，了解了联合国救援组织和各国救援队救援工作情况。,"Currently responsible for the regional coordination with the Italian Rescue Team (SSC5), while sending three teams to work on the Rescue Coordination Centre 5 Region, communicate with several teams from Italy, the United Kingdom, Serbia, Slovakia and Oman, and learn about the rescue work of the United Nations and national teams.",Accuracy/Mistranslation,Major
259,56225225,目前与意大利救援队联合负责区域协调(SSC5)，同时派遣3名队员参加5号区域救援协调中心工作，与意大利、英国、塞尔维亚、斯洛伐克、阿曼等多支队伍进行沟通，了解了联合国救援组织和各国救援队救援工作情况。,"Currently responsible for the regional coordination with the Italian Rescue Team (SSC5), while sending three teams to work on the Rescue Coordination Centre 5 Region, communicate with several teams from Italy, the United Kingdom, Serbia, Slovakia and Oman, and learn about the rescue work of the United Nations and national teams.",Accuracy/Mistranslation,Minor
259,56225225,目前与意大利救援队联合负责区域协调(SSC5)，同时派遣3名队员参加5号区域救援协调中心工作，与意大利、英国、塞尔维亚、斯洛伐克、阿曼等多支队伍进行沟通，了解了联合国救援组织和各国救援队救援工作情况。,"Currently responsible for the regional coordination with the Italian Rescue Team (SSC5), while sending three teams to work on the Rescue Coordination Centre 5 Region, communicate with several teams from Italy, the United Kingdom, Serbia, Slovakia and Oman, and learn about the rescue work of the United Nations and national teams.",Accuracy/Mistranslation,Minor
259,56225225,目前与意大利救援队联合负责区域协调(SSC5)，同时派遣3名队员参加5号区域救援协调中心工作，与意大利、英国、塞尔维亚、斯洛伐克、阿曼等多支队伍进行沟通，了解了联合国救援组织和各国救援队救援工作情况。,"Currently responsible for the regional coordination with the Italian Rescue Team (SSC5), while sending three teams to work on the Rescue Coordination Centre 5 Region, communicate with several teams from Italy, the United Kingdom, Serbia, Slovakia and Oman, and learn about the rescue work of the United Nations and national teams.",Accuracy/Mistranslation,Minor
259,56225225,目前与意大利救援队联合负责区域协调(SSC5)，同时派遣3名队员参加5号区域救援协调中心工作，与意大利、英国、塞尔维亚、斯洛伐克、阿曼等多支队伍进行沟通，了解了联合国救援组织和各国救援队救援工作情况。,"Currently responsible for the regional coordination with the Italian Rescue Team (SSC5), while sending three teams to work on the Rescue Coordination Centre 5 Region, communicate with several teams from Italy, the United Kingdom, Serbia, Slovakia and Oman, and learn about the rescue work of the United Nations and national teams.",Fluency/Spelling,Minor
260,56225225,救援队持续强化安全管理和队伍保障，按照“统一指挥、安全第一”原则，加强救援现场安全管控，强化救援工作纪律要求，明确安全注意事项。,"Continue to strengthen the safety management and security of the rescuers, and in accordance with the principles of unified command and safety first, strengthen the safety control in the scene of rescue, strengthen the discipline requirements of rescue work, and clarify safety precautions.",Accuracy/Mistranslation,Minor
260,56225225,救援队持续强化安全管理和队伍保障，按照“统一指挥、安全第一”原则，加强救援现场安全管控，强化救援工作纪律要求，明确安全注意事项。,"Continue to strengthen the safety management and security of the rescuers, and in accordance with the principles of unified command and safety first, strengthen the safety control in the scene of rescue, strengthen the discipline requirements of rescue work, and clarify safety precautions.",Accuracy/Mistranslation,Minor
260,56225225,救援队持续强化安全管理和队伍保障，按照“统一指挥、安全第一”原则，加强救援现场安全管控，强化救援工作纪律要求，明确安全注意事项。,"Continue to strengthen the safety management and security of the rescuers, and in accordance with the principles of unified command and safety first, strengthen the safety control in the scene of rescue, strengthen the discipline requirements of rescue work, and clarify safety precautions.",Style/Unnatural or awkward,Minor
260,56225225,救援队持续强化安全管理和队伍保障，按照“统一指挥、安全第一”原则，加强救援现场安全管控，强化救援工作纪律要求，明确安全注意事项。,"Continue to strengthen the safety management and security of the rescuers, and in accordance with the principles of unified command and safety first, strengthen the safety control in the scene of rescue, strengthen the discipline requirements of rescue work, and clarify safety precautions.",Style/Unnatural or awkward,Minor
260,56225225,救援队持续强化安全管理和队伍保障，按照“统一指挥、安全第一”原则，加强救援现场安全管控，强化救援工作纪律要求，明确安全注意事项。,"Continue to strengthen the safety management and security of the rescuers, and in accordance with the principles of unified command and safety first, strengthen the safety control in the scene of rescue, strengthen the discipline requirements of rescue work, and clarify safety precautions.",Style/Unnatural or awkward,Minor
261,56225225,持续运行轮值备勤和岗哨工作制度，强化营区安全管理。,"Maintain the system of shift and sentry duty, and strengthen the security management in the camp.",Accuracy/Mistranslation,Minor
262,56225222,新华社评论员：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话-中新网,China-style modernization is a system engineering process - Xi Jinping at the opening of the 20th Party of Changes Seminar - Xinhua News Agency,Accuracy/Mistranslation,Major
262,56225222,新华社评论员：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话-中新网,China-style modernization is a system engineering process - Xi Jinping at the opening of the 20th Party of Changes Seminar - Xinhua News Agency,Accuracy/Omission,Major
262,56225222,新华社评论员：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话-中新网,China-style modernization is a system engineering process - Xi Jinping at the opening of the 20th Party of Changes Seminar - Xinhua News Agency,Style/Unnatural or awkward,Minor
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Found,HOTW-test
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Accuracy/Mistranslation,Major
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Accuracy/Addition,Minor
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Accuracy/Mistranslation,Minor
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Fluency/Punctuation,Minor
263,56225222,新华社北京2月11日电题：推进中国式现代化是一个系统工程——四论深刻领会习近平总书记在学习贯彻党的二十大精神研讨班开班式重要讲话,"Xinhua Beijing, February 11 (Xinhua) -- The promotion of Chinese-style modernization is a system of engineering. President Xi Jinping's keynote address at the opening ceremony of the 20th Party Spirit Workshop to learn the Party's way of life.",Style/Unnatural or awkward,Minor
264,56225222,新华社评论员,Xinhua commentator,No-error,No-error
265,56225222,“推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理好顶层设计与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列重大关系。,"Promoting China-style modernization is a systemic process that requires overall coordination and systemic planning, holistic advancement, proper handling of top-level design and practical exploration, strategy and strategy, consistency and innovation, efficiency and equity, vitality and order, self-reliance and openness to a series of important relationships.",Accuracy/Mistranslation,Major
265,56225222,“推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理好顶层设计与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列重大关系。,"Promoting China-style modernization is a systemic process that requires overall coordination and systemic planning, holistic advancement, proper handling of top-level design and practical exploration, strategy and strategy, consistency and innovation, efficiency and equity, vitality and order, self-reliance and openness to a series of important relationships.",Style/Unnatural or awkward,Minor
265,56225222,“推进中国式现代化是一个系统工程，需要统筹兼顾、系统谋划、整体推进，正确处理好顶层设计与实践探索、战略与策略、守正与创新、效率与公平、活力与秩序、自立自强与对外开放等一系列重大关系。,"Promoting China-style modernization is a systemic process that requires overall coordination and systemic planning, holistic advancement, proper handling of top-level design and practical exploration, strategy and strategy, consistency and innovation, efficiency and equity, vitality and order, self-reliance and openness to a series of important relationships.",Style/Unnatural or awkward,Minor
266,56225222,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"At the opening ceremony of the seminar for members, vice-commissars of the newly formed CC and key leadership cadres at the provincial level studying how to implement Xi Jinping's new era socialist ideas and 20 major ideals of the party, General Secretary Xi Jinping learned the rules for modernization, explained in more detail and systematically a series of important relationships that need to be dealt with in practice, and provided scientific methodology for us to vigorously promote Chinese-style modernization.",Accuracy/Mistranslation,Major
266,56225222,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"At the opening ceremony of the seminar for members, vice-commissars of the newly formed CC and key leadership cadres at the provincial level studying how to implement Xi Jinping's new era socialist ideas and 20 major ideals of the party, General Secretary Xi Jinping learned the rules for modernization, explained in more detail and systematically a series of important relationships that need to be dealt with in practice, and provided scientific methodology for us to vigorously promote Chinese-style modernization.",Accuracy/Mistranslation,Major
266,56225222,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"At the opening ceremony of the seminar for members, vice-commissars of the newly formed CC and key leadership cadres at the provincial level studying how to implement Xi Jinping's new era socialist ideas and 20 major ideals of the party, General Secretary Xi Jinping learned the rules for modernization, explained in more detail and systematically a series of important relationships that need to be dealt with in practice, and provided scientific methodology for us to vigorously promote Chinese-style modernization.",Accuracy/Mistranslation,Minor
266,56225222,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"At the opening ceremony of the seminar for members, vice-commissars of the newly formed CC and key leadership cadres at the provincial level studying how to implement Xi Jinping's new era socialist ideas and 20 major ideals of the party, General Secretary Xi Jinping learned the rules for modernization, explained in more detail and systematically a series of important relationships that need to be dealt with in practice, and provided scientific methodology for us to vigorously promote Chinese-style modernization.",Style/Unnatural or awkward,Minor
266,56225222,”在新进中央委员会的委员、候补委员和省部级主要领导干部学习贯彻习近平新时代中国特色社会主义思想和党的二十大精神研讨班开班式上，习近平总书记科学把握现代化建设规律，深入系统阐明实践中需要处理好的一系列重大关系，为我们大力推进中国式现代化提供了科学方法论。,"At the opening ceremony of the seminar for members, vice-commissars of the newly formed CC and key leadership cadres at the provincial level studying how to implement Xi Jinping's new era socialist ideas and 20 major ideals of the party, General Secretary Xi Jinping learned the rules for modernization, explained in more detail and systematically a series of important relationships that need to be dealt with in practice, and provided scientific methodology for us to vigorously promote Chinese-style modernization.",Style/Unnatural or awkward,Minor
267,56225222,推进中国式现代化涉及经济、政治、文化、社会、生态文明等各个领域，关系治党治国治军、内政外交国防等方方面面，既要做好系统谋划，又要勇于改革创新，不断实现整体推进。,"The advancement of Chinese-style modernization in all fields such as economy, politics, culture, society, ecological civilization, relations with party and state governance, military, domestic and foreign affairs, and defense, etc., requires systematic planning, as well as courage to reform and innovate, and constantly realize comprehensive advancement.",Style/Bad sentence structure,Minor
268,56225222,进行顶层设计，需要深刻洞察世界发展大势，准确把握人民群众的共同愿望，深入探索经济社会发展规律，使制定的规划和政策体系体现时代性、把握规律性、富于创造性，做到远近结合、上下贯通、内容协调。,"Top-level design requires a deep view of the world's trends, the accuracy of the common aspirations of the masses of people, and a deep exploration of the laws of economic and social development, so that the planned and policy systems reflect the times, grasp the regularity, and be rich in creativity, close integration, and top-down consistency, and content coordination.",Accuracy/Mistranslation,Minor
268,56225222,进行顶层设计，需要深刻洞察世界发展大势，准确把握人民群众的共同愿望，深入探索经济社会发展规律，使制定的规划和政策体系体现时代性、把握规律性、富于创造性，做到远近结合、上下贯通、内容协调。,"Top-level design requires a deep view of the world's trends, the accuracy of the common aspirations of the masses of people, and a deep exploration of the laws of economic and social development, so that the planned and policy systems reflect the times, grasp the regularity, and be rich in creativity, close integration, and top-down consistency, and content coordination.",Style/Unnatural or awkward,Minor
268,56225222,进行顶层设计，需要深刻洞察世界发展大势，准确把握人民群众的共同愿望，深入探索经济社会发展规律，使制定的规划和政策体系体现时代性、把握规律性、富于创造性，做到远近结合、上下贯通、内容协调。,"Top-level design requires a deep view of the world's trends, the accuracy of the common aspirations of the masses of people, and a deep exploration of the laws of economic and social development, so that the planned and policy systems reflect the times, grasp the regularity, and be rich in creativity, close integration, and top-down consistency, and content coordination.",Style/Unnatural or awkward,Minor
269,56225222,推进中国式现代化是一个探索性事业，还有许多未知领域，需要在实践中去大胆探索，通过改革创新来推动事业发展，决不能刻舟求剑、守株待兔。,"Advancing China-style modernization is a matter of exploration, and there are still many unknown areas that need to be explored boldly in practice and to promote the development of the cause through reform and innovation, never stalling and standing idly by.",Style/Bad sentence structure,Minor
269,56225222,推进中国式现代化是一个探索性事业，还有许多未知领域，需要在实践中去大胆探索，通过改革创新来推动事业发展，决不能刻舟求剑、守株待兔。,"Advancing China-style modernization is a matter of exploration, and there are still many unknown areas that need to be explored boldly in practice and to promote the development of the cause through reform and innovation, never stalling and standing idly by.",Style/Unnatural or awkward,Minor
270,56225222,战略问题是一个政党、一个国家的根本性问题。,The strategic question is the fundamental question of a political party and a country.,Style/Unnatural or awkward,Minor
270,56225222,战略问题是一个政党、一个国家的根本性问题。,The strategic question is the fundamental question of a political party and a country.,Style/Unnatural or awkward,Minor
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Accuracy/Mistranslation,Major
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Fluency/Grammar,Minor
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Fluency/Grammar,Minor
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Fluency/Punctuation,Minor
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Style/Unnatural or awkward,Minor
271,56225222,推进中国式现代化，要增强战略的前瞻性，以科学的战略预见未来、引领未来；要增强战略的全局性，着眼于解决事关党和国家事业兴衰成败、牵一发而动全身的重大问题；要增强战略的稳定性，战略一经形成，就要长期坚持、一抓到底、善作善成。,"To promote China-style modernization, enhance the forward-lookingness of the strategy, to foresee and lead the future with scientific strategy; enhance the comprehensiveness of the strategy, focusing on solving the major problems of the party and state affairs, and acting from the start; enhance the stability of the strategy, once the strategy is formed, it must be long-term, thoroughly, and well done.",Style/Unnatural or awkward,Minor
272,57056787,（德国之声中文网）拜登政府本周五（2月10日）将6个与疑似参与间谍气球计划的中国实体列入黑名单。,The Biden administration on Friday blacklisted six Chinese entities suspected of involvement in the balloon spy program.,Accuracy/Omission,Major
272,57056787,（德国之声中文网）拜登政府本周五（2月10日）将6个与疑似参与间谍气球计划的中国实体列入黑名单。,The Biden administration on Friday blacklisted six Chinese entities suspected of involvement in the balloon spy program.,Accuracy/Omission,Minor
272,57056787,（德国之声中文网）拜登政府本周五（2月10日）将6个与疑似参与间谍气球计划的中国实体列入黑名单。,The Biden administration on Friday blacklisted six Chinese entities suspected of involvement in the balloon spy program.,Fluency/Grammar,Minor
