index,original,translated,terminology_annotation
332,"or ""Modal editors are useless today"" :morty:",或者“模式编辑器今天没用” :morty:,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors related to glossary entries in the translation provided. The translation accurately reflects the source text, and there are no issues with glossary compliance, typos, or capitalization in the context of the provided text."
336,How would you share personal libraries?,你会如何分享个人图书馆？,"```
MQM annotations:
Terminology errors:
no-error
```"
341,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",还有一天，我一定要尝试空中高空高潮，也许不需要一个str。,"Based on the provided source and translation, let's evaluate the terminology errors according to the guidelines:

Source (English):  
_Also one day I am totally gonna do the mile high orgasm, maybe not with a str_

Translation (Chinese):  
_还有一天，我一定要尝试空中高空高潮，也许不需要一个str。_

MQM annotations:
Terminology errors:
- None

Explanation: There are no highlighted glossary terms in the provided text, so no terminology errors can be identified. The translation does not contain any glossary-specific issues related to terminology."
342,I don't agree that #Mastodon is difficult to setup.,我不同意 #Mastodon 很难设置。,"```
MQM annotations:
Terminology errors:
no-error
```"
345,"I wish there was a ""who to follow"" recommendation somehow.",我希望能有一个“推荐关注”的功能。,"```
MQM annotations:
Terminology errors:
None
```"
347,If you stick to the default web interface it doesn't look and feel good (imho).,如果你坚持使用默认的网页界面，它看起来和感觉都不好（仅代表个人意见）。,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation correctly conveys the meaning of the source text, and there are no issues with the application or context of any glossary terms."
352,Explanation: account for both sides of mutual influence,解释：考虑到相互影响的双方。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""mutual influence"" should have been translated according to the glossary specification.
```"
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.",即使他在市政厅上没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,"```
MQM annotations:
Terminology errors:
None
```"
366,Throwing everything you've got over the fence in response to GPT is not it.,把你所有的东西都扔过围栏来回应GPT并不是解决办法。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""GPT"" should be retained as is in the translation, as it is a specific term and not translated.
```"
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",如果我尝试计算我的一重复最大重量，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害/杀死我。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""one rep max"" was not translated according to the glossary specification in the Chinese translation.
```"
375,I swear burrata didn't exist five years ago,我发誓五年前根本没有布拉塔奶酪。,"```
MQM annotations:
Terminology errors:
critical: TERM NOT APPLIED - The term ""burrata"" should have been translated as ""布拉塔"" according to the glossary.
```"
376,This is my personal Mandela effect thing.,这是我个人的曼德拉效应现象。,"```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""Mandela effect"" should be translated as ""曼德拉效应"" according to the glossary, but it is not highlighted or annotated as such in the translation.
```"
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,我从未见过谁的妈妈做过，也没有在聚会上被塞给过，也没有在任何人的调味或烘焙日中出现过。,"```
MQM annotations:
Terminology errors:
None
``` 

In this case, there are no terminology errors related to glossary entries in the provided translation. The translation accurately reflects the source text without any issues related to glossary terms."
380,It just appeared one day and suddenly it was available everywhere.,有一天它突然出现，然后到处都能买到。,"```
MQM annotations:
Terminology errors:
no-error
```"
385,"This would be mainly for web browsing, occasional email, and some games.",这主要用于网页浏览、偶尔的电子邮件和一些游戏。,"```
MQM annotations:
Terminology errors:
None
```"
387,"""A good game is only late until it ships.",好游戏只会迟到，直到它发货。,"```
MQM annotations:
Terminology errors:
None
```

Explanation: There are no terminology errors in the provided translation. The translation of ""A good game is only late until it ships"" to ""好游戏只会迟到，直到它发货。"" does not involve any glossary terms that are incorrectly applied or inappropriate in context."
392,"""Or, as an industry catch phrase goes: A late game is only late until it ships.",或者，正如行业流行语所说：一款跳票的游戏只会在发售前跳票。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""late"" should be translated according to the glossary specification, but the translation uses ""跳票"" which means ""delayed"" or ""postponed"" instead of the more direct translation of ""late.""
```"
394,Is it so ephemeral then?,那么它是如此短暂吗？,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no glossary terms that are misapplied or incorrect in context."
397,"He carries it in his mouth proudly all over the house, and I just have to laugh inwardly.",他骄傲地把它叼在嘴里，满屋子走，我只能在心里偷笑。,"```
MQM annotations:
Terminology errors:
None
```"
399,Have now done a full round trip on the new ICNG train.,现在已经乘坐新的ICNG列车完成了一次往返旅程。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""ICNG"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
400,I really like it.,我真的很喜欢。,"```
MQM annotations:
Terminology errors:
no-error
```"
402,There's areas that could use some polish.,有些地方需要润色。,"```
MQM annotations:
Terminology errors:
no-error
```"
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",即缺乏足够的垃圾桶，也缺乏解释灯光颜色意义的标志。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""bins"" should be translated according to the glossary specification.
Major: TERM NOT APPLIED - The term ""signs"" should be translated according to the glossary specification.
```"
404,"Fix those minor issues, and then can we have more of these please?",修复那些小问题，然后我们可以多要一些吗？,"```
MQM annotations:
Terminology errors:
None
```"
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,每位顾客限购一块，以确保每位排队的人都能买到一块。,"```
MQM annotations:
Terminology errors:
None
```"
407,"You can buy ONE of the boards listed above, not one of each.",您可以购买上面列出的其中一块板，而不是每种都买一块。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""board"" should be translated according to the glossary, but the translation uses ""板"" which is not specified in the glossary.
```"
409,Yesterday I had the best time with my friend and former rabbi colleague.,昨天我和我的朋友兼前拉比同事度过了最美好的时光。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""rabbi"" should be translated as ""拉比"" according to the glossary.
```"
410,We visited for a couple hours on my porch.,我们在我的门廊上待了几个小时。,"```
MQM annotations:
Terminology errors:
no-error
```"
412,We all have stories to tell.,我们都有故事要讲。,"```
MQM annotations:
Terminology errors:
None
```

In this case, there are no terminology errors to annotate. The translation of ""We all have stories to tell."" to ""我们都有故事要讲。"" does not involve any glossary terms that are incorrectly applied or used inappropriately."
415,I quite like akkoma the software and the domain name I got for my instance.,我非常喜欢 Akkoma 这个软件和我为我的实例获得的域名。,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""Akkoma"" should be capitalized in the Chinese translation to match the source text.
```"
416,"But I feel somehow I started this instance on the wrong foot, so to speak.",但我觉得不知怎么地，我在这个情况下有点不太顺利，可以这么说。,"```
MQM annotations:
Terminology errors:
no-error
```"
423,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,Repnid在地表下挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,"```
MQM annotations:
Terminology errors:
Critical: WRONG TERM - The term ""Repnid"" should be consistently translated or left in its original form if it is a proper noun or fictional term. In the translation, ""Repnid"" is not translated, which may lead to comprehension issues if it is expected to be translated or adapted in Chinese.
```"
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",结局迅速，几对毒牙注入致命的毒液，迪斯克拉的空气污染了你的肺部。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Dyskra"" was not applied in the translation. It should have been translated as ""Dyskra"" instead of ""迪斯克拉"".
```"
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八眼的Repnids似乎在注视着你，但它们没有向你移动，事实上，当你慢慢走向它们时，它们一动不动。,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The term ""Repnids"" should be capitalized as it is a proper noun, but it is not capitalized in the Chinese translation.
```"
432,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.",你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于混乱状态。,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation of the source text into Chinese does not exhibit any issues with glossary terms that would require annotation under the given guidelines."
437,I started a new shawl.,我开始了一条新的披肩。,"```
MQM annotations
Terminology errors:
no-error
```"
442,I am using a H hook with a similar double crochet pattern as I have done before.,我正在使用H钩和以前相似的长针图案。,"```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""double crochet"" should be translated as ""长针"" in Chinese, but it was not highlighted as a glossary entry.
```"
448,The literature class hatred is even worse: I love to read.,文学课的仇恨更严重：我喜欢阅读。,"```
MQM annotations:
Terminology errors:
no-error
```"
454,Humanity is out in 5 days.,人类将在5天后消失。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Humanity"" should have been translated as ""人类"" according to the glossary specification.
```"
456,What will people think of it?,人们会怎么想？,"```
MQM annotations:
Terminology errors:
no-error
```"
463,Came home on my lunch break to see this sitting outside uwu.,午休时回家看到这个坐在外面uwu。,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""lunch break"" should have been translated according to the glossary specification, but it is not highlighted in the target text.
```"
464,Wish I could take it back to work with me to setup more.,希望我能把它带回去工作，设置更多。,"```
MQM annotations:
Terminology errors:
None
```"
466,So I finally watched #Heartstopper,所以我终于看了《心跳漏一拍》。,"```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""Heartstopper"" should have been translated as ""《心跳停顿》"" according to the glossary, but it was translated as ""《心跳漏一拍》"".
```"
477,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.",但重要的是不要为问题找借口，而是要解决它们，尤其是在生产中当你的主管需要更改时。,"```
MQM annotations:
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation correctly conveys the meaning of the source text, and there are no issues with glossary terms being incorrectly applied or used inappropriately."
480,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",好的批评是为了迅速纠正问题，并不是针对你的能力。,"```
MQM annotations:
Terminology errors:
None
``` 

Explanation: There are no terminology errors in the provided translation. The translation correctly conveys the meaning of the source text, and there are no glossary terms that are incorrectly applied or used inappropriately in the context."
485,These roots are hidden.,这些根是隐藏的。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""hidden"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
486,Work is not visible.,工作不可见。,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Work"" should be translated according to the glossary specification, but ""工作"" does not match the specified term.
```"
492,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,他等到在铺位房间的黑暗中才拿出纸条，在透过遮光窗帘的光束中读了起来。,"```
MQM annotations:
Terminology errors:
None
``` 

In this case, there are no terminology errors related to glossary entries in the translation provided. The translation accurately reflects the source text, and there are no issues with glossary terms being misapplied or incorrect in context."
495,I've met some marvelous new #Mastodon mates lately and want to maintain the trend.,最近我认识了一些很棒的新的 #Mastodon 朋友，并希望保持这种趋势。,"Based on the provided source and translation, let's evaluate any terminology errors:

Source (English):  
""I've met some marvelous new #Mastodon mates lately and want to maintain the trend.""

Translation (Chinese):  
""最近我认识了一些很棒的新的 #Mastodon 朋友，并希望保持这种趋势。""

MQM annotations:
Terminology errors:
- None

Explanation: The translation does not contain any terminology errors related to glossary entries. The term ""#Mastodon"" is correctly retained in the translation, as it is a proper noun and hashtag that should remain unchanged. There are no other glossary terms in this context that require annotation."
