index,original,single_agent_translation,single_agent_improved_translation
378,I'd never seen it at the fancy grocer or any of the Italian delis.,"Я никогда не видел этого ни в шикарном бакалейном магазине, ни в итальянских гастрономах.","Я никогда не видел этого ни в изысканном продуктовом магазине, ни в итальянских деликатесах."
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*.","Будучи радикализованными здесь, мы неохотно покупаем новую FAANG-машину*.","Будучи радикализованными здесь, мы с неохотой купим новый компьютер FAANG*."
386,"In 1998-06 Gamefan, in relation to the long development of the first Unreal game, Jason Schrieber commented,","В Gamefan за июнь 1998 года, в связи с долгой разработкой первой игры Unreal, Джейсон Шрайер отметил:","В июньском выпуске Gamefan за 1998 год, в связи с длительной разработкой первой игры Unreal, Джейсон Шрайер отметил:"
387,"""A good game is only late until it ships.","Хорошая игра считается задержанной до тех пор, пока не выйдет.","Хорошая игра считается задержанной только до тех пор, пока не выйдет."
388,"A bad game is bad forever.""",Плохая игра плоха навсегда.,Плохая игра всегда останется плохой.
391,"An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,",Более ранний выпуск GamePro 1997-11 содержит цитату с гораздо большей неопределенностью.,"Более ранний выпуск GamePro за ноябрь 1997 года содержит цитату, допускающую гораздо больше различных толкований."
402,There's areas that could use some polish.,"Есть области, которые можно было бы доработать/улучшить.","Есть области, которые можно доработать."
404,"Fix those minor issues, and then can we have more of these please?","Исправьте эти небольшие недочеты, и можно ли нам еще таких, пожалуйста?","Исправьте эти небольшие недочеты, и можно ли нам побольше таких, пожалуйста?"
410,We visited for a couple hours on my porch.,Мы посидели пару часов на моей веранде.,Мы посидели пару часов на моем крыльце.
420,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them.","Восьмиглазые Репниды, кажется, наблюдают за тем, как вы сажаете флайер на красную почву, но они не двигаются в вашу сторону, на самом деле, они неподвижны, пока вы вылезаете из флайера и медленно направляетесь к ним.","Восьмиглазые репниды, похоже, наблюдают, как вы опускаете флайер на красную почву, но они не двигаются к вам; на самом деле, они неподвижны, когда вы выходите из флайера и медленно направляетесь к ним."
421,"The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected.","Земля под ногами начинает дрожать, а затем трястись, словно при землетрясении, и вы теряете равновесие, хотя репнидов это, кажется, не затрагивает.","Земля под ногами начинает дрожать, а затем трястись, как при землетрясении, и вы теряете равновесие, хотя репнидов это, кажется, не затрагивает."
422,The rock beneath you gives way suddenly.,Земля под тобой внезапно уходит из-под ног.,Камень под тобой внезапно уходит из-под ног.
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.","Конец быстр: несколько пар клыков впрыскивают свой смертельный яд, и воздух Дискры отравляет твои легкие.","Конец близок: несколько пар клыков впрыскивают свой смертельный яд, и воздух Дискры отравляет ваши легкие."
432,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.","Вы решаете, что возобновление контакта было бы опасно, и возвращаетесь к своему флаеру, но этот опыт прояснил ваш разум, который был смущен с тех пор, как вы прыгнули в будущее.","Вы решаете, что возобновлять контакт было бы опасно, и возвращаетесь к своему флаеру, но этот опыт прояснил ваш разум, затуманенный с тех пор, как вы совершили прыжок в будущее."
434,Note that you have used up another polybdenum rod as you jump.,"Обратите внимание, вы использовали еще один полибденовый стержень во время прыжка.",Обратите внимание: во время прыжка вы израсходовали еще один молибденовый стержень.
439,I found a unevenly spun silver gray yarn that is mostly finely spun with lumps.,"Я нашла неравномерно спряденую серебристо-серую пряжу, в основном тонкую, с узелками.","Я нашла неравномерно спряденную серебристо-серую пряжу, в основном тонкого прядения, с узелками."
440,I plan on mixing it with a fine purple/lilac variegated cotton.,Я планирую смешать это с тонким сиренево-фиолетовым меланжевым хлопком.,Я планирую смешать это с тонким хлопком сиренево-фиолетовой меланжевой расцветки.
449,"I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.","Я перечитал большинство классики до восемнадцати, хотя это скорее отражение жизни в глухой заднице. От отчаяния я даже прочитал ""Британскую энциклопедию"" 1979 года.","Я перечитал почти всю классику до восемнадцати лет, хотя это скорее от скуки из-за жизни в глуши. От отчаяния я даже прочитал ""Британскую энциклопедию"" 1979 года."
452,"And that's also even though I haven't slept as well here for the last two nights as I do at home, and get a little #MECFS ed out from simply being in a strange environment where I'm less able to pace myself and have to remember where things are.","И это при том, что последние две ночи я спал здесь не так хорошо, как дома, и немного выматываюсь из-за #СЭХТ из-за простого нахождения в незнакомой обстановке, где мне сложнее регулировать свою активность и приходится запоминать, где что находится.","И это при том, что последние две ночи я спал здесь не так хорошо, как дома, и немного выматываюсь из-за #СЭХТ (синдрома хронической усталости) из-за простого нахождения в незнакомой обстановке, где мне сложнее регулировать свою активность и приходится запоминать, где что находится."
454,Humanity is out in 5 days.,Человечество выходит через 5 дней.,Человечество наступит через 5 дней.
457,I like it but will it be able to attract an audience of the right players?,"Мне нравится, но сможет ли это привлечь аудиторию подходящих игроков?","Мне нравится, но сможет ли это привлечь нужных игроков?"
463,Came home on my lunch break to see this sitting outside uwu.,"Пришёл домой в обеденный перерыв и увидел это, стоящее на улице uwu.","Пришёл домой на обеденном перерыве и увидел это, стоящее на улице, uwu."
467,Was it overly cute to the point of being twee?,Было ли это чрезмерно мило до приторности?,Было ли это излишне мило и приторно до тошноты?
474,Did she owe someone money?,Она кому-то должна была денег?,Она была кому-то должна денег?
480,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",Хорошая критика нужна для быстрого исправления проблемы и не направлена на ваши способности.,Хорошая критика нужна для быстрого исправления проблемы и не ставит под сомнение ваши способности.
487,But for strong and firm future growth.,Но для уверенного и устойчивого будущего роста.,Но для стабильного и уверенного роста в будущем.
489,"She was on her way to the wall, he was coming off duty.","Она шла к стене, он заканчивал смену.","Она шла к стене, а он заканчивал смену."
493,One block-printed word.,"Одно слово, напечатанное с помощью техники блочной печати.","Одно слово, напечатанное ксилографическим способом."
