index,original,translated,style_annotation
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!","Полный людей, слишком переживающих, чтобы попытаться присоединиться к рейдовой статике, без каких-либо ожиданий быть хорошими!","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - ""слишком переживающих, чтобы попытаться присоединиться"" is a bit verbose and could be phrased more naturally in Russian. A more concise option would be ""слишком стесняющихся присоединиться"".
```"
219,I was a voracious reader in my youth.,В юности я был ненасытным читателем.,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While ""ненасытным читателем"" is a correct translation of ""voracious reader,"" it sounds slightly formal or bookish in modern Russian. A more natural phrasing might be ""много читал,"" or other similar options, depending on the desired nuance.
```"
221,"But, after ~decades~ of reading next to nothing (with the exception of functional work-related non-fiction stuff and an occasional self-help book) I set a goal to read 23 books in 2023.","Но после ~десятилетий~ практически полного отсутствия чтения (за исключением функциональной, связанной с работой научно-популярной литературы и редких книг по саморазвитию) я поставил себе цель прочитать 23 книги в 2023 году.","```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""практически полного отсутствия чтения"" (practically complete absence of reading) sounds slightly unnatural in Russian. While grammatically correct, it could be phrased more fluently. A more natural phrasing could be ""практически не читал"" (practically didn't read).
```"
226,I wanna see these companies that intermediate transactions explain to their customers how they set their percentages.,"Я хочу, чтобы эти компании, которые выступают посредниками в транзакциях, объяснили своим клиентам, как они устанавливают свои проценты.","MQM annotations:
Style error:
minor: style/unnatural flow - The phrase ""выступают посредниками в транзакциях"" (act as intermediaries in transactions) sounds somewhat formal and could be more natural.
minor: style/wordiness - The phrasing ""как они устанавливают свои проценты"" (how they establish their percentages) is accurate but slightly verbose. A more concise phrasing might exist."
228,"But if Spotify has a good quarter, they will.","Но если у Spotify будет хороший квартал, то да.","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The use of ""то да"" (then yes) sounds somewhat unnatural and overly literal in this context. A more natural way to express this in Russian might be to simply use ""Да"" (Yes) or rephrase the sentence altogether for better flow."
229,Is it a danger to let migrants in at the southern border? I dunno.,Представляет ли опасность впуск мигрантов на южной границе? Не знаю.,"MQM annotations:
Styles error:
minor: Unnatural Flow - The sentence structure is grammatically correct but sounds slightly unnatural in Russian. A more fluent phrasing might be possible."
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,Пусть они восстановят опустевшие и ветшающие города по всей стране. Снова.,"```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""Пусть они восстановят"" sounds slightly formal and less natural than alternative phrasing in Russian. A more colloquial option might improve the flow.
```"
238,There are still going to be jobs that can be accomplished remotely for the foreseeable future.,В обозримом будущем сохранится возможность удалённой работы.,"MQM annotations:
no errors"
239,Remote work is enabling.,Удалённая работа расширяет возможности.,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While accurate, ""расширяет возможности"" sounds slightly formal or literal. A more natural phrasing might be ""открывает новые возможности"" or a similar expression.
```"
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.","Это позволяет людям работать в комфортных местах, а не в душных, шумных офисах.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""в комфортных местах, а не в душных, шумных офисах"" is grammatically correct, but slightly unnatural. A more idiomatic construction could improve the flow.
```"
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,"Это позволяет людям избегать долгих поездок на работу, которые отнимают время от их дня и их семей.","MQM annotations:
minor: style/unnatural flow - The phrase ""отнимают время от их дня и их семей"" is grammatically correct but sounds a bit awkward and literal. A more natural phrasing in Russian might be ""отнимают время у них и их семей"" or ""крадут время у них и их семей""."
250,"""You are the carbon they are trying to reduce.""","Вы тот самый углерод, который они пытаются сократить.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While grammatically correct, the phrase ""Вы тот самый углерод"" (You are that very carbon) sounds slightly unnatural. A more natural phrasing might be ""Вы и есть тот углерод"" or ""Вы тот углерод"". The original phrase is not wrong, just a bit stiff.
```"
251,"So like from the beginning for all my birthdays in the past, I always had rough ones.","Короче, начиная с самого начала, все мои дни рождения в прошлом всегда были трудными.","MQM annotations:
Style Errors:
minor: style/unnatural flow - While grammatically correct, the phrase ""начиная с самого начала"" feels slightly redundant and could be expressed more naturally in Russian. The ""Короче"" at the beginning is also a bit informal and may not be the best fit depending on the context."
257,And today is already becoming a great day!,И сегодня уже становится отличным днём!,"```
MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""уже становится отличным днём"" while grammatically correct, sounds slightly unnatural. A more natural phrasing would be something like ""уже обещает быть отличным днём"" or ""уже выдаётся отличным днём"".
```"
258,Winter is 30 days away in this little part of the Great Southern World.,До зимы 30 дней в этом небольшом уголке Большого Южного мира.,"MQM annotations:
minor: style/Unnatural Flow - While grammatically correct, ""в этом небольшом уголке Большого Южного мира"" sounds a bit too literal and could be expressed more naturally in Russian. A more common phrase might be ""в этой части Южного полушария""."
264,I will zip the lining into my cycle jacket - just in case I need it inside.,"Я застегну молнию на подкладке в своей велосипедной куртке - на всякий случай, если она мне понадобится внутри.","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""на всякий случай, если она мне понадобится внутри"" (just in case I need it inside) sounds a bit awkward and could be phrased more naturally in Russian. A more natural phrasing might be something like ""просто на всякий случай"" or ""чтобы была под рукой""."
273,I finally got a good dangle photo so I can be sure he's not fat.,"Наконец-то получилось хорошее фото, где всё видно, чтобы убедиться, что он не толстый.","```
MQM annotations:
Style Errors:
minor: style/Unnatural Flow - The phrase ""где всё видно"" (where everything is visible) sounds a bit unnatural in this context. A smoother phrasing could be used.
```"
275,He's not.,Нет.,"```
MQM annotations:
minor: style/unnatural flow - While accurate, ""Нет"" is a very abrupt and potentially rude response in Russian. Depending on the context, a more natural response might be ""Это не так"" or ""Он не прав"".
```"
282,2) The currency reward system has been connected.,Система вознаграждений валютой подключена.,"MQM annotations:
minor: style/unnatural flow - The phrase ""Система вознаграждений валютой подключена"" sounds a bit unnatural in Russian. A more natural way to express this would be ""Подключена система вознаграждений валютой."""
286,"All collards, kale, chard is transplanted.","Вся листовая капуста, кале, мангольд пересажены.","MQM annotations:
minor: style/unnatural flow - The phrase ""листовая капуста, кале"" (leaf cabbage, kale) is somewhat redundant as kale is a type of leaf cabbage. A more natural flow would involve either omitting ""листовая капуста"" or using a different phrasing to introduce the specific types.
minor: style/inconsistency - ""кале"" (kale) is transliterated, while ""мангольд"" (chard) is translated. While both approaches are valid, maintaining consistency by either transliterating or translating both would improve the style."
287,Plans to set in salad at Penn on 6row pattern and see how that compares to broadcast seeded beds.,"Планируется высадить салат в Пенне по схеме 6 рядов и посмотреть, как это сравнится с грядками, засеянными разбросным способом.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""по схеме 6 рядов"" (in a 6-row pattern) sounds slightly unnatural in Russian. A more natural phrasing might be considered.
minor: unnatural flow - ""посмотреть, как это сравнится с грядками, засеянными разбросным способом"" is grammatically correct but slightly verbose and could be rephrased for better flow (e.g., ""сравнить с грядками, засеянными вразброс"")."
288,Spring peas at Gilpin are showing up so trellise needs to be set.,"Весенний горох в Гилпине всходит, так что нужно устанавливать шпалеры.","MQM annotations:
Minor: Unnatural Flow - The phrase ""так что нужно устанавливать шпалеры"" sounds slightly awkward and could be phrased more naturally in Russian. A more common phrasing might be ""поэтому нужно установить шпалеры""."
289,"Also need to seed a salad row there to integrate cut greens in both have trained crew on irrigation, bed prep, and transplanting which is 90% of non-harvest skill items","Нужно также засеять грядку для салата, чтобы интегрировать нарезанную зелень, в обеих случаях есть обученная команда по ирригации, подготовке грядок и пересадке, что составляет 90% навыков, не связанных со сбором урожая, просто обеспечьте это.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""просто обеспечьте это"" (just ensure it) feels tacked on and doesn't flow naturally from the preceding sentence. A more integrated construction would be better."
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).","Из любопытства я старался быть непредвзятым, чтобы сравнить Google Maps и Apple Maps на моём тестовом iPhone (мой основной телефон - Android, поэтому я редко пользуюсь iPhone).","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""старался быть непредвзятым"" (tried to be unbiased) is a bit stiff. A more natural flow could use a different construction.
minor: register - ""мой основной телефон - Android, поэтому я редко пользуюсь iPhone"" could be slightly more formal/professional sounding, depending on the context (e.g. a product review should not be conversational)."
299,Was it the 2012 Apple Maps disaster?,Была ли это катастрофа с Apple Maps в 2012 году?,"```
MQM annotations:
```"
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.","Я предвзято отношусь к выпуску мусора конечным пользователям, а Apple крупно облажалась со своими Apple Maps, когда они вышли в 2012 году.","```
MQM annotations:
minor: style/unnatural flow - ""Я предвзято отношусь к выпуску мусора конечным пользователям"" sounds a little awkward. A more natural phrasing might be ""Я против выпуска мусора для конечных пользователей"" or ""Я негативно отношусь к выпуску некачественного продукта конечным пользователям.""
minor: style/register - ""облажалась"" is a very informal word. While it captures the tone of ""royally fucked up,"" a more neutral or slightly more formal equivalent might be ""крупно ошиблась"" or ""сильно промахнулась"", depending on the intended audience and context.
```"
308,Not the case.,Не в этом дело.,"MQM annotations:
Style Errors
minor: unnatural flow - The phrase ""Не в этом дело"" is a valid translation, but it's more idiomatic and might not be the most natural or common way to express ""Not the case"" in all contexts. A more literal translation could be ""Это не так."""
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,"Кажется немыслимым, что однажды землю могут отобрать, когда смотришь австралийские и американские СМИ, но это потому, что богатые сидят там целыми днями, убеждаясь, что ты думаешь определенным образом.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""убеждаясь, что ты думаешь определенным образом"" (making sure you think a certain way) sounds slightly unnatural in Russian. A more idiomatic phrasing might be used."
314,The land is very easily and quickly taken away by the government one day if they want to do that.,"Землю очень легко и быстро могут забрать у вас власти в один день, если захотят это сделать.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""у вас власти"" (from you authorities) sounds slightly awkward in Russian. While grammatically correct, it's more natural to say ""власти могут забрать"" (authorities can take).
minor: register - The use of ""могут забрать"" (can take) is slightly less formal. A more formal phrasing like ""имеют право забрать"" (have the right to take) or ""могут изъять"" (can seize) might be more appropriate depending on the context, but ""могут забрать"" is acceptable."
316,It never made sense how ppl can keep land at the expense of others.,"Никогда не понимал, как люди могут удерживать землю за счёт других.","MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The Russian translation, while accurate, sounds a bit clunky and could be phrased more naturally. The phrase ""за счёт других"" (at the expense of others) can be reworded for a smoother flow in this context."
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Меня часто поражает человеческая способность так сильно себя принижать, будучи буквально затопленными свидетельствами того, как выглядит настоящая жестокость.","```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""будучи буквально затопленными свидетельствами"" (being literally flooded by evidence) sounds slightly unnatural and could be phrased more elegantly in Russian. A smoother phrasing might be ""видя вокруг себя так много свидетельств"" (seeing so much evidence around oneself) or similar.
```"
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.,"Но смягчение отчаяния из-за нашего беспорядка имеет решающее значение, потому что это дает нам больше пространства для решения окружающих нас руин.","```
MQM annotations:
Style Errors:
minor: unnatural flow - ""Смягчение отчаяния из-за нашего беспорядка"" sounds slightly unnatural. A more natural phrasing might be ""Уменьшение отчаяния из-за нашей неряшливости"" or similar. The current translation is grammatically correct but not the most idiomatic.
```"
331,"Some programmers: ""Typing speed does not matter!""","Некоторые программисты: ""Скорость печати не имеет значения!""","```
MQM annotations:
```"
334,"Not sure if this is the best approach for sharing, but I like it for now: <URL>","Не уверен, лучший ли это способ поделиться, но мне пока нравится: <URL>","MQM annotations:
Styles error:
minor: style/unnatural flow - While the translation is accurate, ""мне пока нравится"" could be more naturally expressed in Russian. A more idiomatic alternative might be ""пока что меня устраивает"" or ""пока мне подходит."""
338,I have been toying with this little piece on my head for a few days now.,Я уже несколько дней верчу в руках эту штучку у себя на голове.,"MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - The phrase ""верчу в руках эту штучку у себя на голове"" (turning this little thing in my hands on my head) is a very literal and somewhat awkward translation of ""toying with this little piece on my head."" While understandable, it doesn't flow naturally in Russian. A more idiomatic expression could be used."
339,It is definitely more romance than filth.,"Это определённо больше романтика, чем грязь.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""больше романтика, чем грязь"" sounds slightly unnatural in Russian. A more idiomatic phrasing might exist depending on the context.
```"
343,"Common, it's really not that hard.","Да ладно, это же не так уж и сложно.","MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""Да ладно"" while acceptable, can sometimes sound a bit dismissive. While it captures the informality of ""Common"", a slightly more encouraging or neutral phrase might improve the overall flow and tone, depending on the context. A potential alternative is ""Ну же,""."
345,"I wish there was a ""who to follow"" recommendation somehow.","Хотелось бы, чтобы была какая-то рекомендация ""на кого подписаться"".","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""Хотелось бы, чтобы была какая-то рекомендация"" is a bit wordy and could be more concise for a more natural flow in Russian. A more direct translation like ""Нужна рекомендация"" or ""Я бы хотел(а) видеть рекомендацию"" would be more natural."
347,If you stick to the default web interface it doesn't look and feel good (imho).,"Если пользоваться веб-интерфейсом по умолчанию, то он выглядит и ощущается не очень хорошо (имхо).","MQM annotations:
minor: style/unnatural flow - The phrase ""Если пользоваться веб-интерфейсом по умолчанию, то он выглядит и ощущается не очень хорошо"" is grammatically correct but sounds a bit awkward and overly literal. A more natural phrasing might be ""Веб-интерфейс по умолчанию выглядит не очень хорошо, на мой взгляд."" or similar."
349,"I don't know if prevention is possible, but it's worth trying.","Я не знаю, возможно ли предотвращение, но стоит попытаться.","```
MQM annotations:
Styles error:
minor: style/unnatural flow - While grammatically correct, ""возможно ли предотвращение"" sounds slightly formal and less natural than alternative wordings in Russian. A more natural phrasing might be ""можно ли это предотвратить"" or similar.
```"
350,"The four steps I outline are up for debate, with some progress in each:","Четыре шага, которые я описываю, являются предметом обсуждения, но по каждому из них есть некоторый прогресс.","MQM annotations:
minor: style/Unnatural Flow - The phrase ""по каждому из них есть некоторый прогресс"" (on each of them there is some progress) sounds a bit unnatural in Russian. A more natural way to express this could be ""по каждому из них достигнут определенный прогресс"" (certain progress has been achieved on each of them)."
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.","Даже если он и не произнес их во время встречи с избирателями, все в Америке все равно услышат их, неоднократно, в период между сегодняшним днем и ноябрем 2024 года.","MQM annotations:
No Style Errors"
363,"The ""MusicLM Demo"" is mildly interesting.","Демо ""MusicLM"" слегка интересно.","```
MQM annotations:
Style error:
minor: unnatural flow - While not grammatically incorrect, the phrase ""слегка интересно"" (slightly interesting) sounds less natural in Russian than alternatives like ""довольно интересно"" (quite interesting) or ""несколько интересно"" (somewhat interesting). It's not a major error as the meaning is clear, but it could be improved for better fluency.
```"
369,I work out alone in my bedroom without a spotter or even a weight rack.,"Я занимаюсь один в своей спальне без страховщика и даже без силовой рамы, только с гантелями и штангой.","MQM annotations:
Style Errors:
minor: unnatural flow - The addition of ""только с гантелями и штангой"" (only with dumbbells and barbell) is not necessary and makes the sentence sound a bit unnatural. While it adds clarity, it wasn't in the source and could be implied."
371,I bench press on my bed.,Я жму лёжа на своей кровати.,"```
MQM annotations:
Style Errors
minor: style/unnatural flow - While grammatically correct, ""Я жму лёжа на своей кровати"" sounds a bit unnatural. A more natural way to say this in Russian would be ""Я делаю жим лежа на своей кровати"". Using ""жму лёжа"" is not incorrect, but it's less common and sounds slightly awkward in everyday speech.
```"
378,I'd never seen it at the fancy grocer or any of the Italian delis.,"Я никогда не видел этого ни в шикарном бакалейном магазине, ни в итальянских гастрономах.","```
MQM annotations:
Style Errors:
minor: Unnatural Flow - The phrase ""в шикарном бакалейном магазине"" (in a fancy grocery store) sounds slightly unnatural in Russian. While grammatically correct, ""в элитном бакалейном магазине"" or ""в дорогом бакалейном магазине"" might flow better.
```"
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*.","Будучи радикализованными здесь, мы неохотно покупаем новую FAANG-машину*.","MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - The sentence structure is grammatically correct but sounds slightly unnatural in Russian. It's a very direct translation and could be rephrased for smoother reading.
[Minor]: [Do Not Translate] - ""FAANG"" should probably not be translated, as it's an English acronym widely used even in Russian-speaking tech circles. The asterisk may also be unusual."
386,"In 1998-06 Gamefan, in relation to the long development of the first Unreal game, Jason Schrieber commented,","В Gamefan за июнь 1998 года, в связи с долгой разработкой первой игры Unreal, Джейсон Шрайер отметил:","```
MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""в связи с"" (in connection with) is slightly more formal and less common in this context than alternatives. A more natural phrasing could be used.
```"
387,"""A good game is only late until it ships.","Хорошая игра считается задержанной до тех пор, пока не выйдет.","MQM annotations:
minor: style/Unnatural Flow - The phrase ""считается задержанной до тех пор, пока не выйдет"" is grammatically correct but sounds a bit awkward and overly literal. A more natural way to express the idea would be preferred."
388,"A bad game is bad forever.""",Плохая игра плоха навсегда.,"MQM annotations:
Styles error:
minor: style/unnatural flow - While grammatically correct, the phrase ""Плохая игра плоха навсегда"" sounds a bit too literal and could be expressed more naturally in Russian. There are more idiomatic ways to convey the same meaning."
391,"An earlier issue of GamePro 1997-11 has a quote with far more ambiguity,",Более ранний выпуск GamePro 1997-11 содержит цитату с гораздо большей неопределенностью.,"MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - While the translation is accurate, the phrase ""содержит цитату с гораздо большей неопределенностью"" (contains a quote with much more ambiguity) sounds somewhat unnatural in Russian. A more fluent phrasing might exist."
402,There's areas that could use some polish.,"Есть области, которые можно было бы доработать/улучшить.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""можно было бы доработать/улучшить"" while accurate, sounds a bit formal and could be phrased more naturally in Russian. While not strictly wrong, it lacks the natural flow of a native speaker. A more conversational option might exist depending on the context.
```"
404,"Fix those minor issues, and then can we have more of these please?","Исправьте эти небольшие недочеты, и можно ли нам еще таких, пожалуйста?","```
MQM annotations:
Style error:
minor: UNNATURAL FLOW - While grammatically correct, the phrase ""можно ли нам еще таких"" sounds slightly unnatural and could be phrased more elegantly in Russian. A more natural phrasing could be ""можно ли нам и дальше получать такие материалы/отчеты/etc."" depending on the specific context.
```"
410,We visited for a couple hours on my porch.,Мы посидели пару часов на моей веранде.,"MQM annotations:
minor: style/Unnatural Flow - While accurate, ""Мы посидели пару часов на моей веранде"" sounds slightly more formal/stilted than a more natural conversational equivalent. ""Веранде"" implies something more structured than just a ""porch"". A more colloquial alternative like ""на крыльце"" might be more natural depending on the specific context of the porch being referred to."
420,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them.","Восьмиглазые Репниды, кажется, наблюдают за тем, как вы сажаете флайер на красную почву, но они не двигаются в вашу сторону, на самом деле, они неподвижны, пока вы вылезаете из флайера и медленно направляетесь к ним.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""на самом деле"" (in reality, actually) is not strictly incorrect, but its use feels slightly redundant and could be omitted for a more natural flow in Russian. A more idiomatic phrasing could improve the overall readability."
421,"The ground beneath your feet begins to tremble and then shake, as if in an earthquake and you lose your footing, though the Repnids seem unaffected.","Земля под ногами начинает дрожать, а затем трястись, словно при землетрясении, и вы теряете равновесие, хотя репнидов это, кажется, не затрагивает.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""кажется, не затрагивает"" (it seems to not affect) is a bit wordy and could be expressed more naturally. A more concise phrasing might be more idiomatic.
```"
422,The rock beneath you gives way suddenly.,Земля под тобой внезапно уходит из-под ног.,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""Земля под тобой внезапно уходит из-под ног"" is grammatically correct but sounds slightly unnatural in Russian. A more natural phrasing might be ""У тебя внезапно провалилась земля под ногами"" or a similar variation.
```"
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.","Конец быстр: несколько пар клыков впрыскивают свой смертельный яд, и воздух Дискры отравляет твои легкие.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - ""Конец быстр:"" sounds slightly unnatural in Russian. While grammatically correct, a more idiomatic phrase might be preferable.
```"
432,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.","Вы решаете, что возобновление контакта было бы опасно, и возвращаетесь к своему флаеру, но этот опыт прояснил ваш разум, который был смущен с тех пор, как вы прыгнули в будущее.","MQM annotations:
minor: style/unnatural flow - The phrase ""этот опыт прояснил ваш разум, который был смущен с тех пор, как вы прыгнули в будущее"" sounds slightly awkward and could be phrased more naturally in Russian. A more fluent option could be ""этот опыт прояснил разум, который был затуманен с тех пор, как вы прыгнули в будущее"", where the ""ваш"" is dropped for a more natural feel."
434,Note that you have used up another polybdenum rod as you jump.,"Обратите внимание, вы использовали еще один полибденовый стержень во время прыжка.","MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - While the translation is accurate, the phrasing ""во время прыжка"" (during the jump) sounds a bit stiff. A more natural phrasing might be something like ""когда вы прыгаете"" (when you jump) or just implied in the sentence structure."
439,I found a unevenly spun silver gray yarn that is mostly finely spun with lumps.,"Я нашла неравномерно спряденую серебристо-серую пряжу, в основном тонкую, с узелками.","MQM annotations:
Style Errors:
minor: UNNATURAL FLOW - The phrase ""неравномерно спряденую"" (unevenly spun) sounds slightly unnatural in Russian. A more common phrasing might be ""пряжа неравномерного прядения"".
minor: UNNATURAL FLOW - While grammatically correct, ""в основном тонкую, с узелками"" (mostly fine, with lumps) sounds a bit disconnected. Rephrasing to connect the two qualities better could improve the flow. For instance, ""в основном тонкую, но с узелками""."
440,I plan on mixing it with a fine purple/lilac variegated cotton.,Я планирую смешать это с тонким сиренево-фиолетовым меланжевым хлопком.,"```
MQM annotations:
Style Errors:
minor: unnatural flow - ""Я планирую смешать это с тонким сиренево-фиолетовым меланжевым хлопком."" sounds slightly unnatural. A more natural phrasing might use a different structure or word choice.
```"
449,"I hit most of the classics before eighteen--though that's more a reflection of living in bumfuck nowhere, I also read the 1979 Encyclopedia Brittanica in desperation.","Я перечитал большинство классики до восемнадцати, хотя это скорее отражение жизни в глухой заднице. От отчаяния я даже прочитал ""Британскую энциклопедию"" 1979 года.","MQM annotations:
Style Errors:
minor: Unnatural Flow - ""От отчаяния я даже прочитал ""Британскую энциклопедию"" 1979 года."" While grammatically correct, a more natural phrasing in Russian might emphasize the encyclopedia reading as a result of boredom or having nothing else to do, rather than ""from desperation"" (от отчаяния), which sounds a bit too dramatic in this context. A more natural phrasing would be something like ""Со скуки я даже прочитал..."" or ""Потому что больше нечего было читать, я даже прочитал..."""
452,"And that's also even though I haven't slept as well here for the last two nights as I do at home, and get a little #MECFS ed out from simply being in a strange environment where I'm less able to pace myself and have to remember where things are.","И это при том, что последние две ночи я спал здесь не так хорошо, как дома, и немного выматываюсь из-за #СЭХТ из-за простого нахождения в незнакомой обстановке, где мне сложнее регулировать свою активность и приходится запоминать, где что находится.","```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""и немного выматываюсь из-за #СЭХТ из-за простого нахождения"" sounds a bit repetitive and awkward in Russian. A more natural phrasing could be used.
```"
454,Humanity is out in 5 days.,Человечество выходит через 5 дней.,"MQM annotations:
minor: style/Unnatural Flow - While grammatically correct, the translation sounds a bit literal and could be more natural in Russian. A more idiomatic phrasing might be preferred."
457,I like it but will it be able to attract an audience of the right players?,"Мне нравится, но сможет ли это привлечь аудиторию подходящих игроков?","MQM annotations:
Minor: Style/Unnatural Flow - The translation is grammatically correct but sounds slightly awkward and could be more fluent in Russian."
463,Came home on my lunch break to see this sitting outside uwu.,"Пришёл домой в обеденный перерыв и увидел это, стоящее на улице uwu.","MQM annotations:
Style Errors:
minor: Register/Inappropriate - The use of ""uwu"" in the Russian translation may be considered too informal or internet slang for a general audience. It's a stylistic choice that might not be appropriate depending on the context and target audience."
467,Was it overly cute to the point of being twee?,Было ли это чрезмерно мило до приторности?,"MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""чрезмерно мило до приторности"" while technically accurate, can sound a bit unnatural in Russian. A more common and natural phrasing might be ""слишком приторно"" or ""до тошноты мило"", depending on the exact nuance intended."
474,Did she owe someone money?,Она кому-то должна была денег?,"MQM annotations:
minor: style/unnatural flow - The phrase ""Она кому-то должна была денег?"" is grammatically correct but sounds slightly unnatural. A more common and natural phrasing in Russian would be ""Она кому-то задолжала деньги?"" or ""Она должна была кому-то деньги?""."
480,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",Хорошая критика нужна для быстрого исправления проблемы и не направлена на ваши способности.,"MQM annotations:
Minor: Style/Unnatural Flow - The phrase ""нужна для быстрого исправления проблемы"" sounds somewhat awkward and could be rephrased for a more natural flow in Russian. A more natural way to say it would be something like ""служит для быстрого исправления проблемы"""
487,But for strong and firm future growth.,Но для уверенного и устойчивого будущего роста.,"```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""уверенного и устойчивого будущего роста"" sounds a bit formal and stiff in Russian. A more natural phrasing might be used.
```"
489,"She was on her way to the wall, he was coming off duty.","Она шла к стене, он заканчивал смену.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While grammatically correct, ""Она шла к стене"" (She was walking to the wall) sounds a bit literal. Depending on the context, there might be a more natural Russian phrasing.
minor: style/unnatural flow - Similarly, ""он заканчивал смену"" (he was finishing shift) is correct, but could potentially be rephrased for a more natural flow in Russian, depending on the nuance desired.
```"
493,One block-printed word.,"Одно слово, напечатанное с помощью техники блочной печати.","MQM annotations:
minor: style/unnatural flow - While technically correct, the phrase ""с помощью техники блочной печати"" (with the help of the block printing technique) sounds a bit formal and could be phrased more naturally. A more concise and natural translation might be ""напечатанное блочным способом"" or ""напечатанное методом блочной печати""."
