index,original,translated,accuracy_annotation
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.","לכל המשקיעים שם בחוץ, אני מרים כוסית לחיי ההצלחה שלכם ולמימוש החלומות שלכם.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
323,"And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment.","ולכל חבריי, החדשים והוותיקים, בואו נעריך את הדברים הפשוטים אך האמיתיים בחיים שמביאים לנו שמחה וסיפוק.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"אני תוהה לעתים קרובות על היכולת האנושית להיות *כל כך* ביקורתי כלפי עצמה, כשלמעשה מוצגת בפניה כל כך הרבה עדות למה שאכזריות אמיתית נראית.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.,אבל ריכוך הייאוש מאי הסדר שלנו הוא חיוני - משום שהוא נותן לנו יותר מרחב להתמודד עם ההריסות מסביב.,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
331,"Some programmers: ""Typing speed does not matter!""","אחדים מהמתכנתים: ""מהירות הקלדה לא משנה!""","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
339,It is definitely more romance than filth.,זה בהחלט יותר רומנטיקה מלכלוך.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
342,I don't agree that #Mastodon is difficult to setup.,אני לא מסכים ש#Mastodon קשה להגדרה.,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
343,"Common, it's really not that hard.","נו, זה באמת לא כזה קשה.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
347,If you stick to the default web interface it doesn't look and feel good (imho).,אם תדבק בממשק הווב המוגדר כברירת מחדל הוא לא נראה או מרגיש טוב (לדעתי).,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
348,"So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.","אז, זה דורש קצת יותר מאמץ להיכנס לזה וכנראה שצריך אפליקציה טובה כדי לשפר את #UX.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
353,Forecasting: anticipating harms before they happen (even if by minutes),תַּחֲזִית: צִפּוּי נְזָקִים לִפְנֵי הִתְרַחֲשׁוּתָם (אֲפִילוּ בְּדַקּוֹת).,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
369,I work out alone in my bedroom without a spotter or even a weight rack.,"אני מתאמן לבד בחדר השינה שלי בלי שומר ובלי מתקן משקולות, רק אני.","MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: accuracy/addition - ""רק אני"" (only me) is added at the end of the sentence. While it emphasizes the solitude, it's not explicitly present in the source and slightly changes the nuance."
370,Just me and a barbell with a bunch of weights.,רק אני ומוט משקולות עם הרבה משקלים.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.","אם אני אנסה להבין מה המשקל המקסימלי שלי להרמה בודדת, יכול להיות שאין לי מספיק משקולות כדי להגיע למקסימום, או לחילופין זה יכול לגרום לי לפציעה חמורה או אפילו מוות.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"אף פעם לא ראיתי שאמא של מישהו מכינה את זה, או שדחפו לי את זה במסיבה, או שראיתי את זה מופיע בשילוב עם הרפתקאות הכנת הרטבים או ימי האפייה של מישהו.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*.","משהתחלחנו פה, אנחנו מסרבים לקנות מכונת FAANG חדשה.

*Note: I assumed ""FAANG machine"" refers to a computer/tech product. If it has a different specific meaning, the translation might need adjustment.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""משהתחלחנו"" translates to ""Since we were horrified"" or ""Since we shuddered."" This doesn't accurately reflect the original meaning of ""Having been radicalized.""
[Minor]: none"
389,So was it Epic that originated this?,אז האם אפיק יצרה את זה במקור?,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
394,Is it so ephemeral then?,האם זה כה חולף אם כך?,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""כה חולף"" (koh cholef) translates more directly to ""so fleeting"" or ""so transient."" While ""כה חולף אם כך?"" can be interpreted as ""so ephemeral then?"", the translation is not as precise. ""חולף"" doesn't fully capture the nuanced meaning of ""ephemeral,"" which implies a short lifespan and insubstantiality beyond just fleetingness.
[Minor]: none"
395,"Merely a ""catchphrase"" with no clear originator?","רק ""סיסמה"" ללא יוצר ברור?","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
399,Have now done a full round trip on the new ICNG train.,עכשיו עשיתי נסיעת הלוך ושוב מלאה ברכבת ICNG החדשה.,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
402,There's areas that could use some polish.,יש מקומות שצריכים ליטוש.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.","כלומר, חוסר בפחים מספיקים וחוסר בשלטים המסבירים את משמעות צבעי התאורה.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
404,"Fix those minor issues, and then can we have more of these please?","תקן את הבעיות הקטנות האלה, ואז אפשר לקבל עוד כאלה בבקשה?","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,חוק של יחידה אחת ללקוח עדיין בתוקף כאשר אנו מנסים להבטיח שכל מי שממתין בתור יוכל להשיג גלשן.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
407,"You can buy ONE of the boards listed above, not one of each.","אפשר לקנות לוח אחד מהלוחות המפורטים למעלה, לא אחד מכל סוג.","```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
409,Yesterday I had the best time with my friend and former rabbi colleague.,אתמול נהניתי מאוד עם חברתי וקולגה לשעבר בתחום הרבנות.,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""בתחום הרבנות"" translates to ""in the field of the rabbinate,"" which is not an accurate translation of ""rabbi colleague."" It implies a general professional association in the field rather than a direct colleague relationship.
[Minor]: none
```"
419,#FalconGameBooks,# ספרימשחקבז,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
420,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them.","נראה שהרפנידים בעלי שמונה העיניים צופים בך בזמן שאתה מנחית את הרחפן על האדמה האדומה, אבל הם לא עושים שום תנועה לכיוונך, למעשה הם חסרי תנועה כשאתה יוצא מהרחפן והולך לאט לעברם.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
422,The rock beneath you gives way suddenly.,הסלע שתחתך קורס בפתאומיות.,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.","הסוף מהיר, כאשר מספר זוגות ניבים מזריקים את ארסם הקטלני ואוויר דיסקרה מזהם את ריאותיך.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: accuracy/mistranslation - ""ריאותיך"" translates to ""your lungs"" in the singular possessive. While the context implies the victim's lungs, the English source doesn't specify a possessive. The translation should be ""את הריאות"" (the lungs) to be more accurate."
425,Nobody will ever know that you were the first human future traveller.,אף אחד לעולם לא ידע שאתה היית הנוסע האנושי הראשון לעתיד.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.","הרפנידים בעלי שמונה העיניים נראים צופים, אך הם לא עושים שום תנועה לכיוונך, למעשה הם חסרי תנועה כשאתה הולך לאט לעברם.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
428,"You halt while still on the mound of crumbled rock and soil and speak to them, saying, 'I come in peace, as a friend.'","אתם עוצרים כשאתם עדיין על תל הסלעים והאדמה המתפוררים ואומרים להם: 'אני בא בשלום, כידיד.'","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
429,"It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer.","נראה שהם לא שומעים אותך, שלא לדבר על מבינים, כיוון שהמתרגם האוניברסלי שלך לא קולט שום תשובה.","MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
440,I plan on mixing it with a fine purple/lilac variegated cotton.,אני מתכנן לערבב את זה עם כותנה משולבת דקה בצבע סגול/לילך.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
441,But am not sure I have enough of the purple.,אבל לא בטוח שיש לי מספיק מהסגול.,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
446,I have literally tried and dropped EVERY SINGLE ONE.,ניסיתי וזרקתי ממש כל אחד ואחד.,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
447,"And up until like two years ago, I had no idea until I checked my transcripts.","ועד לפני שנתיים בערך, לא היה לי מושג עד שבדקתי את הגיליונות ציונים שלי.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
455,"It's exciting, nerve-wracking, stressful, and all the good things that I love about working in games.","זה מרגש, מורט עצבים, מלחיץ, וכל הדברים הטובים שאני אוהב/ת בעבודה בתחום המשחקים.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
463,Came home on my lunch break to see this sitting outside uwu.,חזרתי הביתה בהפסקת הצהריים שלי וראיתי את זה יושב בחוץ uwu.,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: accuracy/untranslated - ""uwu"" is left untranslated. While it's internet slang, a more appropriate translation might be attempted depending on the target audience and context.
```"
475,Had a recent graduate artist take some critique badly tonight.,אמן בוגר טרי קיבל הערות ביקורת הערב בצורה קשה.,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
482,"So while composting and bloom scrolling are a wonderful reminder to look up, and be aware of life beyond the screen.",למרות שקומפוסט וגלילת פריחה הם תזכורת נפלאה להרים את הראש ולהיות מודעים לחיים מעבר למסך.,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
483,It is as important to explore servers and IP addresses.,חשוב באותה מידה לחקור שרתים וכתובות IP.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
491,She did not look back.,היא לא הביטה לאחור.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
492,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,הוא חיכה עד שהיה בחושך של חדר השינה לפני ששלף את הפתק וקרא אותו בקרן אור שבקעה מבעד לוילונות ההאפלה.,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
493,One block-printed word.,מילה מודפסת בחריתה,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""בחריתה"" translates to ""engraved"" or ""etched,"" which doesn't accurately reflect the meaning of ""block-printed.""
[Minor]: no-error"
498,I'd particularly like to connect with more.,אני במיוחד אשמח ליצור קשר עם עוד.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
499,Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn.,כל מי שרותח מזעם על CNN יכול להודות לסטיבן קולברט על הפנייה החדה ימינה.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
