index,original,translated,linguistic_convention_annotation
307,A lot of ppl think that they literally own the earth when they buy a piece.,הרבה אנשים חושבים שהם ממש בעלים של כדור הארץ כשהם קונים חתיכה.,"```
MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""בעלים"" should be ""בעלים"". (The current spelling is technically correct but less common/preferred)
```"
312,The land is temporary.,האדמה זמנית.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error - None
```"
314,The land is very easily and quickly taken away by the government one day if they want to do that.,הממשלה יכולה לקחת את הקרקע בקלות ובמהירות רבה מתי שהיא רוצה.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""רבה"" and ""מתי"". It should be ""רבה מתי"".
```"
317,It has to be taken away one day.,זה חייב להילקח יום אחד.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between the words ""להילקח"" and ""יום"".
```"
318,That's why the Chinese only allow leases.,לכן הסינים מרשים רק חכירות.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
319,They already ran out of land.,נגמרה להם כבר הקרקע.,"MQM annotations:
linguistic conventions errors:
minor: word order - The word ""כבר"" (already) is placed in a slightly less natural position in the Hebrew sentence compared to its implied meaning in the English sentence. While grammatically correct, it sounds slightly awkward. The more natural order would be ""הקרקע כבר נגמרה להם""."
320,"To success, the realization of dreams, friendship, to the simple but true!!","להצלחה, הגשמת חלומות, ידידות, לפשוט אך אמיתי!!","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing comma after ""להצלחה"".
minor: punctuation/omission - Missing comma after ""ידידות"".
minor: punctuation/omission - Missing final punctuation mark (period, exclamation mark, etc.)."
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.","לכל המשקיעים שם בחוץ, אני מרים כוסית לחיי ההצלחה שלכם ולמימוש החלומות שלכם.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
323,"And to all my friends, new and old, let us cherish the simple but true things in life that bring us joy and fulfillment.","ולכל חבריי, החדשים והוותיקים, בואו נעריך את הדברים הפשוטים אך האמיתיים בחיים שמביאים לנו שמחה וסיפוק.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing comma after ""ולכל חבריי"".
```"
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"אני תוהה לעתים קרובות על היכולת האנושית להיות *כל כך* ביקורתי כלפי עצמה, כשלמעשה מוצגת בפניה כל כך הרבה עדות למה שאכזריות אמיתית נראית.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation mark at the end of the sentence.
```"
328,But gentling despair at our messiness is crucial - because it gives us more space to tackle the ruins all around.,אבל ריכוך הייאוש מאי הסדר שלנו הוא חיוני - משום שהוא נותן לנו יותר מרחב להתמודד עם ההריסות מסביב.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
331,"Some programmers: ""Typing speed does not matter!""","אחדים מהמתכנתים: ""מהירות הקלדה לא משנה!""","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing quotation mark at the beginning of the translated sentence.
```"
339,It is definitely more romance than filth.,זה בהחלט יותר רומנטיקה מלכלוך.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
342,I don't agree that #Mastodon is difficult to setup.,אני לא מסכים ש#Mastodon קשה להגדרה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
343,"Common, it's really not that hard.","נו, זה באמת לא כזה קשה.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
347,If you stick to the default web interface it doesn't look and feel good (imho).,אם תדבק בממשק הווב המוגדר כברירת מחדל הוא לא נראה או מרגיש טוב (לדעתי).,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
348,"So, it requires a bit more effort to get into it and you probably need a good app to improve #UX.","אז, זה דורש קצת יותר מאמץ להיכנס לזה וכנראה שצריך אפליקציה טובה כדי לשפר את #UX.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
353,Forecasting: anticipating harms before they happen (even if by minutes),תַּחֲזִית: צִפּוּי נְזָקִים לִפְנֵי הִתְרַחֲשׁוּתָם (אֲפִילוּ בְּדַקּוֹת).,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
369,I work out alone in my bedroom without a spotter or even a weight rack.,"אני מתאמן לבד בחדר השינה שלי בלי שומר ובלי מתקן משקולות, רק אני.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/addition - Added extra comma before ""רק אני"".
```"
370,Just me and a barbell with a bunch of weights.,רק אני ומוט משקולות עם הרבה משקלים.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""אני"" and ""ו"". It should be ""רק אני ו...""."
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.","אם אני אנסה להבין מה המשקל המקסימלי שלי להרמה בודדת, יכול להיות שאין לי מספיק משקולות כדי להגיע למקסימום, או לחילופין זה יכול לגרום לי לפציעה חמורה או אפילו מוות.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a comma after ""בודדת"".
```"
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,"אף פעם לא ראיתי שאמא של מישהו מכינה את זה, או שדחפו לי את זה במסיבה, או שראיתי את זה מופיע בשילוב עם הרפתקאות הכנת הרטבים או ימי האפייה של מישהו.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
383,"Having been radicalized here, we're reluctant to buy a new FAANG machine*.","משהתחלחנו פה, אנחנו מסרבים לקנות מכונת FAANG חדשה.

*Note: I assumed ""FAANG machine"" refers to a computer/tech product. If it has a different specific meaning, the translation might need adjustment.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
389,So was it Epic that originated this?,אז האם אפיק יצרה את זה במקור?,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing question mark at the end of the sentence."
394,Is it so ephemeral then?,האם זה כה חולף אם כך?,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing question mark at the end of the sentence."
395,"Merely a ""catchphrase"" with no clear originator?","רק ""סיסמה"" ללא יוצר ברור?","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing quotation marks at the beginning of the sentence.
```"
399,Have now done a full round trip on the new ICNG train.,עכשיו עשיתי נסיעת הלוך ושוב מלאה ברכבת ICNG החדשה.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
402,There's areas that could use some polish.,יש מקומות שצריכים ליטוש.,"```
MQM annotations:
linguistic conventions errors:
minor: spelling/omission - Missing a punctuation mark at the end of the translated sentence. It should be ""יש מקומות שצריכים ליטוש.""
```"
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.","כלומר, חוסר בפחים מספיקים וחוסר בשלטים המסבירים את משמעות צבעי התאורה.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing the comma before ""וחוסר"".
```"
404,"Fix those minor issues, and then can we have more of these please?","תקן את הבעיות הקטנות האלה, ואז אפשר לקבל עוד כאלה בבקשה?","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing question mark at the end of the sentence."
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,חוק של יחידה אחת ללקוח עדיין בתוקף כאשר אנו מנסים להבטיח שכל מי שממתין בתור יוכל להשיג גלשן.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
407,"You can buy ONE of the boards listed above, not one of each.","אפשר לקנות לוח אחד מהלוחות המפורטים למעלה, לא אחד מכל סוג.","```
MQM annotations:
Accuracy Errors
Minor: whitespace/omission - Missing whitespace between ""אחד"" and ""מהלוחות"".
```"
409,Yesterday I had the best time with my friend and former rabbi colleague.,אתמול נהניתי מאוד עם חברתי וקולגה לשעבר בתחום הרבנות.,"MQM annotations:
linguistic conventions errors:
minor: grammar/gender agreement - The word ""חברתי"" (my friend - feminine) is used, while the source mentions ""former rabbi colleague"" without specifying gender. While it's possible the friend is female, without that context in the source, using the feminine form is potentially inaccurate and could be perceived as an error. If the speaker and colleague are both female, this is not an error. Since it's not explicitly indicated in the source, it's a minor issue."
419,#FalconGameBooks,# ספרימשחקבז,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - The Hebrew translation combines multiple words into one. It should be ""ספרי משחק בז""."
420,"The eight-eyed Repnids seem to be watching as you settle the flyer down on the red soil, but they make no move towards you, in fact they are motionless as you climb out of the flyer and walk slowly towards them.","נראה שהרפנידים בעלי שמונה העיניים צופים בך בזמן שאתה מנחית את הרחפן על האדמה האדומה, אבל הם לא עושים שום תנועה לכיוונך, למעשה הם חסרי תנועה כשאתה יוצא מהרחפן והולך לאט לעברם.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
422,The rock beneath you gives way suddenly.,הסלע שתחתך קורס בפתאומיות.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.","הסוף מהיר, כאשר מספר זוגות ניבים מזריקים את ארסם הקטלני ואוויר דיסקרה מזהם את ריאותיך.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""ריאותיך"" should be ""ריאותיךָ"". While both forms exist, ""ריאותיךָ"" is more grammatically correct in this context, using the proper pronominal suffix."
425,Nobody will ever know that you were the first human future traveller.,אף אחד לעולם לא ידע שאתה היית הנוסע האנושי הראשון לעתיד.,"```
MQM annotations:
linguistic conventions errors:
minor: grammar/word_order - The word order ""אתה היית"" (you were) is slightly less natural than ""היית אתה"" (were you). Although grammatically correct, the alternative sounds more fluent in this context.

```"
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.","הרפנידים בעלי שמונה העיניים נראים צופים, אך הם לא עושים שום תנועה לכיוונך, למעשה הם חסרי תנועה כשאתה הולך לאט לעברם.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a comma after ""צופים"". It should be ""הרפנידים בעלי שמונה העיניים נראים צופים, אך..."".
```"
428,"You halt while still on the mound of crumbled rock and soil and speak to them, saying, 'I come in peace, as a friend.'","אתם עוצרים כשאתם עדיין על תל הסלעים והאדמה המתפוררים ואומרים להם: 'אני בא בשלום, כידיד.'","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence.
```"
429,"It appears that they cannot hear you, let alone understand, as your Universal Translator picks up no answer.","נראה שהם לא שומעים אותך, שלא לדבר על מבינים, כיוון שהמתרגם האוניברסלי שלך לא קולט שום תשובה.","MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""אוניברסלי"" should be ""אוניברסאלי""."
440,I plan on mixing it with a fine purple/lilac variegated cotton.,אני מתכנן לערבב את זה עם כותנה משולבת דקה בצבע סגול/לילך.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence."
441,But am not sure I have enough of the purple.,אבל לא בטוח שיש לי מספיק מהסגול.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""מה"" and ""הסגול"". It should be ""מה הסגול""."
446,I have literally tried and dropped EVERY SINGLE ONE.,ניסיתי וזרקתי ממש כל אחד ואחד.,"MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""אחד"" and ""ואחד"". It should be ""אחד ואחד""."
447,"And up until like two years ago, I had no idea until I checked my transcripts.","ועד לפני שנתיים בערך, לא היה לי מושג עד שבדקתי את הגיליונות ציונים שלי.","MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing the comma after ""בערך"" (roughly)."
455,"It's exciting, nerve-wracking, stressful, and all the good things that I love about working in games.","זה מרגש, מורט עצבים, מלחיץ, וכל הדברים הטובים שאני אוהב/ת בעבודה בתחום המשחקים.","```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
463,Came home on my lunch break to see this sitting outside uwu.,חזרתי הביתה בהפסקת הצהריים שלי וראיתי את זה יושב בחוץ uwu.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence.
```"
475,Had a recent graduate artist take some critique badly tonight.,אמן בוגר טרי קיבל הערות ביקורת הערב בצורה קשה.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing period at the end of the sentence."
482,"So while composting and bloom scrolling are a wonderful reminder to look up, and be aware of life beyond the screen.",למרות שקומפוסט וגלילת פריחה הם תזכורת נפלאה להרים את הראש ולהיות מודעים לחיים מעבר למסך.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing a period at the end of the sentence.
```"
483,It is as important to explore servers and IP addresses.,חשוב באותה מידה לחקור שרתים וכתובות IP.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error - None
```"
491,She did not look back.,היא לא הביטה לאחור.,"```
MQM annotations:
linguistic conventions errors:
minor: no-error - None
```"
492,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,הוא חיכה עד שהיה בחושך של חדר השינה לפני ששלף את הפתק וקרא אותו בקרן אור שבקעה מבעד לוילונות ההאפלה.,"```
MQM annotations:
linguistic conventions errors:
minor: whitespace/omission - Missing whitespace between ""בחושך"" and ""של"".
```"
493,One block-printed word.,מילה מודפסת בחריתה,"MQM annotations:
linguistic conventions errors:
minor: spelling/spelling - ""בחריתה"" should be ""בדפוס"" or ""בחריטה"" depending on the desired meaning (carved vs. printed). If the intention is ""block-printed"" as in printed using blocks, ""בדפוס"" is more appropriate. If the intention is carved letter, then the spelling should be בחריטה."
498,I'd particularly like to connect with more.,אני במיוחד אשמח ליצור קשר עם עוד.,"MQM annotations:
minor: word order - The word order is slightly unnatural. While grammatically correct, placing ""במיוחד"" (particularly) after ""אשמח"" (would be happy) sounds more natural in Hebrew. A more fluent word order would be ""אני אשמח במיוחד ליצור קשר עם עוד""."
499,Everyone with their hair on fire about CNN can thank Stephen Colbert for the hard right turn.,כל מי שרותח מזעם על CNN יכול להודות לסטיבן קולברט על הפנייה החדה ימינה.,"MQM annotations:
linguistic conventions errors:
minor: punctuation/omission - Missing punctuation at the end of the sentence."
